Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,1199.00,1400.00,1195.00,1372.65,314500,1372.65
2016-02-01,1245.00,1309.75,1174.00,1193.90,196100,1193.90
2016-01-01,1362.00,1380.40,1205.00,1240.05,171800,1234.23
2015-12-01,1349.00,1373.15,1305.40,1360.65,170600,1354.26
2015-11-02,1373.25,1443.00,1300.80,1344.25,197900,1337.94
2015-10-01,1354.50,1407.45,1329.20,1379.60,221900,1373.12
2015-09-01,1321.00,1408.00,1301.50,1346.75,217300,1340.43
2015-08-03,1384.80,1454.35,1320.00,1334.85,347400,1328.58
2015-07-01,1440.10,1515.55,1350.00,1387.40,325500,1380.89
2015-06-01,1515.00,1532.00,1366.20,1444.55,291700,1426.78
2015-05-01,1433.70,1541.85,1386.55,1512.40,312000,1493.80
2015-04-01,1563.70,1676.85,1428.10,1433.70,334500,1416.07
2015-03-02,1680.00,1774.65,1538.00,1562.75,333800,1543.53
2015-02-02,1554.90,1705.00,1481.45,1673.45,643500,1633.71
2015-01-01,1400.15,1595.00,1336.20,1560.45,371500,1523.40
2014-12-01,1476.00,1517.00,1364.10,1400.15,383800,1366.90
2014-11-03,1500.00,1531.60,1416.00,1475.35,271400,1440.32
2014-10-01,1409.80,1509.00,1354.65,1499.25,237800,1463.65
2014-09-01,1495.25,1564.65,1385.30,1399.55,366200,1366.32
2014-08-01,1385.00,1549.75,1358.05,1492.55,327300,1457.11
2014-07-01,1471.00,1514.95,1388.20,1395.90,265600,1362.75
2014-06-02,1347.70,1525.50,1332.80,1469.25,347100,1419.42
2014-05-01,1293.00,1459.90,1261.10,1337.00,437800,1291.66
2014-04-01,1400.00,1403.00,1277.00,1293.00,313000,1249.15
2014-03-03,1103.10,1407.00,1094.00,1399.55,324100,1352.09
2014-02-03,1004.05,1110.00,988.60,1104.90,246100,1051.46
2014-01-01,1110.00,1122.15,970.15,1010.85,241400,961.96
2013-12-02,1098.00,1183.90,1069.00,1108.75,213600,1055.12
2013-11-01,1138.00,1149.45,1016.65,1096.60,329400,1043.56
2013-10-01,1119.25,1166.95,1092.00,1134.85,345400,1079.96
2013-09-02,970.00,1138.00,913.90,1111.95,374500,1058.17
2013-08-01,1185.00,1205.00,911.15,964.10,354400,917.47
2013-07-01,1225.00,1292.95,1140.05,1173.55,269900,1116.79
2013-06-03,1225.50,1255.45,1146.05,1222.65,275900,1152.80
2013-05-01,1233.30,1279.90,1191.00,1218.75,235800,1149.12
2013-04-01,1170.00,1263.90,1106.60,1233.30,237000,1162.84
2013-03-01,1265.00,1300.70,1118.05,1159.20,347700,1092.98
2013-02-01,1325.00,1349.00,1203.00,1272.55,538700,1179.99
2013-01-01,1440.00,1452.50,1301.10,1323.10,309200,1226.86
2012-12-03,1392.25,1454.00,1367.15,1432.20,242800,1328.03
2012-11-01,1384.95,1487.95,1351.45,1383.90,200800,1283.24
2012-10-01,1465.00,1545.35,1365.10,1379.05,355000,1278.75
2012-09-03,1311.05,1477.50,1284.45,1470.05,272400,1363.13
2012-08-01,1314.00,1370.80,1304.00,1308.50,203100,1213.33
2012-07-02,1265.25,1332.30,1242.45,1324.20,351000,1217.68
2012-06-01,1151.90,1282.70,1104.05,1268.05,535000,1166.05
2012-05-01,1236.50,1250.00,1116.20,1140.95,394600,1049.17
2012-04-02,1356.00,1373.25,1188.00,1237.15,434000,1137.64
2012-03-01,1305.00,1405.00,1273.00,1359.45,358300,1250.10
2012-02-01,1188.00,1421.75,1188.00,1306.05,522200,1185.51
2012-01-02,1145.00,1207.00,1082.30,1193.20,289600,1083.08
2011-12-01,1164.70,1230.00,1084.00,1136.90,254100,1031.97
2011-11-01,1199.00,1232.95,1097.45,1144.30,290500,1038.69
2011-10-03,1096.70,1237.40,1077.50,1195.05,266700,1084.76
2011-09-02,1032.85,1105.00,995.50,1098.55,366700,997.16
2011-08-01,1010.00,1024.80,936.20,1011.70,249600,918.33
2011-07-01,952.05,1036.50,938.35,1011.60,284400,908.21
2011-06-01,1030.00,1053.05,917.60,950.45,170700,853.31
2011-05-02,1114.80,1114.80,962.75,1027.25,269300,922.26
2011-04-01,1070.00,1144.00,1061.00,1112.80,420100,999.07
2011-03-01,974.20,1099.00,974.20,1074.55,287600,964.73
2011-02-01,992.00,1028.00,922.20,969.35,448900,859.42
2011-01-03,1078.00,1088.00,965.70,991.65,271400,879.19
2010-12-01,989.70,1098.85,970.35,1075.60,411600,953.62
2010-11-01,989.00,1134.40,968.05,983.80,388900,872.23
2010-10-01,990.00,1050.00,940.15,985.35,422400,873.61
2010-09-01,878.95,1037.95,870.00,989.85,634900,877.60
2010-08-02,835.00,888.40,812.00,870.35,296700,771.65
2010-07-01,862.25,872.50,800.00,831.00,390700,736.76
2010-06-01,819.90,898.70,810.00,878.10,328300,769.34
2010-05-03,904.00,913.85,809.00,818.55,375900,717.17
2010-04-01,954.40,986.95,882.25,905.05,530100,792.96
2010-03-02,913.90,1020.00,913.90,951.05,506300,833.26
2010-02-01,952.00,952.00,824.70,923.10,314700,797.93
2010-01-01,875.10,989.90,870.00,952.00,330100,822.91
2009-12-01,802.00,883.90,792.30,875.10,437500,756.44
2009-11-02,747.00,817.00,680.50,793.50,476000,685.90
2009-10-01,822.50,842.50,726.05,747.00,396100,645.71
2009-09-01,809.50,855.00,756.65,820.25,507300,709.03
2009-08-03,871.30,928.80,771.25,801.20,580700,692.56
2009-07-01,765.00,888.00,715.10,881.20,658200,761.71
2009-06-01,790.00,903.60,708.00,773.40,682400,660.75
2009-05-01,655.00,804.85,568.60,783.00,790600,668.96
2009-04-01,576.80,690.00,561.25,655.00,587100,559.60
2009-03-02,530.25,605.00,511.05,575.00,812300,491.25
2009-02-02,508.00,589.00,486.60,543.70,683500,455.85
2009-01-01,480.15,559.90,450.20,506.00,451400,424.25
2008-12-01,411.00,581.15,382.80,476.00,443500,399.09
2008-11-03,519.00,532.90,381.10,405.00,446500,339.56
2008-10-01,619.00,649.00,365.00,493.00,317100,413.35
2008-09-01,555.00,634.90,551.30,620.00,380900,519.83
