Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,198.00,245.00,196.35,238.30,3128000,238.30
2016-02-01,213.25,223.95,169.15,196.70,4458100,195.81
2016-01-01,261.00,268.30,207.15,212.25,4017000,211.29
2015-12-01,269.00,269.35,238.75,260.90,3115400,259.72
2015-11-02,293.10,302.70,261.60,268.00,3304800,266.79
2015-10-01,302.95,331.00,294.35,296.25,2751200,294.91
2015-09-01,344.95,354.75,293.00,299.00,3802200,297.65
2015-08-03,326.00,374.80,324.00,355.45,7466900,353.85
2015-07-01,308.80,334.70,306.50,325.00,3428300,323.53
2015-06-01,325.80,325.80,288.00,307.90,4478200,306.51
2015-05-01,317.55,354.80,315.40,323.85,2586800,322.39
2015-04-01,308.45,333.60,298.50,317.55,1714000,315.12
2015-03-02,334.50,343.30,295.40,308.20,2661200,305.84
2015-02-02,339.50,349.65,292.50,346.25,2356500,343.60
2015-01-01,319.00,352.75,315.60,341.05,2891200,338.44
2014-12-01,290.00,321.30,266.05,319.05,2702600,316.61
2014-11-03,287.40,308.75,283.50,290.25,2469200,288.03
2014-10-01,277.05,288.00,244.10,285.65,1928800,283.46
2014-09-01,285.80,301.50,261.10,277.55,3171300,275.43
2014-08-01,257.35,302.70,255.60,282.85,4173500,280.69
2014-07-01,245.45,293.85,242.70,260.55,7290400,258.56
2014-06-02,229.00,261.80,219.65,243.70,4199000,240.92
2014-05-01,188.20,244.70,182.50,227.50,7505700,224.90
2014-04-01,188.70,213.05,174.60,188.20,4750600,186.05
2014-03-03,168.00,192.80,167.40,187.45,2274600,185.31
2014-02-03,146.40,170.70,141.95,167.25,1957600,165.34
2014-01-01,154.55,159.40,141.00,146.95,1509800,145.27
2013-12-02,158.55,169.15,150.50,155.40,2030200,153.63
2013-11-01,145.50,162.40,140.60,157.95,2402300,156.15
2013-10-01,138.20,164.40,136.60,145.50,2337700,143.84
2013-09-02,125.60,143.50,118.70,138.05,1314900,136.47
2013-08-01,126.50,148.40,117.95,125.95,2169000,124.51
2013-07-01,150.90,154.80,116.65,125.25,1475300,123.82
2013-06-03,151.00,160.35,136.40,150.30,2435100,147.52
2013-05-01,145.00,175.00,144.15,152.05,2811100,149.24
2013-04-01,140.80,154.40,137.35,145.00,1116100,142.32
2013-03-01,139.55,148.25,119.10,138.70,1160900,136.13
2013-02-01,151.70,162.65,131.90,138.65,2550000,136.08
2013-01-01,136.25,156.25,126.05,150.55,3164900,147.76
2012-12-03,130.35,146.40,129.00,135.00,1344200,132.50
2012-11-01,125.50,136.70,121.55,130.15,890900,127.74
2012-10-01,128.10,132.90,118.00,127.25,1122300,124.89
2012-09-03,112.30,128.50,109.80,127.50,1992800,125.14
2012-08-01,121.55,130.40,105.65,113.75,1397400,111.64
2012-07-02,121.45,126.90,110.00,120.45,742100,118.22
2012-06-01,124.00,127.45,112.45,121.15,919800,118.18
2012-05-01,127.80,129.00,109.10,123.45,1465800,120.42
2012-04-02,129.40,137.20,124.05,127.80,685800,124.67
2012-03-01,148.00,152.00,116.10,129.50,2036400,126.32
2012-02-01,146.55,157.75,135.20,148.65,1277700,145.00
2012-01-02,122.80,157.60,111.00,146.25,1249700,142.36
2011-12-01,129.70,133.95,117.70,120.05,1191000,116.86
2011-11-01,156.00,167.50,115.20,125.75,1852700,122.41
2011-10-03,163.60,170.45,146.70,163.95,789100,159.59
2011-09-02,154.05,169.80,142.20,164.35,1625700,159.98
2011-08-01,147.50,152.90,130.00,152.10,2339200,148.06
2011-07-01,163.00,165.75,135.25,143.55,1254200,139.73
2011-06-01,162.10,165.70,141.40,161.95,1343800,157.65
2011-05-02,145.40,165.90,126.10,161.45,3945500,157.16
2011-04-01,138.00,158.40,137.50,144.45,972300,140.19
2011-03-01,139.20,141.40,110.00,136.65,941900,132.62
2011-02-01,140.05,151.00,120.50,138.00,1340500,133.93
2011-01-03,145.55,160.00,134.55,140.55,881900,135.91
2010-12-01,150.25,155.90,133.10,144.05,689500,139.30
2010-11-01,154.25,165.00,114.00,152.40,1429400,147.37
2010-10-01,167.70,185.25,150.10,151.90,1682500,146.89
2010-09-01,770.00,857.40,158.90,167.65,636300,162.12
2010-08-02,734.00,829.90,726.65,768.65,408300,148.66
2010-07-01,738.00,765.85,710.00,724.15,269900,138.71
2010-06-01,697.00,741.50,650.00,738.50,173300,141.46
2010-05-03,739.25,759.90,625.20,696.45,375600,133.41
2010-04-01,784.60,806.00,733.20,739.00,1105900,141.56
2010-03-02,670.00,799.80,663.50,789.60,693100,151.25
2010-02-01,595.00,696.75,590.10,673.85,477500,129.08
2010-01-01,553.15,662.75,525.00,595.20,452700,111.73
2009-12-01,541.00,584.80,537.00,553.45,159600,103.89
2009-11-02,502.20,569.70,474.00,542.85,248500,101.90
2009-10-01,521.80,564.00,467.15,500.15,405000,93.89
2009-09-01,563.85,573.90,516.25,519.85,297400,97.59
2009-08-03,599.40,624.00,522.00,557.50,474600,104.65
2009-07-01,610.00,620.00,491.05,601.35,477200,111.86
2009-06-01,624.50,705.00,570.55,604.10,464100,112.38
2009-05-01,389.00,649.00,362.25,611.20,720800,113.70
2009-04-01,323.30,419.70,323.30,389.00,611100,72.36
2009-03-02,333.30,339.45,290.00,323.30,708700,60.14
2009-02-02,389.90,403.00,332.00,341.65,257100,63.55
2009-01-01,328.00,408.90,318.05,386.15,441800,69.76
2008-12-01,257.00,346.10,253.65,325.30,179400,58.76
2008-11-03,371.00,373.00,256.00,257.95,222700,46.60
2008-10-01,433.80,472.00,321.50,357.90,307100,64.65
2008-09-01,574.90,604.80,392.55,431.65,375200,77.98
2008-08-01,570.00,637.00,551.65,577.25,507300,102.93
2008-07-01,500.00,617.00,388.10,578.00,1168700,103.06
2008-06-02,795.50,827.00,488.35,494.15,645300,88.11
2008-05-02,766.25,926.00,681.70,790.40,901300,140.93
2008-04-01,585.00,774.00,570.00,760.15,623000,135.54
2008-03-03,725.00,725.00,465.00,578.75,594100,103.20
2008-02-01,831.65,872.40,655.60,735.65,229200,131.17
2008-01-01,1279.00,1324.00,660.05,837.65,553700,149.36
