Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,189.25,233.95,188.20,228.25,3094900,228.25
2016-02-01,196.50,201.95,185.00,187.95,1599400,187.95
2016-01-01,203.50,206.40,185.20,195.35,1640100,194.1475
2015-12-01,200.10,206.30,187.60,203.05,1580400,201.8001
2015-11-02,207.65,231.00,188.75,198.90,2338800,197.6757
2015-10-01,207.20,214.75,202.70,206.95,2652200,205.6761
2015-09-01,207.00,221.50,196.25,205.80,2919200,204.5332
2015-08-03,231.25,237.90,197.40,207.20,2924100,205.9246
2015-07-01,230.00,257.30,226.75,232.30,1898200,230.8701
2015-06-01,237.60,241.05,214.30,229.90,1562600,226.9026
2015-05-01,232.40,244.65,222.30,237.60,1606000,234.5023
2015-04-01,254.95,266.35,224.05,232.40,1812400,229.37
2015-03-02,272.00,287.00,243.00,255.30,1452900,251.9715
2015-02-02,250.00,273.00,242.50,269.45,1624200,262.7787
2015-01-01,229.00,257.05,218.10,248.75,1901200,242.5912
2014-12-01,229.25,239.70,215.35,228.85,1678600,223.1839
2014-11-03,228.05,232.55,217.65,229.90,1454400,224.2079
2014-10-01,213.90,229.00,203.85,227.65,1301900,222.0136
2014-09-01,207.20,221.15,205.00,213.70,2499300,208.409
2014-08-01,205.25,218.45,202.50,206.30,2019400,201.1922
2014-07-01,222.10,227.90,202.35,206.40,2019300,201.2897
2014-06-02,217.95,243.80,214.60,220.60,2586600,213.2588
2014-05-01,197.75,241.10,192.10,217.60,2633800,210.3586
2014-04-01,202.00,221.00,196.20,197.75,1542100,191.1692
2014-03-03,168.85,203.50,163.00,202.20,1759400,195.4711
2014-02-03,159.20,169.00,150.10,168.00,1946600,162.4092
2014-01-01,183.10,184.90,154.80,159.15,1259200,151.7475
2013-12-02,185.85,195.80,173.70,182.65,1168900,174.1544
2013-11-01,188.40,190.60,170.20,185.35,1383600,176.7288
2013-10-01,183.45,205.00,178.10,188.35,1958100,179.5893
2013-09-02,170.00,195.90,162.10,182.55,2068500,174.0591
2013-08-01,168.90,185.20,146.75,171.60,3525500,163.6184
2013-07-01,186.00,212.50,162.55,167.50,3268100,159.7091
2013-06-03,183.55,187.80,169.50,186.85,2455900,176.7017
2013-05-01,186.55,195.00,178.00,182.35,2616300,172.4462
2013-04-01,175.00,194.00,162.25,186.55,1705800,176.418
2013-03-01,191.10,195.95,166.00,174.20,2165100,164.7388
2013-02-01,203.90,206.85,186.40,191.55,2787400,181.1465
2013-01-01,201.75,208.50,184.60,203.90,2788200,190.618
2012-12-03,206.60,214.40,198.10,200.90,2103500,187.8134
2012-11-01,201.55,219.65,194.20,208.00,1336800,194.4509
2012-10-01,202.00,223.00,174.50,202.70,2945100,189.4961
2012-09-03,186.20,205.80,178.45,202.00,2571600,188.8417
2012-08-01,181.50,197.95,181.00,185.30,1628000,173.2296
2012-07-02,174.70,183.80,166.55,180.45,2422200,168.6955
2012-06-01,150.00,179.70,145.40,174.05,3727200,161.4604
2012-05-01,150.60,153.90,135.75,151.25,2339500,140.3096
2012-04-02,172.00,174.45,147.70,150.70,1871400,139.7994
2012-03-01,160.50,176.00,158.65,172.20,2248900,159.7442
2012-02-01,161.00,182.00,156.70,160.75,3755400,149.1225
2012-01-02,156.00,164.40,145.55,160.95,1916400,147.7441
2011-12-01,152.15,165.45,147.70,155.35,1839600,142.6036
2011-11-01,156.00,164.90,141.15,148.50,2312700,136.3156
2011-10-03,146.55,161.25,142.55,155.30,2247900,142.5577
2011-09-02,137.00,152.40,131.10,148.90,2405800,136.6828
2011-08-01,130.50,138.35,120.10,133.30,2169700,122.3628
2011-07-01,134.00,134.90,120.35,129.35,1774000,117.3974
2011-06-01,138.75,144.95,123.55,133.65,1710500,121.30
2011-05-02,156.80,156.90,127.15,138.75,1673800,125.9288
2011-04-01,148.00,160.80,145.00,158.20,7372000,143.5815
2011-03-01,120.00,151.90,118.05,147.40,2558400,133.7794
2011-02-01,126.55,129.95,111.60,117.85,2065000,106.96
2011-01-03,143.20,146.90,123.50,126.15,1238200,113.1295
2010-12-01,140.00,152.60,130.85,143.20,1181200,128.4197
2010-11-01,141.00,166.80,133.05,140.85,2308400,126.3122
2010-10-01,141.00,147.00,134.30,140.10,2007000,125.6396
2010-09-01,126.50,150.35,123.05,140.60,2684800,126.088
2010-08-02,118.00,128.40,113.00,125.55,1841700,112.5914
2010-07-01,114.40,122.00,107.50,117.80,1803100,104.5601
2010-06-01,109.00,124.00,105.55,114.90,1555800,101.9861
2010-05-03,118.30,123.00,102.05,108.85,2711000,96.616
2010-04-01,120.70,125.80,115.80,121.05,2019700,107.4448
2010-03-01,106.50,124.60,105.10,119.85,2718400,106.3797
2010-02-01,108.40,110.50,96.55,106.95,1632300,94.9296
2010-01-01,104.95,114.50,102.40,108.40,1456600,95.1456
2009-12-01,93.10,105.20,92.35,104.95,2206000,92.1174
2009-11-02,89.10,95.00,81.85,92.00,3735300,80.7508
2009-10-01,100.00,105.30,86.05,89.10,3620700,78.2054
2009-09-01,99.95,102.45,96.05,99.55,2627700,87.3777
2009-08-03,109.50,111.80,95.05,99.10,3224100,86.9827
2009-07-01,88.00,110.30,85.05,109.30,3866100,94.8784
2009-06-01,92.00,106.90,82.50,88.40,3112100,76.736
2009-05-01,80.55,94.70,74.00,91.40,2759500,79.3402
2009-04-01,71.10,87.85,68.30,80.55,1843900,69.9218
2009-03-02,61.10,75.00,60.40,70.70,2154400,61.3715
2009-02-02,69.50,183.45,59.75,63.00,1810400,54.6874
2009-01-01,70.25,79.20,65.10,70.60,1413800,59.5015
2008-12-01,52.20,76.80,50.05,69.65,1773600,58.7009
2008-11-03,63.00,66.10,50.05,51.05,1624200,43.0248
2008-10-01,78.00,83.00,43.00,61.50,2151700,51.8321
2008-09-01,80.50,86.95,74.25,78.20,1397900,65.9068
2008-08-01,80.45,91.90,77.00,80.50,958500,67.8452
2008-07-01,76.50,87.40,69.00,80.45,1687000,66.8996
2008-06-02,93.35,96.75,73.70,75.95,3106800,63.1575
2008-05-01,113.95,115.50,93.60,95.25,1128200,79.2068
2008-04-01,122.00,124.50,111.70,113.95,1471100,94.7571
2008-03-03,115.00,129.40,96.00,121.20,1296100,100.7859
2008-02-01,120.00,126.80,111.05,119.00,1113000,98.9565
2008-01-01,146.50,149.00,109.00,117.20,1736400,96.6195
2007-12-03,151.00,160.80,143.05,147.40,1139100,121.5163
