Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,852.60,906.50,846.05,850.00,1105900,850.00
2016-02-01,874.20,907.50,827.10,846.10,1024000,846.10
2016-01-01,882.00,911.90,826.00,869.90,1381000,869.90
2015-12-01,843.00,887.00,829.45,883.55,755100,883.55
2015-11-02,831.00,865.95,784.25,838.50,931000,838.50
2015-10-01,845.80,892.40,811.20,830.65,1126700,830.65
2015-09-01,844.00,849.90,778.00,841.60,1102200,839.361
2015-08-03,880.00,926.80,811.75,848.60,1180600,846.343
2015-07-01,757.45,885.00,755.10,882.80,1467400,880.452
2015-06-01,787.80,794.70,693.00,755.35,1414300,753.341
2015-05-01,762.45,818.00,734.85,787.05,1775900,780.495
2015-04-01,810.00,865.55,730.00,762.45,1122300,756.10
2015-03-02,823.80,848.20,768.10,811.30,1121200,804.543
2015-02-02,850.00,851.10,783.40,807.15,1699100,800.427
2015-01-01,751.10,922.50,747.00,857.75,2074600,850.606
2014-12-01,753.95,809.60,719.00,752.30,1338200,746.034
2014-11-03,660.90,749.20,637.00,744.70,1720100,738.497
2014-10-01,630.00,673.20,621.65,657.00,1098900,651.528
2014-09-01,627.10,680.95,612.00,629.55,1326900,624.307
2014-08-01,620.10,651.65,602.00,624.20,762300,617.337
2014-07-01,593.30,649.00,565.15,628.65,794900,621.738
2014-06-02,504.35,597.90,503.35,594.00,1278600,587.469
2014-05-01,505.15,563.90,501.75,507.60,1037400,498.13
2014-04-01,547.75,550.00,494.70,505.15,682700,495.726
2014-03-03,471.50,550.00,468.50,547.95,773900,537.727
2014-02-03,468.25,495.00,460.20,473.00,725200,464.176
2014-01-01,494.40,505.10,463.95,471.70,1222300,462.90
2013-12-02,506.00,516.25,482.00,490.00,797900,480.859
2013-11-01,539.00,561.75,499.45,503.65,921600,494.254
2013-10-01,462.00,541.95,451.00,539.45,1450700,529.386
2013-09-02,420.00,504.80,395.00,459.25,1182300,449.733
2013-08-01,515.00,515.00,373.40,420.95,1279300,412.226
2013-07-01,4606.10,5247.75,495.15,507.60,911900,497.081
2013-06-03,4843.10,4859.90,4294.70,4636.50,902900,454.042
2013-05-01,4681.25,4949.00,4590.00,4863.10,842900,439.052
2013-04-01,4922.00,4982.00,4476.55,4681.25,844800,422.634
2013-03-01,4299.00,5050.00,4270.10,4917.25,1228900,443.941
2013-02-01,4538.00,4677.00,4225.00,4272.20,753300,385.704
2013-01-01,4445.00,4569.40,4263.50,4501.15,753800,406.375
2012-12-03,4320.30,4497.50,4225.00,4432.55,616600,400.181
2012-11-01,3865.00,4375.95,3832.00,4330.35,836100,390.954
2012-10-01,3958.00,3960.00,3432.40,3871.20,519900,349.501
2012-09-03,3650.25,4020.00,3625.20,3934.80,628100,346.581
2012-08-01,3627.60,3817.00,3595.00,3640.70,679400,320.677
2012-07-02,3878.00,3965.95,3450.00,3642.30,1073200,320.817
