Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,380.10,447.60,380.10,437.50,8783100,437.50
2016-02-01,410.00,422.50,373.30,375.75,18999100,375.75
2016-01-01,449.75,452.90,366.75,408.40,12030700,408.40
2015-12-01,471.00,471.35,429.50,449.10,7988900,449.10
2015-11-02,477.80,487.20,445.90,469.15,8551300,469.15
2015-10-01,500.00,532.70,465.00,475.40,10153600,475.40
2015-09-01,500.00,534.70,446.75,495.65,9503500,495.65
2015-08-03,576.00,589.50,475.10,507.75,6962800,507.75
2015-07-01,558.80,613.45,550.45,573.50,6854900,573.50
2015-06-01,586.90,588.90,538.55,558.95,6247300,554.49
2015-05-01,567.80,587.30,523.30,585.40,5425700,580.73
2015-04-01,557.70,582.40,507.00,567.80,6876900,563.27
2015-03-02,630.00,654.90,526.10,560.20,7012400,555.73
2015-02-02,586.00,625.60,540.50,567.15,6285800,562.63
2015-01-01,502.65,604.05,487.00,588.10,4778600,583.41
2014-12-01,484.40,506.40,464.20,502.40,3249000,498.39
2014-11-03,442.00,485.90,437.40,481.20,3962400,477.36
2014-10-01,375.60,440.40,372.30,439.40,2806200,435.89
2014-09-01,398.95,423.80,370.25,377.70,3573800,374.69
2014-08-01,388.00,407.35,369.05,397.25,3134300,394.08
2014-07-01,1928.00,1975.00,386.50,391.65,5141400,388.53
2014-06-02,1832.25,1989.60,1750.00,1918.85,5698700,380.71
2014-05-01,1517.20,1928.80,1516.70,1836.15,7500100,345.53
2014-04-01,1470.00,1554.80,1410.10,1517.20,6173400,285.51
2014-03-03,1260.00,1475.00,1247.60,1460.50,16112700,274.84
2014-02-03,1112.10,1271.60,1082.60,1267.05,8077400,238.44
2014-01-01,1301.50,1325.00,1105.00,1122.95,13187200,211.32
2013-12-02,1159.80,1342.60,1158.00,1299.55,8342700,244.55
2013-11-01,1224.95,1257.40,1010.55,1155.95,13802200,217.53
2013-10-01,1017.90,1261.50,1012.95,1222.70,17476700,230.09
2013-09-02,845.70,1172.80,763.40,1007.85,27501600,189.66
2013-08-01,1044.00,1162.50,784.00,832.95,23581700,156.75
2013-07-01,1324.00,1354.90,1015.55,1034.55,12034400,194.68
2013-06-03,1424.00,1444.00,1207.90,1325.20,10503200,231.64
2013-05-01,1492.70,1549.90,1411.00,1430.55,8444900,250.05
2013-04-01,1301.25,1520.00,1198.00,1492.70,8511600,260.91
2013-03-01,1345.00,1427.70,1277.05,1300.70,8168000,227.35
2013-02-01,1501.10,1515.00,1333.95,1344.15,9265300,234.95
2013-01-01,1369.70,1516.05,1343.05,1505.15,10990000,263.09
2012-12-03,1314.00,1379.00,1304.50,1356.55,6945000,237.12
2012-11-01,1183.00,1324.60,1177.00,1319.90,7034400,230.71
2012-10-01,1136.00,1246.15,1008.50,1182.60,10754900,206.71
2012-09-03,998.15,1174.50,927.25,1136.00,16370300,198.56
2012-08-01,1040.25,1122.00,988.55,991.80,9093500,173.36
2012-07-02,1021.25,1081.40,991.70,1044.15,11070500,182.51
2012-06-01,969.80,1072.00,944.10,1015.75,11519000,177.55
2012-05-01,1106.95,1127.65,922.00,970.95,10882800,156.72
2012-04-02,1126.00,1226.50,1076.15,1106.95,8773300,178.67
2012-03-01,1175.00,1283.70,1095.20,1146.20,11817000,185.00
2012-02-01,1074.50,1308.45,1053.30,1177.75,12651700,190.10
2012-01-02,810.00,1088.00,784.00,1075.05,14439000,173.52
2011-12-01,985.10,1052.45,803.30,808.10,12563500,130.43
2011-11-01,1152.40,1155.90,921.10,947.65,7329000,152.96
2011-10-03,1006.00,1194.00,946.35,1159.70,1290800,187.18
2011-09-02,1101.00,1159.90,1015.10,1021.45,1249100,164.87
2011-08-01,1345.00,1367.10,992.10,1075.00,1198400,173.51
2011-07-01,1309.00,1342.00,1023.40,1338.15,699400,215.99
2011-06-01,1276.10,1316.00,1201.10,1289.00,651700,208.05
2011-05-02,1298.70,1299.75,1175.60,1278.60,1049700,194.77
2011-04-01,1403.10,1460.55,1270.00,1286.00,1085300,195.90
2011-03-01,1233.00,1443.70,1233.00,1403.65,936800,213.82
2011-02-01,1250.50,1341.00,1149.00,1223.90,868100,186.44
2011-01-03,1357.25,1377.00,1196.00,1246.75,1415000,189.92
2010-12-01,1368.10,1460.00,1231.35,1349.50,1032100,205.57
2010-11-01,1472.00,1584.90,1296.50,1367.90,973400,208.37
2010-10-01,1536.10,1608.00,1432.50,1466.65,676700,223.41
2010-09-01,1338.00,1580.00,1332.00,1531.20,891000,233.25
2010-08-02,1345.40,1385.00,1278.25,1324.85,603300,201.81
