Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,134.35,152.10,133.00,144.00,11164800,144.00
2016-02-01,125.25,146.25,109.35,131.90,16236000,131.90
2016-01-01,157.20,159.90,118.05,125.40,7148100,125.40
2015-12-01,179.90,180.80,150.45,156.65,4548100,156.65
2015-11-02,161.00,182.50,140.10,179.90,6441200,179.90
2015-10-01,185.25,191.00,159.55,160.20,5659300,160.20
2015-09-01,181.25,196.25,164.85,183.20,8084800,183.20
2015-08-03,178.90,216.30,172.45,184.75,13567600,184.75
2015-07-01,144.65,179.40,144.05,177.50,6172700,177.50
2015-06-01,162.95,165.50,137.15,144.15,5434300,144.15
2015-05-01,169.00,172.65,142.70,162.60,8044800,158.96
2015-04-01,162.75,182.90,162.05,169.00,3951300,165.22
2015-03-02,186.75,198.70,155.40,163.50,4772500,159.84
2015-02-02,192.00,192.05,169.35,181.00,5616400,176.95
2015-01-01,216.02,228.90,185.60,193.15,6124600,188.83
2014-12-01,1091.00,1124.95,211.31,216.78,5084100,42.39
2014-11-03,930.00,1099.45,924.50,1087.20,5652100,212.57
2014-10-01,896.60,933.00,846.75,929.50,4071600,181.74
2014-09-01,875.30,966.75,862.20,902.30,5594800,176.42
2014-08-01,863.60,931.00,855.55,871.50,6434700,170.40
2014-07-01,881.85,897.20,771.10,871.85,6983300,170.47
2014-06-02,848.00,918.00,813.65,876.45,7552600,171.37
2014-05-01,816.95,1010.00,790.50,842.65,12307000,155.05
2014-04-01,730.00,837.85,714.60,816.95,9552600,150.33
2014-03-03,550.70,755.00,543.00,720.75,12051300,132.62
2014-02-03,548.40,577.00,511.15,551.15,8494400,101.42
2014-01-01,647.30,681.60,525.00,548.40,7378700,100.91
2013-12-02,647.00,716.95,632.45,645.55,7658000,108.39
2013-11-01,636.20,696.00,566.40,644.60,11759800,108.23
2013-10-01,493.00,650.00,487.50,642.90,9168200,107.94
2013-09-02,462.10,583.00,449.55,493.55,10734500,82.87
2013-08-01,573.65,573.65,429.95,460.80,8521500,77.37
2013-07-01,575.45,623.45,529.60,561.60,7064300,94.29
2013-06-03,662.50,681.50,539.80,574.15,5724800,96.40
2013-05-01,698.95,759.90,643.10,651.65,5995200,91.37
2013-04-01,679.85,722.00,631.05,698.95,3611100,98.00
2013-03-01,696.00,745.95,648.00,675.40,3684100,94.70
2013-02-01,867.75,876.10,685.80,695.65,5935200,97.54
2013-01-01,872.00,899.00,828.25,867.75,4032100,121.67
2012-12-03,763.30,875.50,755.20,866.45,3363900,121.48
2012-11-01,721.05,785.00,715.80,762.60,2417500,106.92
2012-10-01,799.00,809.40,710.00,725.65,3416100,101.74
2012-09-03,635.25,802.40,605.55,797.80,4990800,111.86
2012-08-01,659.90,670.00,610.00,631.85,2935700,88.59
2012-07-02,737.00,738.00,635.80,656.10,3444000,91.99
2012-06-01,686.00,734.80,642.55,732.90,3859100,102.76
2012-05-01,768.80,773.90,615.00,688.75,8386700,85.16
2012-04-02,790.00,810.05,740.55,769.90,2410800,95.20
2012-03-01,804.45,860.00,758.20,796.15,2964500,98.44
2012-02-01,744.40,881.00,740.10,804.40,2820400,99.46
2012-01-02,670.10,830.00,653.35,753.75,2615000,93.20
2011-12-01,720.00,748.00,631.00,665.35,2504300,82.27
2011-11-01,771.00,833.60,675.65,700.10,2898800,86.56
2011-10-03,746.15,781.90,704.85,771.15,2773300,95.35
2011-09-02,730.00,814.90,711.10,762.30,1531000,94.26
2011-08-01,897.95,897.95,681.30,738.90,2615300,91.36
2011-07-01,878.00,948.45,858.00,878.75,1810400,108.65
2011-06-01,865.00,895.05,830.10,873.35,1122200,107.99
2011-05-02,905.10,917.95,802.50,863.95,2459300,96.59
2011-04-01,955.35,1006.65,905.10,911.90,1853500,101.95
2011-03-01,879.90,974.00,860.40,964.85,2078100,107.87
2011-02-01,875.00,969.00,795.25,870.75,1754400,97.35
2011-01-03,897.20,906.95,805.25,869.50,2631000,97.21
2010-12-01,954.00,999.50,862.00,896.70,1640900,100.25
2010-11-01,1022.00,1051.90,836.25,937.25,1700200,104.79
2010-10-01,872.60,1049.00,872.60,1014.15,2769500,113.39
2010-09-01,806.00,906.00,802.30,872.50,1489400,97.55
2010-08-02,755.10,848.00,750.20,804.95,2080100,90.00
2010-07-01,690.80,764.00,690.80,752.35,2303800,84.12
2010-06-01,705.50,754.50,678.25,701.85,3023600,78.47
2010-05-03,688.25,726.00,653.60,710.70,3139700,71.08
2010-04-01,642.00,702.00,615.85,692.20,3914900,69.23
2010-03-02,589.90,654.70,586.15,639.05,3824100,63.91
2010-02-01,554.40,606.80,545.15,583.55,3416100,58.36
2010-01-01,507.00,561.00,505.55,554.40,1664200,55.45
2009-12-01,529.90,541.80,489.05,507.00,3495500,50.71
2009-11-02,508.00,563.50,490.20,525.00,4380700,52.51
2009-10-01,476.10,548.85,455.25,508.00,3670500,50.81
2009-09-01,434.00,495.95,424.00,481.50,3065500,48.16
2009-08-03,442.80,448.00,402.75,433.00,2207700,43.31
2009-07-01,452.00,462.00,360.00,434.85,3350100,43.49
2009-06-01,447.00,485.00,400.00,447.00,4800300,44.71
2009-05-01,317.70,475.00,314.00,440.00,7044400,39.58
2009-04-01,230.05,334.70,226.00,317.70,6932200,28.58
2009-03-02,208.80,249.25,170.35,232.20,6284200,20.89
