Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,91.45,117.80,90.75,116.40,9512700,116.40
2016-02-01,139.70,144.80,90.15,90.85,8708900,90.85
2016-01-01,169.00,172.00,131.80,138.70,3726700,138.70
2015-12-01,176.00,176.95,164.15,169.15,2906200,169.15
2015-11-02,198.25,203.20,172.80,175.05,3515900,175.05
2015-10-01,207.50,219.70,197.00,198.85,4046400,198.85
2015-09-01,225.00,227.90,192.00,205.55,3955000,205.55
2015-08-03,275.90,287.95,214.35,226.45,4642100,225.784
2015-07-01,247.30,290.00,247.30,278.35,3177900,277.531
2015-06-01,251.10,259.95,238.15,247.90,3025300,247.171
2015-05-01,238.05,258.00,221.55,251.65,3428300,250.91
2015-04-01,235.80,244.45,222.55,238.05,3113000,237.35
2015-03-02,263.45,278.70,228.00,235.35,3137900,234.657
2015-02-02,291.40,300.00,250.75,270.90,4200000,270.103
2015-01-01,265.60,297.80,250.00,291.75,4086900,290.286
2014-12-01,281.75,283.45,240.50,265.25,4260100,263.919
2014-11-03,258.00,287.75,236.15,283.80,4894600,282.376
2014-10-01,200.40,258.65,194.20,256.70,5173500,255.412
2014-09-01,240.70,243.50,198.70,200.45,5259000,199.444
2014-08-01,226.10,243.95,204.50,240.90,5223700,238.056
2014-07-01,251.90,266.60,219.10,228.35,5609900,225.654
2014-06-02,244.00,266.25,232.10,250.30,7446100,247.345
2014-05-01,180.45,291.50,176.65,242.20,10280200,239.34
2014-04-01,196.80,198.25,172.70,180.45,3931100,178.319
2014-03-03,168.30,202.15,160.80,196.05,4263600,193.735
2014-02-03,170.00,173.80,145.55,167.75,4438900,165.769
2014-01-01,177.25,177.80,160.45,172.75,3359800,169.287
2013-12-02,157.00,181.20,152.65,176.90,5546700,173.354
2013-11-01,141.15,158.65,131.00,156.35,6178800,153.216
2013-10-01,139.05,151.95,131.15,141.10,5140600,138.271
2013-09-02,119.65,152.90,118.40,137.40,10677200,134.646
2013-08-01,157.15,160.65,100.15,119.00,10695900,113.835
2013-07-01,175.00,190.55,148.25,158.30,4090500,151.43
2013-06-03,200.00,201.85,162.05,174.25,2787300,166.687
2013-05-01,192.75,207.90,187.80,200.55,3096100,191.846
2013-04-01,178.95,194.80,175.50,192.75,2828700,184.384
2013-03-01,200.00,208.45,174.25,177.00,2679000,169.318
2013-02-01,227.10,230.15,199.70,201.15,3958800,192.42
2013-01-01,230.25,245.70,220.50,227.80,3632500,215.804
2012-12-03,233.10,247.75,220.35,228.25,3321700,216.231
2012-11-01,224.20,239.60,219.40,234.35,2815100,222.009
2012-10-01,247.00,272.35,222.20,224.80,4667500,212.962
2012-09-03,215.20,256.00,195.10,246.95,7040100,233.946
2012-08-01,215.80,235.55,211.60,213.25,2809600,198.44
2012-07-02,234.45,239.90,206.60,215.65,3436300,200.674
2012-06-01,211.15,233.00,203.10,232.45,5006600,216.307
2012-05-01,224.75,228.70,197.35,212.10,6097500,197.37
2012-04-02,257.85,274.50,222.30,224.75,5659900,209.142
2012-03-01,304.95,304.95,246.00,257.15,5987200,239.291
2012-02-01,251.00,328.00,246.65,307.35,8230400,283.278
2012-01-02,239.70,287.15,233.65,250.60,5323800,230.973
2011-12-01,294.00,295.65,223.35,238.85,3570900,220.143
2011-11-01,317.75,338.90,246.00,282.70,4177100,260.559
2011-10-03,320.00,344.45,309.45,317.80,2378100,292.91
2011-09-02,1821.00,1822.00,1573.05,1639.65,3513600,302.247
2011-08-01,1851.10,1853.00,1660.35,1768.35,4119300,309.473
2011-07-01,2060.00,2075.00,1800.00,1839.60,4391000,305.309
2011-06-01,1951.40,2062.80,1871.55,2050.55,2758400,340.319
2011-05-02,2017.90,2109.40,1890.00,1943.15,3283600,322.495
2011-04-01,2077.40,2250.00,1975.00,2000.60,4534400,332.029
2011-03-01,2018.00,2149.95,1901.00,2062.65,4593800,342.328
2011-02-01,2233.00,2238.00,1961.00,2001.10,3411100,320.909
2011-01-03,2325.00,2353.40,2116.55,2218.55,3372000,355.781
2010-12-01,2219.00,2364.85,2155.60,2323.70,2248800,372.644
2010-11-01,2462.00,2554.00,2055.00,2204.00,3498800,353.448
2010-10-01,2496.50,2694.00,2432.00,2445.55,3612900,392.184
2010-09-01,2411.65,2525.40,2376.00,2478.50,3110000,397.468
2010-08-02,2440.00,2545.00,2392.95,2406.60,2131600,376.076
2010-07-01,2451.80,2520.00,2350.00,2437.90,2327500,380.967
2010-06-01,2359.35,2487.00,2247.05,2459.70,2591100,384.373
2010-05-03,2470.00,2494.05,2230.55,2353.40,2798100,367.762
2010-04-01,2395.00,2585.00,2380.00,2492.25,2639200,389.46
2010-03-02,2382.00,2474.50,2324.00,2390.65,3153600,373.583
2010-02-01,2401.00,2435.00,2270.10,2349.30,2683700,367.121
2010-01-01,2400.00,2455.00,2236.40,2405.20,3227200,366.977
2009-12-01,2249.75,2429.85,2188.00,2403.30,3931500,366.687
2009-11-02,2216.00,2305.00,2103.05,2243.75,3830900,342.344
2009-10-01,2301.00,2549.40,2182.55,2217.80,3774700,338.384
2009-09-01,2319.00,2339.00,2176.25,2328.85,3953600,355.328
2009-08-03,2250.00,2368.00,2105.00,2309.50,3633600,346.272
2009-07-01,2229.00,2296.00,1922.70,2230.30,4592600,334.398
2009-06-01,2134.60,2388.00,2001.00,2204.05,5807800,330.462
2009-05-01,1667.00,2400.00,1570.10,2178.15,7122700,326.579
2009-04-01,1520.00,1699.00,1447.00,1667.00,6654100,249.94
2009-03-02,1385.00,1594.00,1252.60,1510.55,8447700,226.483
2009-02-02,1315.00,1489.40,1296.00,1403.85,5840200,210.485
2009-01-01,1372.00,1490.00,1285.00,1320.80,6958700,191.668
2008-12-01,1375.10,1458.85,1213.00,1362.60,8021800,197.734
2008-11-03,1330.00,1537.55,1155.00,1359.60,11713700,197.299
2008-10-01,1611.00,1630.40,981.00,1291.70,13018500,187.445
2008-09-01,1695.00,1899.00,1442.00,1591.25,9879200,230.914
2008-08-01,1665.00,1875.00,1610.00,1707.85,7450200,243.30
2008-07-01,1404.90,1828.00,1340.20,1682.00,9117000,239.617
2008-06-02,1673.40,1688.00,1327.25,1379.45,9323600,196.516
2008-05-02,1925.00,1934.85,1580.40,1663.05,6083500,236.918
2008-04-01,2071.00,2071.00,1568.00,1902.15,10945500,270.98
2008-03-03,2207.20,2220.00,1752.00,2061.35,5479300,293.66
2008-02-01,2125.00,2364.40,1850.00,2286.85,4276500,325.784
2008-01-01,2580.00,2610.00,1800.00,2060.30,5066700,286.48
2007-12-03,2702.00,2875.00,2346.30,2589.75,4164700,360.099
2007-11-01,2650.00,2930.00,2385.00,2679.50,4610300,372.579
2007-10-01,2061.00,2750.00,1953.00,2607.55,7450000,362.574
2007-09-03,1907.00,2087.00,1844.00,2036.95,3835000,283.233
2007-08-01,1720.00,1896.00,1541.00,1888.45,5782900,262.585
2007-07-02,1560.00,1895.00,1516.60,1728.00,5282200,236.386
2007-06-01,282.00,1544.00,279.84,1537.85,3823900,210.374
2007-05-03,2520.00,2918.65,1378.25,1399.10,5600200,191.393
2007-04-02,2250.00,2594.00,2142.05,2487.85,6134400,170.165
2007-03-01,2199.00,2322.00,1938.00,2261.35,5835300,154.673
2007-02-01,2535.00,2569.95,2100.00,2181.80,5622000,149.232
2007-01-02,2319.00,2649.00,2105.00,2523.15,7447100,163.383
2006-12-01,2545.00,2665.50,2232.00,2299.35,5803800,148.891
2006-11-01,2425.00,2557.75,2363.40,2505.75,3306500,162.256
2006-10-03,2400.00,2495.80,2260.00,2420.10,3526300,156.71
2006-09-01,2271.00,2416.90,2188.00,2398.80,4509000,155.331
2006-08-01,2045.00,2306.40,210.54,2261.00,5149500,145.113
2006-07-03,1871.20,2066.80,1729.00,2045.20,5553500,131.262
2006-06-01,1940.00,2047.70,163.00,1949.45,6607700,125.117
2006-05-02,2360.00,2465.35,178.50,190.33,3005500,12.216
2006-04-03,2280.00,2500.00,220.60,234.38,2883000,15.043
2006-03-01,2040.00,2280.00,210.80,2241.95,4051600,143.89
