Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,769.25,887.80,769.00,868.50,1558700,868.50
2016-02-01,891.00,893.25,731.15,769.25,2367200,765.8272
2016-01-01,893.00,947.00,861.00,893.15,1282900,876.5477
2015-12-01,902.20,946.90,867.25,892.30,1020900,875.7135
2015-11-02,873.00,924.05,861.55,901.75,919800,884.9879
2015-10-01,857.25,925.60,837.25,871.10,1187600,854.9075
2015-09-01,871.20,898.95,811.60,850.70,1230200,834.8868
2015-08-03,934.00,979.55,802.90,883.20,2123000,866.7827
2015-07-01,885.00,987.00,863.25,926.75,1829400,886.2736
2015-06-01,851.10,883.95,803.00,879.35,1428600,840.9438
2015-05-01,764.75,855.00,703.60,850.15,1191500,813.0192
2015-04-01,810.95,835.00,720.40,764.75,1205900,731.3491
2015-03-02,759.90,815.90,713.10,810.80,1498100,775.3878
2015-02-02,746.00,772.80,689.00,744.25,1511700,711.7444
2015-01-01,648.90,763.25,630.00,748.85,1528800,716.1434
2014-12-01,760.00,761.50,625.00,646.00,1420600,617.7855
2014-11-03,730.50,785.00,705.05,746.25,2099400,713.657
2014-10-01,660.05,728.90,644.35,724.75,1167400,693.0961
2014-09-01,701.00,722.85,597.35,655.40,1451800,626.775
2014-08-01,582.50,699.30,560.50,694.30,1606400,647.8681
2014-07-01,610.05,613.00,556.50,580.15,1427700,541.352
2014-06-02,525.00,650.00,523.75,600.40,2531800,560.2478
2014-05-01,454.90,589.00,454.90,521.90,1587700,486.9975
2014-04-01,459.10,493.70,431.65,454.90,1547100,424.4782
2014-03-03,377.00,469.35,372.20,460.05,1781300,429.2838
2014-02-03,366.00,385.00,342.20,378.00,981000,352.7209
2014-01-01,350.10,365.00,316.05,362.70,1257400,338.4442
2013-12-02,342.00,374.90,332.20,347.90,1121300,324.6339
2013-11-01,359.95,381.45,321.70,340.00,1380800,317.2622
2013-10-01,328.55,371.60,320.45,359.55,1253500,335.5048
2013-09-02,278.00,346.55,261.55,331.25,2244300,309.0974
2013-08-01,327.65,327.65,255.95,273.00,2043400,244.9894
2013-07-01,370.00,380.05,288.75,323.75,1176900,290.5323
2013-06-03,380.00,381.30,334.80,366.95,1041600,329.2999
2013-05-01,414.25,428.30,373.20,376.85,1037300,338.1841
2013-04-01,377.00,422.30,365.00,414.25,809700,371.7468
