Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,315.55,361.40,310.25,358.20,3293000,358.20
2016-02-01,292.20,334.90,291.20,315.50,4472800,315.50
2016-01-01,339.95,344.00,282.30,289.90,3757200,289.90
2015-12-01,335.95,341.75,304.15,340.40,3456400,340.40
2015-11-02,347.50,353.80,317.10,334.35,2708300,334.35
2015-10-01,339.40,374.70,335.60,349.05,3689400,349.05
2015-09-01,351.00,365.70,315.60,337.85,4211400,337.85
2015-08-03,420.00,427.70,332.50,354.30,5055100,354.30
2015-07-01,423.70,452.45,404.10,418.80,3135300,416.468
2015-06-01,415.95,437.30,402.85,420.05,3868700,417.711
2015-05-01,381.10,435.00,373.60,425.60,11411800,423.23
2015-04-01,393.30,427.00,371.80,381.10,5349700,378.978
2015-03-02,356.30,404.50,339.10,393.30,7605300,391.11
2015-02-02,370.00,377.30,340.10,355.20,3793800,353.222
2015-01-01,354.40,395.70,339.10,373.70,3968200,371.619
2014-12-01,384.75,387.35,335.80,352.70,3873400,350.736
2014-11-03,401.45,407.80,376.00,382.30,4493000,380.171
2014-10-01,404.00,416.85,380.00,398.90,3903600,396.679
2014-09-01,370.00,420.00,369.85,405.20,4410800,402.944
2014-08-01,370.50,387.10,361.25,369.80,3834800,367.741
2014-07-01,337.25,375.20,326.60,372.90,4394600,367.428
2014-06-02,345.00,367.15,327.95,336.90,5739000,331.956
2014-05-01,328.05,349.95,305.25,344.10,4992200,339.05
2014-04-01,318.00,345.50,312.00,328.05,3778500,323.236
2014-03-03,290.40,327.20,281.90,317.75,5809500,313.087
2014-02-03,313.10,319.45,281.90,287.60,6146100,283.38
2014-01-01,331.00,339.00,300.10,315.00,4835100,310.377
2013-12-02,328.00,344.00,311.50,330.25,3719100,325.404
2013-11-01,365.00,373.80,318.55,327.00,4174700,322.201
2013-10-01,319.30,370.50,309.00,367.10,4558100,361.713
2013-09-02,303.80,358.75,280.50,318.65,5558000,313.974
2013-08-01,347.75,354.00,279.20,299.10,5420700,294.711
2013-07-01,291.75,348.00,282.80,344.50,4798400,339.445
2013-06-03,302.30,308.50,274.25,291.75,4882500,287.469
2013-05-01,318.75,332.80,294.65,301.95,3924200,297.519
2013-04-01,288.00,324.15,266.55,318.75,3879000,313.066
2013-03-01,323.45,326.95,275.60,291.75,6043400,286.547
2013-02-01,336.45,346.80,291.50,322.90,6214800,317.142
2013-01-01,318.55,370.60,317.50,339.60,4587200,333.544
2012-12-03,337.50,340.00,299.55,317.10,4219500,311.445
2012-11-01,270.80,340.70,267.70,337.00,6027700,330.991
2012-10-01,265.15,276.60,215.80,269.65,3155200,264.841
2012-09-03,246.60,283.00,241.30,265.45,6753100,260.716
2012-08-01,301.00,303.15,238.45,247.80,8788700,243.381
2012-07-02,305.05,328.80,298.00,300.05,4036100,293.569
2012-06-01,300.10,316.90,285.30,305.05,4146100,298.461
2012-05-01,310.50,319.95,280.10,302.55,3370800,296.015
2012-04-02,338.90,343.85,288.95,310.50,3615100,303.794
2012-03-01,349.00,354.90,320.65,337.90,4235200,330.602
2012-02-01,364.80,400.95,333.65,350.20,9444700,342.636
