Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,16929.90,20543.60,16740.30,20217.50,22100,20217.50
2016-02-01,17650.00,17788.90,15736.00,16736.50,21600,16736.50
2016-01-01,18650.00,19420.00,16855.00,17495.90,20600,17495.90
2015-12-01,18850.00,19112.00,17873.10,18647.90,18700,18647.90
2015-11-02,20460.20,20890.00,18112.80,18650.90,25800,18650.90
2015-10-01,19525.00,22049.90,19211.70,20457.50,22600,20457.50
2015-09-01,23011.10,23247.00,19082.80,19386.80,32700,19386.80
2015-08-03,24669.70,26719.90,21550.80,23210.40,31300,23210.40
2015-07-01,21900.00,24908.10,21573.00,24669.70,20700,24587.12
2015-06-01,23800.00,23860.00,19625.10,21852.30,26600,21779.15
2015-05-01,22503.80,23900.00,19798.20,23668.80,35000,23589.57
2015-04-01,25488.00,26796.90,20433.90,22503.80,26000,22428.47
2015-03-02,25890.00,27990.00,24672.00,25421.30,53700,25336.21
2015-02-02,23824.30,27398.90,22000.00,26589.30,145400,26500.30
2015-01-01,19307.10,23989.00,18900.00,23824.30,24000,23744.55
2014-12-01,18999.00,21150.00,18213.20,19459.60,30800,19394.46
2014-11-03,15045.00,19570.00,14905.70,18919.80,23600,18856.47
2014-10-01,15025.00,15200.00,14135.20,14900.80,3700,14850.92
2014-09-01,14900.00,15350.00,14490.00,15014.80,11300,14964.54
2014-08-01,13401.00,14998.00,13300.00,14809.90,7400,14760.33
2014-07-01,13661.90,14099.00,12680.80,13405.30,7600,13360.43
2014-06-02,12475.00,13670.00,11710.00,13557.00,9600,13511.62
2014-05-01,10537.30,13330.00,10300.00,12355.20,9300,12313.84
2014-04-01,10740.00,11030.00,10052.00,10537.30,5500,10448.07
2014-03-03,9490.00,11000.00,9180.00,10892.30,8100,10800.07
2014-02-03,8955.00,9594.00,8850.00,9404.75,5400,9325.12
2014-01-01,10155.00,10333.00,8810.10,8973.75,7300,8897.76
2013-12-02,8710.00,11500.00,8625.15,10068.20,13800,9982.95
2013-11-01,8850.00,8949.95,8450.00,8695.40,6100,8621.77
2013-10-01,8883.60,8999.00,8570.00,8795.40,2300,8720.92
2013-09-02,8275.00,9150.00,8100.00,9048.65,4200,8972.03
2013-08-01,8890.00,8998.00,8001.10,8251.65,3500,8181.78
2013-07-01,8950.00,9100.00,8537.40,9004.15,3900,8927.91
2013-06-03,9057.00,9600.00,8525.05,9047.90,5700,8971.29
2013-05-01,8898.05,9300.00,8750.00,9148.25,2600,9070.79
2013-04-01,9065.00,9200.00,8520.00,8898.05,2900,8764.20
2013-03-01,8785.15,9197.00,8180.75,8983.80,6300,8848.66
2013-02-01,9219.95,9256.00,8700.00,8761.90,5200,8630.09
2013-01-01,9548.95,9620.00,8820.00,9260.00,4200,9120.70
2012-12-03,9189.95,9589.00,8900.00,9516.70,6200,9373.54
2012-11-01,8882.15,9404.05,8612.05,9118.80,4600,8981.62
2012-10-01,8872.75,8950.00,8600.40,8898.15,3900,8764.29
2012-09-03,8585.00,8900.00,8270.00,8730.60,7300,8599.26
2012-08-01,8944.15,9149.00,8501.10,8510.45,3500,8382.43
2012-07-02,9112.15,9220.00,8605.05,8944.15,3800,8809.60
2012-06-01,8725.00,9399.95,8500.00,9112.20,5000,8975.12
2012-05-01,8670.00,9276.00,8500.00,8681.95,5800,8551.35
2012-04-02,8101.00,8974.50,8065.00,8685.55,4800,8508.39
2012-03-01,7749.60,9000.00,7510.60,8228.50,6200,8060.66
2012-02-01,7260.00,8099.95,7140.05,7731.60,7800,7573.90
2012-01-02,6775.00,7350.00,6661.50,7249.85,5400,7101.97
2011-12-01,7012.00,7175.00,6447.95,6775.60,4900,6637.40
2011-11-01,6919.00,7255.00,6801.10,6979.75,5900,6837.38
2011-10-03,7050.00,7169.95,6884.00,6938.35,5500,6796.83
2011-09-02,7210.00,7464.00,6878.05,7051.20,3400,6907.38
2011-08-01,7175.00,7475.00,6780.00,7210.00,5300,7062.94
2011-07-01,6900.00,7580.00,6861.00,7088.90,4300,6944.31
2011-06-01,7159.00,7240.00,6750.30,6882.90,4200,6742.51
2011-05-02,6662.05,7138.95,6545.00,7047.35,8100,6903.60
2011-04-01,6501.05,7020.00,6251.00,6646.55,6400,6472.87
2011-03-01,6005.00,6897.00,5801.00,6708.50,9400,6533.20
2011-02-01,6062.00,6157.70,5901.10,5999.30,7900,5842.53
2011-01-03,6305.00,6774.95,5931.00,6021.35,4000,5864.01
2010-12-01,6323.00,6513.45,6020.00,6300.35,4500,6135.71
2010-11-01,6309.00,6666.00,5776.10,6386.55,6700,6219.66
2010-10-01,6200.00,6335.00,6020.00,6261.35,5400,6097.73
2010-09-01,5985.00,6508.00,5945.00,6180.75,8800,6019.24
2010-08-02,5859.00,6400.00,5620.00,5976.10,13300,5819.94
2010-07-01,5375.00,5915.00,5360.00,5653.80,11500,5506.06
2010-06-01,4900.25,5784.90,4880.15,5372.95,10500,5232.55
2010-05-03,4850.00,5120.05,4700.00,4900.25,2800,4772.20
2010-04-01,4848.00,5141.00,4654.55,4867.40,7800,4711.74
2010-03-01,4604.00,4960.00,4604.00,4780.10,8300,4627.23
2010-02-01,4900.00,4900.00,4575.10,4604.90,1200,4457.63
2010-01-01,4637.00,5170.00,4522.10,4900.00,5200,4743.30
2009-12-01,4449.00,4728.00,4449.00,4637.00,4700,4488.71
2009-11-02,4248.00,4499.80,4130.00,4476.00,2400,4332.86
2009-10-01,4097.00,4434.95,3970.20,4248.00,4000,4112.15
2009-09-01,3970.00,4399.80,3901.30,4126.05,3900,3994.10
2009-08-03,3979.95,4090.00,3781.45,3960.00,1500,3833.36
2009-07-01,3230.00,3935.00,3110.05,3910.05,2300,3785.01
2009-06-01,3375.00,3599.00,3100.00,3215.00,3200,3112.18
2009-05-01,3008.95,3469.00,2975.00,3360.00,11700,3252.55
2009-04-01,3150.00,3379.80,2975.00,3008.95,4900,2888.60
2009-03-02,3064.55,3245.00,2800.00,3050.00,10800,2928.00
2009-02-02,3065.00,3160.00,3020.00,3050.00,5400,2928.00
2009-01-01,3151.00,3200.00,3000.00,3100.00,8400,2976.00
2008-12-01,2962.10,3243.00,2850.00,3165.00,4300,3038.40
2008-11-03,3380.00,3555.55,2820.10,2925.10,2100,2808.10
2008-10-01,3870.50,3950.00,2705.00,3250.00,3700,3120.00
2008-09-01,4130.00,4350.00,3715.05,3950.00,5500,3792.00
