Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,118.00,159.60,116.20,158.40,5073900,158.40
2016-02-01,122.25,134.40,111.15,117.95,4149600,117.95
2016-01-01,138.75,143.75,106.50,122.15,4053000,122.15
2015-12-01,135.05,141.65,122.00,138.10,1870900,138.10
2015-11-02,153.60,157.40,129.00,134.50,1849600,134.50
2015-10-01,153.10,172.80,151.65,153.40,2112400,153.40
2015-09-01,148.50,155.20,139.80,153.35,2309900,153.35
2015-08-03,172.00,175.60,120.75,148.95,2745600,143.73
2015-07-01,181.60,188.00,156.60,172.95,2349600,166.89
2015-06-01,194.90,197.90,170.55,181.55,3368500,167.53
2015-05-01,213.45,219.95,190.15,192.60,2281400,177.73
2015-04-01,213.85,239.80,202.00,213.45,2137200,196.96
2015-03-02,255.30,260.00,209.00,213.85,2248500,197.33
2015-02-02,237.00,262.50,233.50,250.50,2517500,231.15
2015-01-01,238.15,250.00,228.55,232.85,2443500,214.87
2014-12-01,258.00,266.40,228.05,240.55,2721100,221.97
2014-11-03,286.00,291.70,258.65,260.45,2694000,240.34
2014-10-01,313.00,313.45,272.65,285.15,2149700,263.13
2014-09-01,325.00,344.40,302.15,311.85,1808500,287.77
2014-08-01,314.90,330.90,308.55,326.25,1665900,296.41
2014-07-01,365.05,369.40,304.10,315.25,3040000,286.42
2014-06-02,339.00,386.00,338.30,365.05,2287500,319.76
2014-05-01,335.15,367.70,328.75,337.65,3021300,295.76
2014-04-01,332.95,372.60,331.75,335.15,2992600,293.57
2014-03-03,324.50,335.80,324.05,333.00,1758300,291.69
2014-02-03,322.55,336.70,317.05,324.20,2682200,283.98
2014-01-01,324.10,332.65,318.40,324.35,2299700,284.11
2013-12-02,322.55,330.45,316.60,323.75,1506900,283.59
2013-11-01,320.00,333.65,309.50,323.80,2092500,283.63
2013-10-01,319.30,337.40,306.20,316.20,2649200,276.97
2013-09-02,320.50,339.30,313.65,318.85,2863300,274.13
2013-08-01,305.00,331.50,287.10,320.70,2269000,275.73
2013-07-01,289.20,312.90,284.25,295.15,1675100,253.76
2013-06-03,284.40,300.00,272.55,290.00,1843700,243.82
2013-05-01,312.00,312.00,276.00,285.55,1880700,240.08
2013-04-01,274.40,313.30,274.20,312.00,2919800,262.32
2013-03-01,295.00,309.45,267.70,272.45,2394800,229.07
2013-02-01,326.90,328.25,292.50,297.95,3259000,250.51
2013-01-01,318.10,349.00,318.10,323.30,3321700,271.82
2012-12-03,330.00,335.80,309.45,319.10,3197500,268.29
2012-11-01,338.00,339.00,325.15,330.05,3761300,277.49
2012-10-01,330.35,344.20,306.20,336.50,3296600,278.69
2012-09-03,340.10,367.00,323.00,331.05,12044600,274.18
2012-08-01,331.25,350.00,313.45,340.05,2839700,281.63
2012-07-02,310.80,336.00,307.90,333.70,3358600,276.37
2012-06-01,330.10,336.20,296.10,307.55,8098500,254.72
2012-05-01,345.25,350.80,301.00,334.10,4207000,276.70
2012-04-02,336.00,363.00,329.50,345.25,1820300,285.94
2012-03-01,368.00,381.00,326.65,333.90,2360600,276.54
2012-02-01,342.90,401.10,335.20,369.00,3121300,305.61
2012-01-02,315.00,366.60,310.10,339.25,2430800,280.97
2011-12-01,309.00,328.90,291.25,314.25,1681600,260.26
2011-11-01,297.55,324.95,284.45,301.45,1707800,249.66
2011-10-03,272.95,312.50,258.00,298.30,1950100,247.05
2011-09-02,287.35,308.00,260.00,272.50,2187600,225.69
2011-08-01,310.00,315.75,249.30,279.05,1849400,231.11
2011-07-01,310.10,332.00,304.35,308.30,1840800,255.34
2011-06-01,339.55,341.95,298.15,311.75,2327800,258.19
2011-05-02,350.25,359.00,331.30,338.90,1871300,280.68
2011-04-01,352.10,372.35,333.00,349.05,5673300,289.09
2011-03-01,339.00,359.00,335.60,350.95,2594200,290.66
2011-02-01,334.00,341.00,306.00,339.20,2931300,280.93
2011-01-03,333.50,348.00,321.00,328.55,2028700,272.11
2010-12-01,315.35,339.55,313.60,332.75,1938100,275.59
2010-11-01,326.75,335.90,283.25,315.15,2114700,261.01
2010-10-01,337.40,355.00,315.25,320.90,2523100,265.77
2010-09-01,333.00,355.00,325.70,335.00,3033500,277.45
2010-08-02,337.00,368.05,330.10,332.55,5723900,275.42
2010-07-01,301.50,338.95,293.25,334.35,2557800,276.91
2010-06-01,298.10,316.90,283.70,303.75,1980700,251.57
2010-05-03,314.90,321.30,266.30,300.15,3297000,248.59
2010-04-01,306.50,317.90,296.00,315.70,2096700,261.47
2010-03-02,262.90,307.60,261.40,305.65,3077900,253.14
2010-02-01,263.70,274.00,248.10,266.05,2572100,220.35
2010-01-01,282.50,309.95,258.00,265.70,3016600,220.06
2009-12-01,280.50,300.05,266.05,282.15,1773900,233.68
2009-11-02,262.50,288.90,254.15,278.35,1841300,230.53
2009-10-01,263.50,300.95,252.55,263.45,2679800,218.19
2009-09-01,266.00,275.45,253.15,261.85,2568600,216.87
2009-08-03,237.40,272.45,232.10,264.90,3458900,219.39
2009-07-01,232.90,252.00,200.60,235.30,3567000,194.88
2009-06-01,236.15,274.00,220.10,232.75,6746800,192.77
2009-05-01,185.60,240.50,185.60,231.85,8403300,192.02
2009-04-01,183.50,211.60,178.50,185.60,3413400,153.72
2009-03-02,165.00,199.00,152.25,184.10,4214700,152.47
2009-02-02,158.10,170.75,147.10,167.05,3061500,138.35
2009-01-01,175.50,184.00,140.00,164.65,3297000,136.36
2008-12-01,142.00,176.90,129.10,172.05,4229400,142.49
2008-11-03,132.95,163.20,122.15,141.65,4585700,117.32
2008-10-01,219.20,219.20,88.20,129.00,5055600,106.84
2008-09-01,248.00,251.80,190.00,212.20,3142000,175.75
2008-08-01,238.00,254.55,229.85,248.50,3626900,205.81
2008-07-01,278.00,278.00,206.50,241.80,7921100,200.26
2008-06-02,283.80,304.90,250.95,274.70,7457600,227.51
2008-05-02,252.10,342.70,242.00,286.45,13546500,237.24
2008-04-01,224.90,269.90,219.50,248.15,4744400,205.52
2008-03-03,224.00,255.85,187.60,224.10,7613400,185.60
2008-02-01,204.00,231.00,180.15,228.60,3323400,189.33
2008-01-01,259.90,268.90,125.00,194.55,4705300,161.13
2007-12-03,216.00,259.60,205.05,257.25,4722100,213.06
2007-11-01,213.80,230.00,192.50,214.95,4288300,178.02
2007-10-01,181.10,217.00,165.10,207.40,4776500,171.77
2007-09-03,151.00,187.85,147.60,181.10,4588700,149.99
2007-08-01,143.00,152.00,134.50,149.95,903500,124.19
2007-07-02,146.00,164.70,140.70,148.85,2915600,123.28
2007-06-01,145.00,147.50,131.00,145.80,1494700,120.75
2007-05-03,134.55,156.00,127.70,143.35,2454800,118.72
2007-04-02,130.00,141.90,123.55,134.55,1022600,111.44
2007-03-01,119.70,135.00,111.00,132.15,803500,109.45
2007-02-01,151.00,151.00,115.00,118.50,2070300,98.14
2007-01-09,152.00,162.00,128.80,147.60,10358300,122.24
