Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,515.00,549.70001,509.60001,532.79999,2622200,532.79999
2016-02-01,591.90002,606.04999,505.00,514.15002,2145200,514.15002
2016-01-01,653.20001,658.45001,572.29999,585.09998,1083500,585.09998
2015-12-01,645.50,661.40002,620.00,649.75,880800,649.75
2015-11-02,688.95001,688.95001,613.15002,643.65002,1166900,643.65002
2015-10-01,642.90002,704.90002,631.45001,690.45001,1975000,690.45001
2015-09-01,682.00,688.40002,623.50,636.04999,1891100,636.04999
2015-08-03,713.79999,745.00,605.70001,682.15002,2766900,682.15002
2015-07-01,619.00,724.00,616.75,709.04999,1379700,707.06732
2015-06-01,645.50,672.75,571.25,615.40002,1883100,613.6792
2015-05-01,636.00,695.95001,620.40002,650.45001,2058600,648.63123
2015-04-01,714.00,746.09998,618.75,636.00,1808300,634.22162
2015-03-02,683.54999,752.84998,681.34998,712.45001,1802100,710.45782
2015-02-02,698.00,706.50,623.45001,669.84998,1669800,667.97693
2015-01-01,626.50,711.90002,604.50,695.75,1391600,693.8045
2014-12-01,636.84998,667.29999,597.79999,626.40002,1466300,624.64844
2014-11-03,670.00,671.00,593.00,635.15002,1814700,633.37402
2014-10-01,626.79999,673.00,570.20001,666.54999,1422900,664.68616
2014-09-01,516.29999,639.09998,514.70001,626.79999,2808800,625.0473
2014-08-01,455.00,517.40002,430.00,514.20001,1443500,512.76221
2014-07-01,439.00,463.35001,425.25,456.50,1265500,453.15668
2014-06-02,389.00,445.00,381.20001,438.00,1969200,434.79218
2014-05-01,397.45001,425.00,367.50,384.54999,1742100,381.73361
2014-04-01,383.70001,410.10001,379.14999,397.45001,1102600,394.53915
2014-03-03,386.00,401.60001,373.85001,382.79999,1369500,379.99643
2014-02-03,408.50,423.60001,366.50,384.29999,2249500,381.48544
2014-01-01,402.50,425.85001,386.00,410.60001,1112100,407.59286
2013-12-02,392.00,409.50,373.20001,400.79999,1246800,397.86459
2013-11-01,414.50,429.75,378.54999,391.25,1261800,388.38455
2013-10-01,432.00,444.79999,408.70001,413.20001,1091500,410.17383
2013-09-02,418.00,450.39999,403.39999,432.50,1210100,429.33246
2013-08-01,401.85001,429.79999,381.64999,416.95001,1616700,413.89636
2013-07-01,391.04999,419.85001,389.35001,400.29999,1122800,395.36008
2013-06-03,371.54999,393.50,364.00,391.95001,1686300,387.11316
2013-05-01,405.29999,428.00,368.00,370.54999,1616100,365.97723
2013-04-01,383.75,413.85001,379.64999,405.29999,1102900,400.2984
2013-03-01,358.00,395.95001,354.00,379.75,1179800,375.06369
2013-02-01,407.00,417.54999,355.75,359.85001,2590200,355.40927
2013-01-01,416.00,435.00,385.95001,407.04999,1839700,402.02679
2012-12-03,416.89999,430.10001,402.04999,414.25,1345000,409.13794
2012-11-01,365.10001,416.89999,365.10001,414.64999,2219800,409.53302
2012-10-01,382.00,387.20001,320.29999,363.29999,1489100,358.81668
2012-09-03,377.25,395.39999,352.50,380.10001,2453300,375.40939
2012-08-01,360.00,383.10001,345.00,376.45001,1835600,371.80444
2012-07-02,316.25,342.35001,313.29999,338.60001,1155900,332.4462
2012-06-01,310.70001,317.89999,300.00,316.54999,1156300,310.79691
2012-05-01,312.00,331.29999,303.79999,309.89999,1539600,304.26779
2012-04-02,305.00,324.95001,302.20001,312.00,1027700,306.32962
2012-03-01,318.89999,320.00,286.29999,305.10001,1846400,299.55502
2012-02-01,350.25,359.95001,311.29999,316.95001,1620900,311.18967
2012-01-02,320.89999,352.79999,316.50,350.25,1056300,343.88446
2011-12-01,332.25,340.00,315.00,319.89999,1195300,314.08603
2011-11-01,292.35001,329.50,284.00,328.04999,1830300,322.08792
2011-10-03,280.04999,300.00,276.14999,295.39999,1287200,290.03131
2011-09-02,289.10001,299.60001,272.85001,281.35001,1259800,276.23666
2011-08-01,310.00,315.45001,274.20001,280.70001,1316600,275.59848
2011-07-01,330.70001,337.95001,305.00,306.60001,1072600,299.04861
