Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,311.70,333.00,292.00,298.00,5750200,298.00
2016-02-01,321.70,337.20,292.70,311.00,4610600,284.28
2016-01-01,330.00,337.10,286.50,319.95,3504900,292.46
2015-12-01,331.10,346.55,305.00,329.80,2741900,301.46
2015-11-02,320.00,345.00,316.55,330.55,3180500,302.15
2015-10-01,329.55,348.90,318.75,319.90,3220000,292.41
2015-09-01,362.00,365.50,300.80,327.60,4693700,299.45
2015-08-03,441.00,447.10,332.45,366.35,6364900,334.87
2015-07-01,422.55,442.80,413.70,439.05,4554000,401.33
2015-06-01,392.00,422.60,381.40,421.25,4906100,385.06
2015-05-01,362.75,393.75,352.15,391.05,2999300,357.45
2015-04-01,362.90,395.70,356.40,362.75,2748300,331.58
2015-03-02,394.80,398.20,346.40,362.90,3337100,331.72
2015-02-02,354.25,398.00,350.15,395.25,10649700,342.34
2015-01-01,383.00,400.00,356.00,360.85,3639300,312.55
2014-12-01,355.00,393.35,348.80,383.85,2711600,332.47
2014-11-03,372.00,375.00,339.10,355.00,2850500,307.48
2014-10-01,341.80,371.95,331.35,370.55,2174100,320.95
2014-09-01,357.50,384.90,333.15,341.35,3722800,295.66
2014-08-01,364.00,373.45,347.10,356.10,2333400,308.43
2014-07-01,388.70,401.70,352.20,367.70,4382700,318.48
2014-06-02,370.90,423.70,366.60,384.95,5684700,333.42
2014-05-01,291.85,416.80,291.85,370.90,6536700,321.25
2014-04-01,289.50,304.35,275.05,291.85,2927200,252.78
2014-03-03,244.05,292.00,240.70,288.75,2994900,250.10
2014-02-03,246.00,271.20,240.30,244.00,2608800,211.34
2014-01-01,294.70,307.85,244.40,247.45,4903800,214.33
2013-12-02,269.00,298.90,268.00,290.00,2944900,227.11
2013-11-01,286.50,301.50,260.95,271.95,2174300,212.98
2013-10-01,295.00,314.80,275.00,287.95,2161600,225.51
2013-09-02,253.80,309.00,252.70,294.45,2724300,230.60
2013-08-01,280.00,286.00,238.20,251.40,2413900,193.90
2013-07-01,303.90,308.00,270.00,281.55,2101100,217.15
2013-06-03,325.25,330.70,285.20,302.55,3169000,233.35
2013-05-01,319.20,329.50,294.05,324.70,2849300,250.43
2013-04-01,309.10,324.30,292.00,319.20,2102900,246.19
2013-03-01,310.40,327.50,291.00,309.10,1999500,238.40
2013-02-01,352.25,359.10,305.10,309.80,2608700,231.70
2013-01-01,356.05,372.40,337.00,353.35,1931000,264.27
2012-12-03,366.30,374.85,348.70,354.80,1864800,265.35
2012-11-01,345.50,373.50,342.25,366.55,1814300,274.14
2012-10-01,360.00,370.20,289.40,346.30,1321300,258.99
2012-09-03,352.40,386.25,349.35,358.95,2203800,268.46
2012-08-01,357.00,371.75,335.05,351.45,1968600,262.48
2012-07-02,348.00,363.60,344.75,359.35,1468500,268.38
2012-06-01,321.60,354.00,314.80,346.80,1720700,259.01
2012-05-01,352.35,355.45,301.10,321.60,2292400,240.19
2012-04-02,340.00,367.45,328.50,352.35,1890900,263.15
2012-03-01,333.90,349.70,323.60,343.90,2979100,256.84
2012-02-01,327.00,343.95,315.70,334.50,4965100,243.00
2012-01-02,303.00,358.30,303.00,327.20,4573800,237.70
2011-12-01,335.20,338.35,293.60,300.65,2985700,218.41
2011-11-01,330.70,332.45,294.60,327.15,3571500,237.66
2011-10-03,330.00,349.15,314.55,332.00,6324400,241.19
2011-09-02,383.00,393.45,325.15,333.20,3956400,242.06
2011-08-01,391.50,406.50,357.00,375.60,3815700,272.58
2011-07-01,392.85,408.70,299.00,388.25,3947100,281.76
2011-06-01,415.00,416.60,375.00,392.85,2511300,285.10
2011-05-02,362.00,422.35,359.25,408.45,4733200,296.42
2011-04-01,347.00,383.30,342.60,380.55,3098900,276.17
2011-03-01,325.00,371.40,318.40,346.50,3620600,251.46
2011-02-01,305.50,331.75,289.00,327.70,4641100,237.82
2011-01-03,315.50,320.00,300.55,304.35,3152800,218.34
2010-12-01,317.00,331.00,301.00,314.75,4626800,225.80
2010-11-04,291.00,356.50,291.00,317.25,45682000,227.59
