Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,3040.00,3283.00,3000.00,3047.90,416200,3047.90
2016-02-01,3085.00,3154.40,2813.05,3036.25,537400,3036.25
2016-01-01,3118.80,3123.00,2750.05,3105.40,422000,3105.40
2015-12-01,3132.00,3265.00,2951.00,3108.60,532700,3108.60
2015-11-02,4253.00,4379.20,3047.05,3107.80,1211100,3107.80
2015-10-01,4213.75,4386.60,4080.10,4279.90,536200,4279.90
2015-09-01,4304.85,4309.45,3851.65,4162.35,416300,4162.35
2015-08-03,4090.10,4337.95,3932.00,4302.65,406800,4302.65
2015-07-01,3548.00,4093.50,3535.40,4076.10,372700,4076.10
2015-06-01,3528.00,3572.00,3266.55,3559.45,263600,3540.375
2015-05-01,3310.25,3692.65,3250.05,3535.25,377700,3516.305
2015-04-01,3541.00,3807.80,3276.50,3310.25,318900,3292.51
2015-03-02,3363.00,3575.00,3300.15,3488.75,301300,3470.054
2015-02-02,3179.75,3424.95,3007.00,3278.05,323300,3260.483
2015-01-01,3230.00,3389.75,3010.00,3233.25,411500,3215.923
2014-12-01,3602.00,3666.25,3057.00,3246.20,338000,3228.803
2014-11-03,3189.90,3639.00,3168.70,3606.25,279000,3586.924
2014-10-01,3254.00,3277.00,2867.00,3168.30,270800,3151.321
2014-09-01,2951.00,3356.50,2941.20,3229.60,327100,3212.293
2014-08-01,2775.00,2975.00,2711.10,2947.90,299400,2932.102
2014-07-01,2626.00,2849.95,2599.65,2808.70,353800,2793.648
2014-06-02,2465.00,2630.20,2291.15,2624.05,462500,2592.264
2014-05-01,2706.15,2755.00,2246.50,2460.65,787200,2430.843
2014-04-01,2581.00,2781.75,2520.05,2706.15,356200,2673.369
2014-03-03,2878.00,2878.00,2546.40,2563.90,437900,2532.842
2014-02-03,2605.00,2939.40,2516.55,2895.50,391800,2860.426
2014-01-01,2545.00,2691.95,2460.20,2609.55,261800,2577.939
2013-12-02,2499.00,2557.55,2391.15,2534.60,208700,2503.897
2013-11-01,2456.00,2500.00,2377.10,2484.80,231300,2454.701
2013-10-01,2372.95,2545.15,2354.00,2456.40,355800,2426.645
2013-09-02,2271.60,2474.40,2194.20,2381.15,267500,2352.306
2013-08-01,2300.00,2367.00,2027.00,2292.90,328400,2265.125
2013-07-01,2217.90,2404.80,2135.80,2281.20,417200,2253.567
2013-06-03,2093.10,2233.90,2034.20,2218.85,334900,2177.651
2013-05-01,2028.20,2152.00,1970.00,2092.00,420300,2053.156
2013-04-01,1779.00,2038.65,1768.25,2028.20,364100,1990.541
2013-03-01,1752.00,1834.00,1720.40,1766.50,217100,1733.70
2013-02-01,1922.00,1961.00,1725.10,1755.45,445500,1722.855
2013-01-01,1831.60,1970.00,1821.10,1915.90,431800,1880.326
2012-12-03,1822.25,1915.50,1811.00,1829.75,294500,1795.776
2012-11-01,1767.00,1830.00,1711.05,1819.40,308600,1785.618
2012-10-01,1650.00,1782.00,1527.55,1756.50,322000,1723.886
2012-09-03,1675.05,1815.00,1616.30,1645.65,492400,1615.094
2012-08-01,1615.00,1708.00,1615.00,1677.60,206400,1646.451
2012-07-02,1636.00,1719.80,1590.50,1614.95,403100,1584.964
2012-06-01,1687.90,1687.90,1526.40,1648.15,382100,1617.548
2012-05-01,1762.95,1780.75,1631.25,1685.60,258200,1640.169
2012-04-02,1774.00,1815.85,1685.85,1762.95,260100,1715.434
2012-03-01,1631.00,1779.00,1630.45,1764.75,291300,1717.186
2012-02-01,1694.00,1698.80,1592.00,1642.70,470500,1598.425
2012-01-02,1584.95,1705.00,1534.75,1689.75,307400,1644.207
2011-12-01,1598.00,1639.00,1531.35,1577.95,343300,1535.42
2011-11-01,1645.10,1657.45,1500.00,1577.50,349200,1534.983
2011-10-03,1475.40,1684.70,1440.80,1670.70,299100,1625.671
2011-09-02,1540.85,1556.70,1435.25,1483.15,312900,1443.176
