Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,306.50,368.50,303.70,356.10,1437900,356.10
2016-02-01,368.00,373.20,290.30,305.15,1700700,305.15
2016-01-01,374.75,381.00,329.10,368.60,1527400,365.8423
2015-12-01,364.00,377.90,333.60,375.10,1700200,372.2936
2015-11-02,310.00,370.80,276.15,365.10,1937400,362.3684
2015-10-01,305.25,331.65,292.00,308.45,814300,306.1423
2015-09-01,297.00,311.60,272.00,302.30,1131800,300.0383
2015-08-03,355.00,355.50,260.05,296.10,2019700,293.8847
2015-07-01,392.00,401.20,343.10,354.95,1147000,348.5558
2015-06-01,389.95,417.90,369.20,392.20,1108900,385.1348
2015-05-01,360.30,401.00,357.35,388.85,1350900,381.8452
2015-04-01,388.90,414.75,353.35,360.30,1068500,353.8094
2015-03-02,413.00,415.00,372.15,387.80,1533900,380.8141
2015-02-02,423.20,442.95,391.00,406.70,1475300,396.4277
2015-01-01,443.00,450.85,412.60,423.00,1725600,412.316
2014-12-01,486.50,489.95,405.25,444.80,1528000,433.5653
2014-11-03,533.40,533.55,469.00,488.20,1634000,475.8692
2014-10-01,452.00,551.90,431.35,528.80,1648500,515.4437
2014-09-01,447.50,470.00,434.65,449.45,1075000,438.0979
2014-08-01,431.60,446.50,387.20,443.40,1389800,432.2007
2014-07-01,464.00,474.10,420.15,435.95,1238500,419.1667
2014-06-02,377.50,469.30,377.10,463.05,2585900,445.2234
2014-05-01,370.10,437.00,356.60,377.80,2101500,363.2554
2014-04-01,376.10,388.80,356.60,370.10,1564200,355.8518
2014-03-03,369.80,392.00,347.00,376.05,1360400,361.5727
2014-02-03,359.00,373.00,346.75,370.75,812700,356.4768
2014-01-01,344.00,361.00,332.30,358.30,860600,340.1538
2013-12-02,338.05,355.55,330.65,342.30,741100,324.9641
2013-11-01,350.00,352.90,318.00,338.45,812200,321.3091
2013-10-01,327.30,358.75,321.50,353.60,861700,335.6919
2013-09-02,295.50,344.00,291.25,327.80,1150100,311.1985
2013-08-01,303.00,323.65,272.20,295.45,1156500,275.2927
2013-07-01,313.00,336.80,292.10,301.20,1336000,280.6504
2013-06-03,305.35,317.85,276.15,313.30,1208500,291.9248
2013-05-01,351.15,352.65,303.30,306.05,1243000,285.1695
2013-04-01,319.60,355.50,310.20,351.15,765500,327.1925
2013-03-01,333.75,351.00,300.25,318.25,1159200,296.5371
2013-02-01,343.30,348.00,325.00,332.55,1284200,309.8615
2013-01-01,359.00,395.85,335.30,342.25,1620100,315.1341
2012-12-03,353.00,358.35,342.75,356.75,707800,328.4853
2012-11-01,346.25,367.70,335.50,353.35,855100,325.3547
2012-10-01,382.50,397.20,320.85,348.90,945200,321.2572
2012-09-03,355.90,393.00,345.65,382.75,1043600,352.4254
2012-08-01,354.25,380.90,349.00,355.05,910000,326.92
2012-07-02,352.10,367.45,337.00,353.85,764900,320.864
2012-06-01,322.00,359.70,314.00,352.10,1454000,319.2771
2012-05-01,330.45,341.00,302.00,321.20,1203800,291.2576
2012-04-02,378.40,385.50,321.95,330.45,1307600,299.6454
2012-03-01,375.00,383.40,345.75,376.25,1212600,341.1758
2012-02-01,370.05,400.85,369.25,374.90,1257900,339.9517
2012-01-02,384.00,398.80,360.00,373.30,1533900,338.5008
2011-12-01,397.25,404.60,365.20,383.65,1211100,345.0473
2011-11-01,420.00,431.25,367.00,391.65,1022600,352.2423
