Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,3350.00,3827.00,3311.00,3781.00,72000,3781.00
2016-02-01,3512.00,3569.95,3233.00,3327.65,63300,3327.65
2016-01-01,3743.20,3790.10,3321.05,3393.65,66500,3393.65
2015-12-01,3752.00,3790.00,3586.20,3754.85,41800,3754.85
2015-11-02,3712.05,3752.00,3555.75,3741.70,39000,3741.70
2015-10-01,3536.10,3759.00,3501.50,3712.05,44200,3712.05
2015-09-01,3420.00,3549.00,3323.20,3517.85,53700,3517.85
2015-08-03,3717.00,3842.90,3362.65,3446.55,79800,3428.38
2015-07-01,3443.05,3783.00,3428.15,3716.25,49300,3696.66
2015-06-01,3640.65,3680.00,3301.00,3442.45,54900,3424.30
2015-05-01,3589.30,3698.00,3443.00,3640.65,64000,3621.46
2015-04-01,3640.00,3826.90,3535.05,3589.30,58800,3570.38
2015-03-02,3800.00,4024.85,3528.65,3622.35,76800,3603.25
2015-02-02,3828.10,3937.40,3580.65,3745.25,91100,3725.51
2015-01-01,3394.00,3975.00,3341.90,3884.05,85300,3863.57
2014-12-01,3540.15,3587.65,3305.20,3385.05,57000,3367.20
2014-11-03,3515.00,3660.00,3460.00,3555.70,57700,3536.96
2014-10-01,3559.90,3560.00,3218.00,3508.05,69800,3489.56
2014-09-01,3419.80,3758.00,3404.00,3548.40,85000,3529.69
2014-08-01,3202.00,3475.00,3173.95,3397.35,76300,3379.44
2014-07-01,3441.90,3464.00,3188.05,3214.75,92900,3178.17
2014-06-02,3182.55,3789.00,3138.30,3430.50,146600,3391.47
2014-05-01,2616.05,3274.75,2583.10,3179.25,99300,3143.08
2014-04-01,2900.00,2901.35,2600.00,2616.05,56900,2586.28
2014-03-03,2550.00,2922.00,2515.80,2888.05,75700,2855.19
2014-02-03,2550.00,2599.00,2426.35,2540.80,49700,2511.89
2014-01-01,2720.10,2740.00,2536.40,2565.10,69000,2535.91
2013-12-02,2672.80,2827.00,2562.65,2714.60,48900,2683.71
2013-11-01,2814.00,2849.90,2520.00,2659.35,80200,2629.09
2013-10-01,2649.90,2842.00,2616.20,2815.05,83900,2783.02
2013-09-02,2255.00,2859.00,2105.65,2646.05,76400,2615.94
2013-08-01,2633.00,2665.00,2125.00,2260.10,106800,2234.38
2013-07-01,2760.50,2839.90,2620.00,2646.80,48700,2616.68
2013-06-03,2857.25,2873.65,2705.00,2759.90,65200,2705.78
2013-05-01,2930.95,3160.00,2843.05,2854.05,55400,2798.08
2013-04-01,2813.30,3000.00,2666.75,2930.95,62500,2873.47
2013-03-01,2929.00,3059.00,2799.95,2813.30,81600,2758.13
2013-02-01,3000.05,3090.00,2921.00,2955.90,90800,2897.93
2013-01-01,3173.50,3229.05,2942.80,3005.90,71100,2946.95
2012-12-03,3360.00,3405.00,3120.10,3169.50,75100,3107.34
2012-11-01,3311.55,3415.20,3145.00,3360.40,53700,3294.50
2012-10-01,3276.05,3510.00,2844.20,3313.00,77000,3248.03
2012-09-03,2997.95,3348.50,2887.00,3314.25,74600,3249.26
2012-08-01,2869.00,3069.50,2846.00,2989.80,82400,2931.17
2012-07-02,2641.00,2885.00,2571.90,2870.25,80600,2793.08
2012-06-01,2301.00,2688.00,2210.00,2640.90,73800,2569.89
2012-05-01,2560.35,2597.00,2274.10,2306.00,54600,2244.00
2012-04-02,2612.00,2688.00,2475.00,2564.45,53200,2495.50
2012-03-01,2774.70,2849.95,2545.05,2627.05,70100,2556.42
2012-02-01,2617.95,2928.00,2607.15,2771.55,89400,2697.03
2012-01-02,2474.00,2643.50,2375.00,2612.45,68700,2542.21
2011-12-01,2375.25,2548.00,2280.00,2488.75,68500,2421.83
2011-11-01,2479.70,2550.00,2205.10,2341.20,55300,2278.25
2011-10-03,2358.00,2612.15,2241.80,2480.45,73400,2413.76
2011-09-02,2185.00,2405.70,2102.15,2341.80,87900,2278.83
2011-08-01,2201.15,2235.00,2015.00,2185.55,66800,2107.42
2011-07-01,2098.55,2259.80,2048.00,2196.00,78800,2117.49
2011-06-01,2281.25,2337.35,1981.90,2095.85,58100,2020.92
