Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,813.90,866.35,801.35,817.70,2132400,817.70
2016-02-01,865.80,889.90,784.95,813.25,1223200,813.25
2016-01-01,855.10,870.00,798.05,865.75,1674800,865.75
2015-12-01,870.95,885.70,826.00,855.10,1029800,848.9827
2015-11-02,875.00,889.50,823.20,870.95,1242300,864.7193
2015-10-01,890.00,914.80,811.10,871.70,3342600,865.4639
2015-09-01,967.00,989.70,906.45,982.15,1240300,969.4827
2015-08-03,952.45,997.70,884.00,971.05,1824800,958.5258
2015-07-01,917.25,1006.00,912.25,998.25,1270700,980.1669
2015-06-01,992.80,998.50,882.75,919.75,1534400,903.0889
2015-05-01,880.55,1044.95,865.80,1010.75,1943600,992.4405
2015-04-01,947.00,978.50,835.10,880.55,2448700,864.599
2015-03-02,2040.90,2116.8999,954.90,980.40,3196900,958.338
2015-02-02,1800.00,2055.00,1798.05,2022.00,2368900,988.2493
2015-01-01,1599.00,1820.00,1492.70,1791.75,2649100,868.3416
2014-12-01,1665.00,1689.80,1415.00,1596.90,1737100,773.9108
2014-11-03,1615.00,1697.00,1552.00,1662.35,1517700,805.63
2014-10-01,1720.00,1776.25,1480.00,1608.40,2168600,779.4841
2014-09-01,1659.00,1735.00,1594.90,1714.75,1591400,824.3604
2014-08-01,1545.25,1665.75,1502.20,1630.75,1631000,783.9777
2014-07-01,1495.00,1625.00,1440.00,1555.10,2193000,747.6091
2014-06-02,1420.05,1508.00,1301.60,1500.15,2324000,721.1921
2014-05-01,1402.90,1455.00,1256.00,1418.55,2166500,681.9633
2014-04-01,1410.00,1463.80,1335.00,1402.90,2116500,674.4395
2014-03-03,1576.00,1576.00,1371.25,1390.70,3100900,664.8593
2014-02-03,1454.00,1590.00,1364.00,1575.55,2863500,753.2316
2014-01-01,1268.80,1469.90,1240.15,1462.20,2424200,699.0417
2013-12-02,1082.40,1270.00,1082.40,1262.55,2526700,600.241
2013-11-01,1096.75,1137.90,1043.00,1086.00,1787800,511.0118
