Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,974.95,1056.60,971.85,1049.35,1293400,1049.35
2016-02-01,1058.00,1067.00,928.00,971.85,1806500,971.85
2016-01-01,1082.40,1108.00,1007.90,1049.85,1391200,1049.85
2015-12-01,1077.05,1092.70,1040.10,1082.15,1162700,1082.15
2015-11-02,1095.05,1098.10,1041.00,1077.75,1058800,1077.75
2015-10-01,1075.20,1124.00,1059.35,1099.60,1225200,1099.60
2015-09-01,1021.30,1073.90,977.00,1068.80,1643800,1068.80
2015-08-03,1112.75,1117.50,1005.70,1027.45,1400700,1027.45
2015-07-01,1061.35,1128.00,1054.05,1111.65,1396800,1111.65
2015-06-01,1048.95,1072.00,990.15,1067.15,1757800,1059.19
2015-05-01,988.80,1054.00,944.20,1050.55,1620600,1042.71
2015-04-01,1026.10,1059.00,979.05,988.80,1616900,981.42
2015-03-02,1080.35,1109.30,1002.10,1022.70,2158800,1015.07
2015-02-02,1068.50,1093.00,1030.00,1054.00,1768500,1046.14
2015-01-01,951.00,1100.60,936.25,1077.35,2029000,1069.31
2014-12-01,958.30,973.95,916.00,951.60,1520200,944.50
2014-11-03,915.20,965.90,893.00,957.15,2010500,950.01
2014-10-01,866.00,914.60,854.10,911.85,1474100,905.05
2014-09-01,845.90,879.80,838.60,872.65,2029300,866.14
2014-08-01,826.05,852.80,791.40,843.55,1560400,837.26
2014-07-01,823.00,860.70,807.15,834.00,1864700,827.78
2014-06-02,793.50,856.00,793.50,821.55,1925400,815.42
2014-05-01,721.30,854.00,711.45,792.75,3246100,780.24
2014-04-01,751.50,753.55,707.30,721.30,1878900,709.91
2014-03-03,665.20,760.75,662.50,748.80,2631000,736.98
2014-02-03,629.95,682.90,616.80,669.60,1297400,659.03
2014-01-01,668.00,685.00,625.10,628.50,2367400,618.58
2013-12-02,662.00,717.40,649.55,665.85,3216600,655.34
2013-11-01,681.60,688.00,616.70,661.30,2650100,650.86
2013-10-01,598.80,689.00,589.35,680.80,3019800,670.05
2013-09-02,598.00,689.90,557.05,593.05,4628900,583.69
2013-08-01,613.90,637.80,528.00,594.00,6121300,584.62
2013-07-01,669.00,698.05,606.90,609.75,3319800,600.13
2013-06-03,698.00,701.40,620.00,669.50,3314500,658.93
2013-05-01,682.30,727.30,669.95,700.50,2419900,683.73
2013-04-01,624.65,702.00,613.40,682.30,3284600,665.97
2013-03-01,625.00,660.00,602.55,625.35,3461500,610.38
2013-02-01,644.80,680.90,619.35,625.35,3338800,610.38
2013-01-01,682.10,690.00,640.10,643.05,2653400,627.66
2012-12-03,700.00,701.15,669.75,678.60,2313500,662.36
2012-11-01,632.75,705.50,627.50,703.95,2178400,687.10
2012-10-01,629.00,644.80,505.05,634.20,2051800,619.02
2012-09-03,597.55,638.90,583.35,629.15,2908300,614.09
2012-08-01,585.55,609.50,577.30,595.35,2372200,581.10
2012-07-02,564.00,593.80,560.00,587.75,2480300,573.68
2012-06-01,504.00,564.90,485.05,563.55,3095600,550.06
2012-05-01,542.50,558.00,482.20,506.20,3060100,490.21
2012-04-02,518.00,558.00,515.85,542.50,2309400,525.37
2012-03-01,517.00,534.50,493.00,519.85,2756500,503.43
2012-02-01,494.50,539.90,481.35,517.10,3854800,500.77
2012-01-02,428.90,504.00,419.50,492.10,2585600,476.56
2011-12-01,458.95,470.90,400.25,426.85,3539700,413.37
2011-11-01,485.10,493.00,411.30,442.50,3766600,428.52
2011-10-03,460.15,497.00,436.55,490.00,4344300,474.52
2011-09-02,484.00,497.65,439.45,467.65,3875300,452.88
2011-08-01,493.45,495.95,436.15,471.95,3499600,457.04
2011-07-01,2540.00,2583.30,481.10,486.80,3112700,471.43
2011-06-01,2390.00,2524.95,2271.95,2515.55,3460700,487.22
2011-05-02,2306.00,2408.70,2207.80,2399.55,4309000,448.77
2011-04-01,2353.00,2441.05,2275.00,2295.55,4473700,429.31
2011-03-01,2074.80,2395.90,2059.00,2345.85,4966800,438.72
2011-02-01,2076.90,2243.10,1981.40,2052.25,4589200,383.81
2011-01-03,2370.00,2399.65,1996.20,2047.30,5819800,382.89
2010-12-01,2288.55,2425.00,2150.00,2346.35,4181500,438.82
2010-11-01,2298.00,2419.80,2258.50,2285.40,3376300,427.42
2010-10-01,2492.00,2539.90,2237.00,2279.90,4114300,426.39
2010-09-01,2135.55,2510.80,2120.00,2489.35,5253600,465.56
2010-08-02,2130.00,2239.80,2048.00,2134.25,3528800,399.15
2010-07-01,1912.00,2137.00,1895.00,2126.90,3747600,397.77
2010-06-01,1889.70,2010.00,1808.35,1919.00,3725900,358.89
2010-05-03,1985.00,1995.00,1785.00,1888.45,3285600,341.91
2010-04-01,1950.00,2010.00,1890.50,2000.45,3297400,362.19
2010-03-02,1724.00,1990.00,1628.85,1933.50,5283700,350.07
2010-02-01,1628.00,1734.75,1549.00,1704.80,4453000,308.66
2010-01-01,1705.20,1790.00,1552.50,1631.05,5388400,295.31
2009-12-01,1779.70,1839.00,1642.10,1702.25,3149200,308.20
2009-11-02,1625.00,1810.00,1581.35,1766.25,3716900,319.79
2009-10-01,1640.00,1738.80,1570.25,1620.70,3215000,293.44
2009-09-01,1480.05,1660.00,1425.00,1650.50,4198400,298.83
2009-08-03,1500.00,1518.70,1355.00,1471.00,4862800,266.33
2009-07-01,1498.00,1548.00,1333.05,1499.10,6438500,271.42
2009-06-01,1454.00,1584.00,1347.90,1493.15,6750900,270.34
2009-05-01,1105.00,1539.70,1105.00,1444.50,8925800,253.14
2009-04-01,985.00,1139.95,951.60,1105.00,7128500,193.65
2009-03-02,873.10,1013.00,774.00,973.40,12847800,170.59
2009-02-02,920.00,958.15,835.00,889.50,6943100,155.88
2009-01-01,996.00,1125.25,865.10,925.60,7934900,162.21
2008-12-01,925.00,1084.35,845.10,998.35,8901700,174.96
2008-11-03,1055.15,1168.00,791.55,922.75,11740100,161.71
2008-10-01,1238.00,1308.70,862.00,1022.60,11174500,179.21
2008-09-01,1249.50,1386.00,1075.75,1229.70,9094800,215.50
2008-08-01,1094.70,1335.80,1026.25,1276.70,8095300,223.74
2008-07-01,1015.00,1249.00,892.30,1098.15,8691700,192.45
2008-06-02,1380.00,1380.00,995.00,1007.40,4692600,176.54
2008-05-02,1545.00,1600.00,1301.00,1368.70,2939700,239.86
2008-04-01,1320.05,1559.00,1270.00,1524.15,4198800,267.10
2008-03-03,1430.00,1467.20,1165.55,1331.25,4481800,226.79
2008-02-01,1575.00,1623.80,1350.70,1456.75,3262700,248.17
2008-01-01,1730.00,1825.00,1351.00,1569.55,3946600,267.39
2007-12-03,1735.00,1798.80,1616.55,1729.10,2387200,294.57
2007-11-01,1728.40,1799.80,1425.00,1716.15,3147400,292.36
2007-10-01,1440.00,1718.40,1305.00,1653.40,2810000,281.67
2007-09-03,1218.30,1459.00,1140.55,1435.60,2275000,244.57
2007-08-01,1188.90,1197.00,1051.20,1171.70,3137800,199.61
2007-07-02,1165.00,1255.00,1122.10,1200.60,2733800,204.53
2007-06-01,229.40,1184.20,228.20,1146.75,2895700,195.36
2007-05-03,1025.00,1159.85,957.55,1147.60,4268800,195.50
2007-04-02,910.10,1045.00,894.90,1024.15,3038600,168.57
2007-03-01,960.00,1032.00,883.55,954.15,3490200,157.05
2007-02-01,1080.05,1125.00,900.00,935.00,3494000,153.90
2007-01-02,1079.80,1160.00,981.10,1078.60,2788800,177.54
2006-12-01,1125.00,1134.80,991.25,1067.95,2030600,175.78
2006-11-01,1014.40,1150.00,985.15,1121.80,2863000,184.65
2006-10-03,930.00,1064.95,886.30,1004.60,2848400,165.36
2006-09-01,852.50,954.70,815.15,925.35,1900100,152.31
2006-08-01,796.00,870.00,156.02,852.05,1673400,140.25
2006-07-03,800.00,816.00,680.00,795.00,2026000,130.86
2006-06-01,760.00,814.80,128.80,795.95,2649100,131.01
2006-05-02,839.00,895.00,143.05,149.04,2999800,24.53
2006-04-03,774.25,865.00,148.18,163.47,3205000,26.06
2006-03-01,735.00,812.00,147.30,774.25,2826800,123.42
2006-02-01,765.00,775.00,144.50,737.15,2790800,117.50
2006-01-02,708.75,775.00,144.42,762.45,2664600,121.54
2005-12-01,687.10,748.50,676.50,708.75,1708500,112.98
2005-11-01,124.80,707.00,124.02,686.90,3575800,109.49
2005-10-03,685.15,715.00,603.00,606.65,2176000,96.70
2005-09-01,649.65,740.00,142.22,685.15,2446400,109.22
2005-08-01,689.90,765.00,125.98,640.25,1768600,102.06
2005-07-01,123.25,730.00,122.60,699.45,3081700,111.49
2005-06-01,541.50,642.95,107.10,636.05,2136400,101.39
2005-05-02,535.00,554.90,105.70,539.55,1034600,86.01
2005-04-01,546.00,632.25,109.01,535.00,1167500,81.73
2005-03-01,587.00,625.00,114.20,544.85,1446300,83.23
2005-02-01,566.00,599.85,550.25,587.30,1592800,89.72
2005-01-03,516.05,570.00,97.20,564.60,2966800,86.25
2004-12-01,499.10,529.95,93.80,520.35,1948100,79.49
2004-11-01,423.00,504.40,95.84,496.70,1970600,75.88
2004-10-01,409.80,425.00,80.28,83.02,1480600,12.68
2004-09-01,368.00,416.70,76.45,402.00,2983200,61.41
2004-08-02,375.00,381.90,73.66,367.65,916300,56.16
2004-07-01,370.00,379.50,73.40,375.20,1347600,57.32
2004-06-01,356.00,392.00,346.00,369.70,1421300,56.48
2004-05-03,375.00,395.00,256.15,351.25,1286000,53.66
2004-04-01,382.40,400.00,75.41,378.05,1216500,55.11
2004-03-01,376.90,400.00,335.15,378.75,1245100,55.21
2004-02-03,340.00,383.40,325.50,374.65,1559100,54.61
2004-01-01,363.00,406.75,300.55,344.95,2872700,50.29
2003-12-01,307.00,385.05,304.00,365.10,2450100,53.22
2003-11-03,320.50,323.00,53.10,302.60,1586200,44.11
2003-10-01,277.00,329.90,59.20,316.05,2324100,46.07
2003-09-01,275.00,291.00,263.15,275.00,1457400,40.09
2003-08-01,266.50,291.60,235.05,275.70,1123100,40.19
2003-07-01,264.95,303.50,252.55,265.35,1554100,38.68
2003-06-02,243.05,267.20,239.00,258.05,1062700,37.62
2003-05-02,247.95,257.00,239.05,245.10,537600,35.73
2003-04-01,233.05,250.00,231.00,247.00,750100,36.01
2003-03-03,250.05,252.25,47.60,234.55,445700,32.10
2003-02-03,222.00,256.00,222.00,249.85,741100,34.19
2003-01-01,219.90,243.45,209.90,237.10,634700,32.45
2002-12-02,195.90,223.00,187.30,216.05,826500,29.57
2002-11-01,189.00,200.05,38.97,39.01,565800,5.34
2002-10-01,216.10,217.00,186.00,189.90,557200,25.99
2002-09-02,210.90,226.00,208.35,218.60,251000,29.92
2002-08-01,42.79,215.00,41.50,209.55,284000,28.68
2002-07-01,40.00,43.82,40.00,42.55,391800,5.82
2002-06-03,46.20,47.00,39.95,40.31,439000,5.52
2002-05-02,44.09,46.45,40.11,45.88,449800,6.28
2002-04-01,48.30,48.30,43.70,43.92,467400,5.67
2002-03-01,46.40,48.28,45.71,47.32,297500,6.10
2002-02-01,45.20,51.00,44.00,46.72,563000,6.03
2002-01-01,45.60,50.80,44.01,44.94,318200,5.80
2001-12-03,44.20,47.20,42.80,45.12,434700,5.82
2001-11-01,43.60,46.60,43.04,44.43,669900,5.73
2001-10-01,43.30,47.60,39.00,43.54,403600,5.62
2001-09-03,47.60,47.78,36.82,43.42,459400,5.60
2001-08-01,47.50,48.20,45.24,47.31,274300,6.10
2001-07-02,42.80,47.16,39.91,46.84,545600,6.04
2001-06-01,46.28,46.94,39.42,41.92,512400,5.41
2001-05-02,44.10,48.94,44.10,45.98,450700,5.93
2001-04-02,45.24,50.00,43.00,46.08,456000,5.94
2001-03-01,52.40,54.94,42.11,45.67,633000,5.65
2001-02-01,50.80,55.80,47.80,51.31,1247700,6.34
2001-01-01,44.98,51.90,43.80,50.78,1183400,6.28
2000-12-01,44.05,48.80,42.00,44.56,1081300,5.51
2000-11-01,50.89,50.89,42.81,44.23,715500,5.47
2000-10-03,46.80,50.98,44.40,50.11,562200,6.19
2000-09-04,48.00,49.80,39.40,46.85,658500,5.79
2000-08-01,47.18,51.58,43.60,47.87,642900,5.92
2000-07-03,50.62,57.00,44.52,46.58,683000,5.76
2000-06-01,45.40,52.70,45.20,50.47,463400,6.24
2000-05-02,49.40,55.00,42.40,46.06,883600,5.69
2000-04-03,51.99,54.60,37.01,49.03,879300,6.06
2000-03-01,43.60,59.00,43.60,51.44,641400,6.12
2000-02-01,47.20,52.40,41.90,43.36,1161500,5.15
2000-01-03,33.20,49.23,31.40,47.55,1377900,5.65
1999-12-01,24.60,38.32,22.59,31.48,2287200,3.74
1999-11-01,18.04,23.08,17.80,23.08,544900,2.74
1999-10-01,19.80,21.39,17.60,18.54,1012000,2.20
1999-09-01,17.58,21.38,16.80,20.47,869600,2.43
1999-08-02,16.98,18.99,15.32,17.21,611600,2.05
1999-07-01,14.92,18.18,14.62,17.00,763800,2.02
1999-06-01,15.85,16.10,14.40,14.85,246000,1.77
1999-05-03,13.00,17.07,12.61,16.22,894200,1.93
1999-04-01,14.10,14.10,11.70,12.96,757800,1.54
1999-03-01,10.20,14.09,10.00,13.91,1990300,1.50
1999-02-01,11.87,12.00,9.83,10.05,351500,1.08
1999-01-01,11.04,13.57,10.62,12.14,877800,1.31
1998-12-01,10.28,11.60,10.07,10.95,329500,1.18
1998-11-02,10.55,11.88,9.60,10.23,483100,1.10
1998-10-05,12.29,12.78,10.12,10.65,390500,1.15
1998-09-01,11.31,14.56,11.23,12.97,632900,1.40
1998-08-03,12.60,12.88,11.14,11.56,902900,1.25
1998-07-01,12.55,14.41,11.25,12.76,500600,1.38
1998-06-01,13.96,14.24,11.05,13.05,820700,1.41
1998-05-04,15.69,15.80,13.30,13.89,897500,1.38
1998-04-01,13.95,17.22,13.95,15.36,1328700,1.53
1998-03-02,14.35,15.38,13.60,14.06,800900,1.40
1998-02-02,14.65,14.67,12.30,14.19,1137700,1.41
1998-01-01,15.90,16.79,14.00,14.48,654600,1.44
1997-12-01,14.02,16.98,13.70,16.10,453800,1.60
1997-11-03,16.34,16.34,13.42,14.19,449000,1.41
1997-10-01,14.00,17.65,13.78,16.22,1721700,1.61
1997-09-01,13.80,14.98,13.22,14.54,558100,1.45
1997-08-01,14.83,15.50,12.53,13.72,782200,1.36
1997-07-01,12.60,15.18,12.45,14.81,2078400,1.47
1997-06-02,11.40,13.17,11.40,12.50,2264900,1.24
1997-05-02,11.65,13.15,10.78,11.32,1630900,1.05
1997-04-01,9.00,12.05,8.70,11.64,1253600,1.08
1997-03-03,10.45,11.36,9.00,9.04,1095900,0.84
1997-02-03,9.03,9.91,8.76,9.69,566300,0.90
1997-01-01,8.28,10.55,8.10,9.21,867100,0.86
1996-12-02,7.60,8.39,7.37,7.84,224100,0.73
1996-11-01,7.50,8.00,7.21,7.60,223200,0.71
1996-10-01,7.16,8.00,6.61,7.54,358100,0.70
1996-09-02,7.40,7.60,7.02,7.16,352700,0.67
1996-08-01,7.10,7.60,6.65,7.37,458800,0.69
1996-07-01,8.02,8.05,6.58,7.04,2342500,0.66
1996-06-03,6.83,8.34,6.75,7.98,2550800,0.74
1996-05-01,7.09,7.55,6.40,6.83,638200,0.64
1996-04-01,6.49,8.20,6.48,7.09,1165500,0.66
1996-03-01,6.13,6.62,5.80,6.49,333800,0.60
1996-02-01,5.18,7.60,5.20,6.13,600400,0.57
1996-01-01,6.06,6.06,4.79,5.18,181400,0.48
