Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,2513.00,2914.70,2506.20,2871.40,508500,2871.40
2016-02-01,2560.00,2728.80,2438.00,2499.90,349700,2464.58
2016-01-01,2689.00,2695.00,2377.15,2565.65,290000,2529.40
2015-12-01,2716.00,2738.00,2500.45,2694.10,352900,2656.03
2015-11-02,2575.20,2734.30,2532.70,2699.15,378400,2661.01
2015-10-01,2400.00,2667.60,2400.00,2581.40,253800,2544.93
2015-09-01,2370.00,2449.85,2257.20,2394.50,328400,2360.67
2015-08-03,2656.00,2793.80,2364.25,2397.20,533500,2363.33
2015-07-01,2525.10,2749.45,2500.40,2682.70,384200,2644.80
2015-06-01,2678.00,2737.90,2482.00,2523.50,420400,2487.84
2015-05-01,2328.90,2705.00,2251.30,2696.85,856800,2629.17
2015-04-01,2639.95,2678.00,2293.50,2328.90,885500,2270.45
2015-03-02,2702.00,2705.50,2552.00,2639.80,484000,2573.55
2015-02-02,2877.95,2888.80,2600.00,2672.60,1352400,2605.53
2015-01-01,3111.00,3146.90,2797.20,2865.50,441800,2793.59
2014-12-01,3167.00,3269.95,3028.05,3106.65,372000,3028.68
2014-11-03,3044.00,3162.40,2862.60,3147.40,1064700,3068.41
2014-10-01,2881.00,3129.00,2725.95,3064.25,479100,2987.35
2014-09-01,2612.10,3029.00,2597.90,2839.55,420200,2768.29
2014-08-01,2577.60,2677.95,2488.00,2604.80,513200,2539.43
2014-07-01,2625.10,2693.70,2393.15,2597.15,300800,2502.88
2014-06-02,2348.00,2757.80,2348.00,2634.65,630200,2477.43
2014-05-01,2200.35,2787.70,2115.05,2345.85,342700,2205.87
2014-04-01,2274.80,2296.00,2123.05,2200.35,218000,2069.05
2014-03-03,1950.00,2300.00,1939.00,2274.80,372100,2139.06
2014-02-03,1972.00,2019.90,1907.10,1967.15,246800,1849.76
2014-01-01,2083.00,2119.00,1953.25,1969.20,312400,1851.69
2013-12-02,2050.00,2209.95,2022.00,2075.30,300500,1951.46
2013-11-01,2082.00,2150.00,1967.00,2052.95,308800,1930.44
2013-10-01,2030.00,2130.00,1980.15,2078.40,290400,1954.38
2013-09-02,2019.50,2130.00,1880.00,2009.25,365800,1889.35
2013-08-01,1820.00,2075.00,1780.05,2046.50,608900,1867.33
2013-07-01,1667.00,1899.80,1638.00,1819.40,409100,1660.11
2013-06-03,1721.00,1739.90,1563.60,1663.05,261200,1517.45
2013-05-01,1644.45,1795.60,1587.15,1736.35,297500,1584.33
2013-04-01,1545.00,1683.85,1435.00,1644.45,405800,1500.48
2013-03-01,1667.45,1766.80,1515.95,1542.00,250600,1407.00
2013-02-01,1825.00,1832.50,1635.50,1667.45,271600,1521.47
2013-01-01,1905.35,1939.25,1720.05,1822.10,411900,1662.58
2012-12-03,1823.35,1932.85,1802.00,1900.60,311500,1734.20
2012-11-01,1880.00,1966.00,1791.35,1826.65,297200,1666.73
2012-10-01,1892.00,1919.65,1662.00,1880.00,346900,1715.41
2012-09-03,1751.10,1949.95,1745.00,1880.30,348700,1715.68
2012-08-01,2011.25,2014.20,1752.00,1763.00,385500,1608.65
2012-07-02,2148.00,2148.00,1978.60,2005.00,327200,1787.86
2012-06-01,1812.00,2160.00,1805.00,2149.40,389700,1916.62
2012-05-01,2113.80,2279.00,1795.15,1830.10,663600,1631.90
2012-04-02,2113.80,2113.80,2113.80,2113.80,000,1884.87
2012-03-01,2113.80,2113.80,2113.80,2113.80,000,1884.87
2012-02-01,2113.80,2113.80,2113.80,2113.80,000,1884.87
2012-01-02,2113.80,2113.80,2113.80,2113.80,000,1884.87
2011-12-01,2113.80,2113.80,2113.80,2113.80,000,1884.87
2011-11-01,2159.00,2175.55,2035.65,2113.80,165500,1884.87
2011-10-03,1933.95,2231.45,1904.35,2181.35,575600,1945.11
2011-09-02,2110.00,2237.00,1915.60,1941.75,623100,1731.46
2011-08-01,1785.90,2068.00,1741.00,2061.50,489400,1838.24
2011-07-01,1890.00,1924.70,1730.25,1785.10,453800,1563.42
2011-06-01,1845.10,1889.00,1708.50,1877.20,397900,1644.08
2011-05-02,1715.00,1949.00,1575.15,1854.75,530900,1624.42
2011-04-01,1595.00,1949.80,1592.65,1710.00,671900,1497.65
2011-03-01,1475.20,1619.00,1413.80,1589.45,611800,1336.92
2011-02-01,1665.00,1668.00,1375.75,1465.20,785900,1232.41
2011-01-03,2014.00,2020.00,1591.00,1633.10,384600,1373.63
2010-12-01,1962.20,2019.00,1559.00,1988.15,1237100,1672.27
2010-11-01,1841.60,2061.90,1795.00,1982.70,401400,1667.68
2010-10-01,1865.00,1927.00,1777.10,1865.25,432300,1568.90
2010-09-01,1795.20,1888.00,1690.00,1858.00,532100,1562.80
2010-08-02,1820.60,1933.00,1669.90,1791.55,454500,1506.91
2010-07-01,2055.00,2057.00,1790.50,1814.85,612000,1500.86
2010-06-01,1950.00,2070.00,1901.55,2048.55,380100,1694.13
2010-05-03,1900.00,1949.80,1818.00,1937.45,387900,1602.25
2010-04-01,1965.00,2094.00,1810.00,1915.40,616800,1584.01
2010-03-02,1790.00,2079.65,1780.00,1944.40,517100,1546.33
2010-02-01,1660.05,1800.00,1522.65,1777.65,393800,1413.71
2010-01-01,1723.70,1738.50,1601.00,1660.05,216300,1320.19
2009-12-01,1733.90,1777.10,1640.00,1723.70,361500,1370.81
2009-11-02,1565.00,1808.70,1460.50,1720.00,495000,1367.87
2009-10-01,1680.00,1774.70,1535.00,1565.00,353800,1244.60
2009-09-01,1519.85,1748.45,1502.30,1685.10,387900,1340.11
2009-08-03,1615.00,1648.85,1381.00,1515.00,496600,1204.84
2009-07-01,1402.00,1765.00,1311.70,1599.95,655000,1255.15
2009-06-01,1350.50,1574.70,1332.50,1395.05,573400,1094.41
2009-05-01,1184.90,1587.80,1163.00,1335.00,579200,1047.30
2009-04-01,1075.00,1199.00,1015.25,1184.90,647900,929.55
2009-03-02,932.00,1103.85,896.00,1072.10,653300,841.06
2009-02-02,878.00,999.60,861.25,935.50,445000,733.90
2009-01-01,801.40,890.00,751.25,876.50,446400,687.61
2008-12-01,798.00,842.80,720.05,802.25,428800,629.36
2008-11-03,765.00,823.70,691.25,800.00,607200,627.60
2008-10-01,880.00,898.00,661.10,745.00,633800,584.45
2008-09-01,824.00,890.00,740.00,873.00,522800,684.86
2008-08-01,785.00,848.00,770.25,825.00,310700,632.83
2008-07-01,685.10,808.90,632.50,788.05,278700,604.48
2008-06-02,759.90,835.00,663.00,685.00,195400,525.44
2008-05-02,850.05,865.00,732.35,752.00,259500,576.83
2008-04-01,700.00,867.70,694.00,853.95,246800,655.03
2008-03-03,759.00,785.00,631.35,689.90,418600,529.20
2008-02-01,696.00,779.00,662.30,762.00,353200,584.50
2008-01-01,697.70,721.00,550.00,682.00,249700,523.14
2007-12-03,720.55,749.00,680.00,697.00,202500,534.64
2007-11-01,730.00,752.00,619.90,723.00,240200,554.59
2007-10-01,732.10,774.70,690.00,725.00,236400,556.12
2007-09-03,720.00,775.00,633.50,741.10,192200,568.47
2007-08-01,670.00,684.00,610.00,649.00,237400,497.82
2007-07-02,683.10,730.00,655.10,674.05,202300,517.04
2007-06-04,701.60,734.00,650.00,692.60,216800,531.27
2007-05-03,695.20,742.80,647.80,732.40,308900,561.80
2007-04-02,660.05,700.00,620.90,691.30,222900,530.27
2007-03-01,658.30,707.50,611.00,688.75,314900,528.31
2007-02-01,710.40,754.00,636.00,677.75,327200,519.88
2007-01-02,765.00,807.20,703.00,716.30,461300,549.45
2006-12-01,740.00,795.00,705.25,763.70,394800,585.81
2006-11-01,757.00,770.00,680.10,742.25,464500,569.35
2006-10-03,789.00,789.80,703.60,757.90,548000,581.36
2006-09-01,711.50,797.00,684.60,774.90,560300,594.40
2006-08-01,702.00,731.00,664.00,721.00,661000,553.05
2006-07-03,808.00,810.20,688.30,705.90,479500,541.47
2006-06-01,800.00,809.80,635.00,793.65,441600,608.78
2006-05-02,849.00,898.40,752.00,801.80,473800,615.03
2006-04-03,905.00,915.90,812.00,825.05,614400,632.86
2006-03-01,889.50,939.80,819.10,890.45,381500,683.03
2006-02-01,860.05,940.00,836.60,889.30,352000,682.15
2006-01-02,865.00,888.20,820.15,857.20,340100,657.53
2005-12-01,835.00,892.30,793.15,859.20,293400,659.06
2005-11-02,709.00,871.00,703.05,833.75,406000,639.54
2005-10-03,750.00,840.00,656.55,707.90,417100,543.00
2005-09-01,657.80,754.85,626.65,741.30,352300,568.62
2005-08-01,624.00,702.00,600.00,646.40,201400,495.83
2005-07-04,588.00,657.50,553.00,622.70,389400,477.65
2005-06-01,555.00,608.00,536.00,582.50,428400,446.81
2005-05-02,499.80,600.00,499.10,552.90,266800,424.11
2005-04-01,559.90,559.90,481.95,503.65,236500,386.33
2005-03-01,547.00,616.00,507.00,548.00,312100,420.35
2005-02-01,501.10,567.60,501.10,544.55,344300,417.70
2005-01-03,580.00,616.00,476.25,538.10,578200,412.76
2004-12-01,494.00,596.90,468.00,572.35,658200,439.03
2004-11-01,427.00,495.50,424.15,492.80,631400,378.01
2004-10-01,459.30,462.00,412.10,429.25,633800,329.26
2004-09-01,448.00,465.75,430.15,448.20,548300,343.80
2004-08-02,430.00,468.80,426.35,442.95,783500,339.77
2004-07-01,509.00,535.15,411.00,429.20,1127000,329.22
2004-06-01,449.80,516.50,442.10,506.75,627700,388.71
2004-05-03,483.50,495.00,320.00,445.85,535100,341.99
2004-04-01,475.00,523.40,428.75,481.80,678700,369.57
2004-03-01,494.00,544.40,438.00,490.60,1206200,376.32
2004-02-03,457.00,521.70,425.55,492.55,1028200,377.82
2004-01-01,453.45,499.50,424.15,452.10,1256400,346.79
2003-12-01,377.25,472.00,377.00,448.40,860100,343.95
2003-11-03,359.00,399.95,338.00,374.55,691100,287.30
2003-10-01,310.90,355.90,299.55,353.10,764700,270.85
2003-09-01,285.00,310.25,260.00,308.65,456600,236.75
2003-08-01,267.50,308.00,245.00,294.30,590100,225.75
2003-07-01,256.00,270.00,234.55,266.90,819400,204.73
2003-06-02,217.80,257.80,216.00,253.80,498700,194.68
2003-05-02,202.00,239.50,199.25,213.55,605200,163.81
2003-04-01,189.80,208.00,180.05,203.40,983600,156.02
2003-03-03,225.00,235.00,187.00,188.20,858400,144.36
2003-02-03,255.00,265.00,205.10,223.00,952900,171.05
2003-01-01,265.00,267.90,235.10,254.95,350800,195.56
2002-12-02,289.00,293.00,254.65,268.20,374200,205.73
2002-11-01,239.30,299.45,237.25,288.45,562100,221.26
2002-10-01,260.05,273.80,230.70,236.50,429900,181.41
2002-09-02,275.00,285.00,235.30,260.15,246300,199.55
2002-08-12,276.70,308.50,259.00,269.00,310000,206.34
