Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,69.00,91.70,68.60,91.30,14943400,91.30
2016-02-01,70.85,72.20,58.80,68.75,11352200,68.75
2016-01-01,84.70,85.90,66.35,70.50,7295400,70.50
2015-12-01,77.60,86.00,73.00,84.75,8153500,84.75
2015-11-02,83.90,84.40,73.20,77.05,9372400,77.05
2015-10-01,71.65,92.40,70.25,84.05,10344100,84.05
2015-09-01,79.45,79.60,67.50,70.80,8044500,70.80
2015-08-03,105.25,112.25,75.25,80.05,7988100,78.9668
2015-07-01,112.30,114.60,99.05,105.20,5009400,103.7765
2015-06-01,128.75,129.80,111.00,111.90,5029000,110.3858
2015-05-01,128.60,145.10,128.55,129.25,5792400,127.501
2015-04-01,129.00,141.70,127.05,128.60,6279100,126.8598
2015-03-02,154.20,160.00,123.10,129.00,7309900,127.2544
2015-02-02,140.00,161.80,139.50,155.15,6871000,153.0505
2015-01-01,157.40,161.95,137.75,139.70,7040600,137.8096
2014-12-01,173.00,175.05,139.00,157.55,7291700,155.4181
2014-11-03,163.10,176.60,149.60,174.05,9036400,171.6948
2014-10-01,155.20,164.45,138.15,163.70,7764800,161.4848
2014-09-01,171.90,178.95,133.05,156.75,10083400,154.6289
2014-08-01,189.70,196.70,157.70,170.10,9144700,166.7977
2014-07-01,167.20,198.90,165.00,191.70,11398900,187.9783
2014-06-02,147.30,173.65,146.35,164.20,11867400,161.0122
2014-05-01,134.30,163.65,129.85,148.00,10824300,145.1267
2014-04-01,142.00,147.20,131.60,134.30,6059500,131.6927
2014-03-03,105.00,142.95,104.70,141.75,12350700,138.998
2014-02-03,109.00,109.40,96.70,105.35,9896600,103.3047
2014-01-01,122.60,125.65,107.00,109.55,5478000,107.4232
2013-12-02,122.75,126.85,115.65,122.60,5335700,120.2198
2013-11-01,114.25,125.00,109.10,122.70,7094600,120.3179
2013-10-01,111.75,123.00,105.00,115.05,9387900,112.8164
2013-09-02,105.00,119.70,103.75,111.90,7692900,109.7276
2013-08-01,91.00,109.00,83.10,105.05,10442400,103.0106
2013-07-01,99.00,106.20,84.50,90.10,6007700,87.1959
2013-06-03,102.40,105.40,91.00,99.80,7451900,96.5832
2013-05-01,97.25,112.55,94.80,102.40,7907000,99.0994
2013-04-01,92.20,99.80,87.55,97.25,5332800,94.1154
2013-03-01,98.90,102.60,86.90,91.60,8118300,88.6475
2013-02-01,116.05,117.40,98.00,98.90,8754500,95.7122
2013-01-01,131.50,137.10,112.70,116.20,6897900,112.4546
2012-12-03,116.90,133.70,115.05,130.50,7350500,126.2937
2012-11-01,116.85,118.80,104.80,116.60,4868400,112.8417
