Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,829.85,883.00,818.10,873.60,1462400,873.60
2016-02-01,816.00,866.00,789.75,830.40,1256600,830.40
2016-01-01,860.00,868.70,766.40,816.90,1456000,816.90
2015-12-01,811.85,875.60,805.00,862.75,1112100,862.75
2015-11-02,799.25,826.00,780.10,808.45,980000,808.45
2015-10-01,817.80,832.00,769.00,800.65,1378200,800.65
2015-09-01,855.00,862.40,776.25,814.75,1629700,808.00
2015-08-03,921.00,924.80,844.95,860.90,1578000,853.77
2015-07-01,916.70,944.00,871.10,921.65,1388000,914.02
2015-06-01,859.55,923.10,806.10,916.70,1312200,909.11
2015-05-01,850.35,907.05,827.10,859.55,1715200,843.54
2015-04-01,873.50,950.95,832.20,850.35,1326400,834.51
2015-03-02,914.00,981.00,848.95,873.55,1745100,857.27
2015-02-02,926.35,930.85,880.40,887.15,1351700,870.62
2015-01-01,759.30,968.85,752.65,932.55,3087400,915.18
2014-12-01,786.00,829.75,744.50,760.10,1071800,745.94
2014-11-03,735.05,798.85,728.75,786.10,760500,771.45
2014-10-01,745.00,766.05,707.15,738.35,714900,724.59
2014-09-01,743.90,771.90,721.85,746.00,955000,726.10
2014-08-01,678.00,744.90,678.00,742.45,958800,722.64
2014-07-01,622.00,701.30,615.05,686.60,1232100,668.28
2014-06-02,612.00,645.95,588.35,620.35,1253400,603.80
2014-05-01,567.50,615.00,550.25,603.35,2136800,580.37
2014-04-01,605.00,619.80,556.00,567.50,1131700,545.89
2014-03-03,550.00,608.85,542.00,605.55,1269000,582.49
2014-02-03,569.10,589.65,542.35,549.25,1075600,528.33
2014-01-01,570.65,584.90,537.20,570.10,1438200,548.39
2013-12-02,597.85,597.85,551.80,570.65,1236300,548.92
2013-11-01,605.25,615.00,568.80,594.75,908100,572.10
2013-10-01,630.00,643.90,586.10,609.85,1693100,586.63
2013-09-02,632.00,685.00,604.00,627.45,1281400,598.15
2013-08-01,609.10,641.40,578.95,631.45,1918900,601.96
2013-07-01,584.30,725.00,582.60,612.55,4776500,583.94
2013-06-03,588.25,598.05,581.10,585.15,4054500,552.29
2013-05-01,583.80,597.85,570.35,592.50,1925100,559.23
2013-04-01,466.00,597.00,457.60,583.80,3780700,551.02
2013-03-01,447.00,475.80,432.15,466.95,2755800,440.73
2013-02-01,472.85,478.70,435.00,443.05,2044400,418.17
2013-01-01,525.55,536.30,447.85,473.95,3612100,447.33
2012-12-03,540.80,554.25,513.60,524.85,2403600,495.38
2012-11-01,537.40,550.90,512.10,538.10,1487200,507.88
2012-10-01,543.00,580.45,444.45,546.60,1731000,511.66
2012-09-03,517.95,554.70,508.70,545.85,2567800,510.95
2012-08-01,465.95,550.85,465.00,515.10,1933800,482.17
2012-07-02,453.25,477.75,434.70,467.35,2890300,437.47
2012-06-01,428.40,464.70,406.10,454.50,2422900,421.59
2012-05-01,417.60,440.00,413.20,428.00,2083200,397.01
2012-04-02,408.20,430.50,398.00,417.60,1610900,387.36
2012-03-01,379.50,418.55,376.50,410.05,2021100,380.36
2012-02-01,379.75,410.90,376.10,380.20,2996900,352.67
2012-01-02,408.15,411.70,374.35,378.95,2566300,351.51
2011-12-01,403.00,420.25,381.00,407.40,2134000,377.90
2011-11-01,371.40,403.35,371.20,397.15,4214300,368.39
2011-10-03,338.00,378.15,319.25,375.80,2845200,345.40
2011-09-02,330.00,354.80,314.95,340.60,3185500,313.04
2011-08-01,325.50,327.30,308.55,320.40,2909100,294.48
2011-07-01,342.40,343.50,319.45,324.00,2378200,297.79
2011-06-01,304.85,348.00,303.20,343.65,2246900,312.55
2011-05-02,286.80,312.75,265.90,304.55,2424900,276.99
2011-04-01,286.00,293.40,272.40,285.20,1478700,259.39
2011-03-01,283.50,292.00,264.45,287.10,2036500,261.12
2011-02-01,271.15,289.40,267.00,282.00,2034700,256.48
2011-01-03,310.05,329.90,266.40,271.15,2608700,246.61
2010-12-01,297.00,315.80,282.35,312.90,1718500,284.59
2010-11-01,296.00,320.85,290.00,298.25,2373300,271.26
2010-10-01,309.00,313.50,289.10,294.70,2345300,265.31
2010-09-01,264.50,319.55,264.00,309.05,2912900,278.22
2010-08-02,250.00,275.00,250.00,264.50,1471600,238.12
2010-07-01,267.00,273.50,249.60,251.45,1583300,226.37
2010-06-01,237.95,274.35,232.35,267.55,2340100,237.71
2010-05-03,240.90,257.00,226.25,237.20,1774300,210.75
2010-04-01,240.40,244.00,220.70,239.80,2931000,213.06
2010-03-01,236.95,244.70,218.00,239.55,3243100,212.84
2010-02-01,243.80,247.35,227.00,236.20,2681300,209.86
2010-01-01,264.85,268.35,241.05,242.30,3363300,215.28
2009-12-01,286.00,286.50,259.65,264.80,2080200,235.27
2009-11-02,280.25,289.80,262.50,285.20,2215700,253.39
2009-10-01,262.00,295.90,260.35,283.50,2262600,249.18
2009-09-01,260.00,277.70,253.70,262.60,3426400,230.81
2009-08-03,291.00,298.90,246.60,259.95,3983500,228.48
2009-07-01,266.15,306.70,260.30,291.50,4573100,256.21
2009-06-01,228.55,271.45,228.55,267.50,4028700,235.12
2009-05-01,235.30,264.40,218.10,230.80,5025700,199.74
2009-04-01,235.00,245.45,222.25,235.30,4304200,203.63
2009-03-02,248.10,253.10,210.85,237.50,3888900,205.54
2009-02-02,259.00,271.90,245.70,253.50,2644700,219.39
2009-01-01,251.00,270.00,238.50,261.65,2623600,226.44
2008-12-01,236.50,267.80,229.05,250.30,2730800,216.62
2008-11-03,225.40,255.95,225.10,236.40,4141300,204.59
2008-10-01,255.00,259.75,185.10,221.75,6068600,191.91
2008-09-01,245.40,265.50,221.15,252.25,3685800,218.30
2008-08-01,238.00,250.95,230.10,245.40,2321400,212.38
2008-07-01,207.55,242.00,190.65,239.65,3124800,204.31
2008-06-02,238.00,240.00,198.65,207.15,2013800,176.60
2008-05-01,251.00,254.70,225.50,237.10,2175500,202.14
2008-04-01,232.00,255.85,228.50,250.25,1943300,213.35
2008-03-03,223.00,247.95,215.00,228.80,3109200,195.06
2008-02-01,208.00,229.25,190.00,227.50,2035400,191.38
2008-01-01,213.25,244.00,169.00,208.75,2043600,175.61
2007-12-03,207.00,222.90,201.60,213.70,1911500,179.77
2007-11-01,208.00,213.25,190.00,206.75,1953300,173.92
2007-10-01,219.65,226.95,195.00,207.05,3984000,174.18
2007-09-03,207.00,229.90,206.65,220.60,2746800,185.58
2007-08-01,220.00,220.00,190.10,208.30,1808700,175.23
2007-07-02,190.00,212.30,188.00,206.75,3254500,171.32
2007-06-01,205.00,206.00,185.25,188.60,2593800,156.28
2007-05-01,199.30,205.70,180.15,203.40,2374500,168.54
2007-04-02,202.00,218.75,193.60,199.30,2892900,165.14
2007-03-01,177.90,208.25,165.60,205.20,3547200,167.57
2007-02-01,208.10,215.00,165.05,176.35,3585300,144.01
2007-01-01,216.40,225.80,207.10,208.25,3410200,170.06
2006-12-01,236.70,244.00,215.25,216.40,3285300,176.71
2006-11-01,237.00,255.30,231.05,235.20,3954600,192.07
