Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,1072.00,1175.00,1046.80,1162.75,3385100,1159.75
2016-02-01,1182.40,1193.95,1011.45,1060.30,3463800,1057.564
2016-01-01,1261.00,1266.90,1121.15,1180.00,2521600,1176.955
2015-12-01,1218.95,1274.70,1150.00,1263.75,2083300,1260.489
2015-11-02,1252.00,1267.00,1157.55,1211.20,2445400,1208.075
2015-10-01,1232.80,1350.00,1192.10,1256.85,2342900,1253.607
2015-09-01,1175.00,1244.00,1110.10,1212.75,2736000,1209.621
2015-08-03,1331.20,1350.50,1093.20,1186.15,3301700,1183.09
2015-07-01,1296.00,1372.40,1278.50,1340.40,2382600,1336.942
2015-06-01,1236.10,1314.00,1156.00,1296.45,2455200,1280.354
2015-05-01,1170.00,1292.95,1147.00,1236.05,3156700,1220.704
2015-04-01,1318.95,1354.15,1160.10,1170.00,2938000,1155.474
2015-03-02,1342.10,1402.30,1257.45,1315.70,3577300,1299.365
2015-02-02,1262.50,1374.20,1208.15,1347.40,2847500,1328.713
2015-01-01,1130.00,1361.85,1095.00,1262.50,2895700,1244.991
2014-12-01,1161.10,1166.10,1060.10,1135.90,2133500,1120.147
2014-11-03,1108.20,1177.80,1086.60,1160.65,2088500,1144.553
2014-10-01,1050.00,1110.00,975.00,1105.90,1774600,1090.563
2014-09-01,1084.10,1084.10,1010.65,1055.25,2759000,1040.615
2014-08-01,1059.00,1151.40,1010.00,1074.50,2750600,1059.598
2014-07-01,990.25,1092.30,946.05,1068.40,2589600,1053.583
2014-06-02,875.00,1003.40,871.00,992.55,3895700,965.193
2014-05-01,897.95,956.45,810.00,876.80,4427000,852.633
2014-04-01,885.00,934.40,862.10,897.95,2769100,873.20
2014-03-03,815.00,887.00,808.90,883.90,2716800,859.537
2014-02-03,802.10,824.05,755.00,819.30,2337600,796.718
2014-01-01,798.25,866.50,780.00,808.45,3412900,786.167
2013-12-02,821.00,842.95,770.10,794.65,2248800,772.747
2013-11-01,855.50,864.90,780.10,823.80,2370700,801.094
2013-10-01,763.80,859.25,761.25,855.05,2657400,831.482
2013-09-02,724.70,843.60,685.40,764.25,5224100,743.185
2013-08-01,805.00,827.30,632.20,718.65,5338000,698.842
2013-07-01,879.00,893.00,789.50,800.45,3689700,778.387
2013-06-03,895.00,898.65,801.30,879.05,3276700,854.821
2013-05-01,847.60,931.40,841.30,890.15,2947900,852.348
2013-04-01,826.80,885.40,750.10,847.60,2343400,811.605
2013-03-01,757.00,838.55,756.00,826.25,2649100,791.162
2013-02-01,787.00,828.40,750.00,757.65,2626300,725.475
2013-01-01,834.65,850.90,784.55,786.55,2236300,753.148
2012-12-03,840.00,882.30,820.00,828.85,2096900,793.652
2012-11-01,758.00,849.90,758.00,843.50,3074700,807.679
2012-10-01,771.00,794.00,631.25,762.35,4932300,729.976
2012-09-03,733.95,785.45,718.10,774.40,3145800,741.514
2012-08-01,690.50,739.10,684.35,735.30,4946900,704.074
2012-07-02,653.70,696.95,652.10,691.15,2450200,661.799
2012-06-01,650.50,664.90,629.95,653.20,2191600,625.461
2012-05-01,673.25,677.30,610.50,654.65,3330900,616.206
2012-04-02,673.00,692.25,663.85,673.60,1714400,634.043
2012-03-01,663.00,689.25,648.00,673.30,4199600,633.761
2012-02-01,691.00,726.20,657.50,663.15,10522000,624.207
2012-01-02,650.00,717.00,641.35,697.85,1885200,656.869
2011-12-01,659.90,677.85,600.30,652.05,2205900,613.758
2011-11-01,683.00,690.30,606.60,641.70,2206300,604.016
2011-10-03,630.55,699.50,617.30,688.85,2831200,648.397
2011-09-02,682.00,685.75,617.70,640.90,3268200,603.263
2011-08-01,697.80,707.00,611.60,662.65,2858400,623.736
2011-07-01,710.05,732.95,675.30,689.00,1944100,648.539
2011-06-01,676.55,709.90,625.10,706.30,2452100,664.823
2011-05-02,710.10,711.35,626.55,684.05,2730500,634.868
2011-04-01,699.00,737.90,684.00,706.80,2688200,655.982
2011-03-01,637.20,715.00,617.35,701.20,3302600,650.785
2011-02-01,633.45,663.80,582.30,629.20,3926700,583.961
2011-01-03,737.90,738.80,616.10,628.35,3078300,583.172
2010-12-01,693.90,734.00,660.05,728.35,2296200,675.983
2010-11-01,700.00,744.95,673.75,686.65,2804300,637.281
2010-10-01,735.00,860.80,672.10,687.70,3828400,638.255
2010-09-01,631.00,742.50,621.00,733.20,3817200,680.484
2010-08-02,3005.00,3128.90,595.25,627.00,2933000,581.919
2010-07-01,2932.00,3145.00,2880.00,2980.25,2888100,553.195
2010-06-01,2775.00,3040.00,2660.10,2944.20,3087600,546.503
2010-05-03,2799.95,2849.00,2600.00,2789.75,2921600,486.331
2010-04-01,2719.90,2881.70,2618.45,2813.95,3201500,490.55
2010-03-02,2515.30,2759.50,2495.45,2717.20,3566500,473.683
2010-02-01,2388.00,2535.00,2325.00,2500.30,1856800,435.872
2010-01-01,2688.00,2737.00,1949.65,2383.85,2439700,415.571
2009-12-01,2750.55,2824.90,2555.00,2675.80,2776700,466.466
2009-11-02,2643.20,2845.10,2559.95,2766.75,3052900,482.321
2009-10-01,2774.65,2865.70,2625.30,2658.40,3397700,463.433
2009-09-01,2490.95,2804.00,2375.00,2789.55,3669300,486.296
2009-08-03,2540.00,2568.80,2207.85,2474.35,3181400,431.348
2009-07-01,2350.00,2618.10,2144.90,2536.05,5407800,442.104
2009-06-01,2221.00,2499.00,2205.55,2344.75,4745500,385.048
2009-05-01,1738.00,2847.40,1572.05,2179.60,8843600,357.928
2009-04-01,1411.00,1847.90,1411.00,1738.00,5667600,285.409
2009-03-02,1250.00,1671.85,1119.00,1412.20,12504600,231.907
2009-02-02,1505.25,1550.00,1192.65,1274.50,9305300,209.295
2009-01-01,1500.00,1900.00,1351.10,1531.60,6975000,251.515
