Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,195.25,236.25,195.25,234.20,18137600,234.20
2016-02-01,227.00,227.35,180.75,190.05,27768100,190.05
2016-01-01,261.30,263.60,217.80,230.15,17160400,230.15
2015-12-01,275.05,276.75,243.05,261.35,10516200,261.35
2015-11-02,277.00,282.70,256.00,274.75,9610200,274.75
2015-10-01,273.45,292.70,266.05,277.00,8784000,277.00
2015-09-01,275.00,285.35,247.70,270.35,14248200,270.35
2015-08-03,304.45,319.80,267.15,277.90,14319000,277.90
2015-07-01,308.70,321.00,282.70,302.40,13321300,302.40
2015-06-01,317.00,320.40,280.35,308.00,15722300,308.00
2015-05-01,331.15,338.00,300.60,317.25,11267400,311.89
2015-04-01,315.00,334.80,296.70,331.15,11932300,325.55
2015-03-02,350.85,362.00,302.60,315.50,14553200,310.17
2015-02-02,360.30,360.70,316.40,335.25,15571800,329.58
2015-01-01,352.70,393.40,333.00,360.70,13243700,354.60
2014-12-01,353.20,366.05,319.20,353.10,9849900,347.13
2014-11-03,1626.00,1779.00,341.00,350.88,11621500,68.99
2014-10-01,1443.00,1633.20,1415.00,1626.65,9955700,319.83
2014-09-01,1558.00,1618.85,1427.50,1433.55,11834400,281.86
2014-08-01,1462.30,1564.00,1411.80,1556.80,10912100,306.10
2014-07-01,1420.55,1512.40,1333.30,1471.25,14642900,289.28
2014-06-02,1411.25,1511.70,1376.50,1418.15,14085400,278.83
2014-05-01,1243.40,1593.20,1238.00,1418.05,20373400,236.73
2014-04-01,1252.30,1318.50,1202.40,1243.40,15081200,207.57
2014-03-03,1037.20,1276.00,1021.40,1245.05,20496400,207.85
2014-02-03,981.00,1048.85,943.60,1043.85,13827900,174.26
2014-01-01,1100.90,1118.00,963.50,987.70,15501200,164.89
2013-12-02,1070.40,1206.60,1058.35,1098.75,15929400,183.42
2013-11-01,1119.80,1140.00,995.70,1068.65,14834900,178.40
2013-10-01,889.95,1130.00,884.00,1120.95,18794400,187.13
2013-09-02,814.10,1064.35,776.55,883.65,24597000,147.52
2013-08-01,927.00,927.00,756.90,803.75,32765300,134.18
2013-07-01,1062.65,1084.00,892.10,909.05,21459400,151.76
2013-06-03,1150.00,1166.15,1021.30,1070.75,18554700,178.75
2013-05-01,1163.65,1238.40,1109.25,1154.45,13802100,192.72
2013-04-01,1057.00,1188.80,981.70,1163.65,18152500,178.27
2013-03-01,1055.50,1151.40,996.55,1045.20,18033900,160.12
2013-02-01,1194.00,1203.30,1030.00,1040.40,14871800,159.39
2013-01-01,1146.40,1232.00,1143.10,1191.15,14552800,182.48
2012-12-03,1095.00,1158.65,1093.20,1138.25,11522900,174.38
2012-11-01,1052.00,1104.95,1015.00,1099.85,12350000,168.50
2012-10-01,1060.00,1102.80,866.75,1050.20,14179100,160.89
2012-09-03,905.20,1086.90,876.65,1058.80,20699500,162.21
2012-08-01,952.00,988.90,895.05,902.15,15597100,138.21
2012-07-02,901.00,973.25,884.10,961.40,21194400,147.29
2012-06-01,784.00,904.95,767.40,899.50,19480700,137.80
2012-05-01,882.30,895.00,768.35,783.25,20995500,119.99
2012-04-02,887.80,918.80,827.25,882.35,21129000,121.53
2012-03-01,902.50,957.60,843.45,890.20,24944400,122.61
2012-02-01,908.00,998.80,878.00,906.30,29344400,124.83
2012-01-02,690.15,906.85,685.10,902.15,27227800,124.26
2011-12-01,754.00,792.00,641.00,684.65,29222200,94.30
2011-11-01,917.95,923.50,704.90,712.45,41375400,98.13
2011-10-03,860.00,953.65,761.40,931.15,22272100,128.25
2011-09-02,891.50,928.00,833.00,875.40,19538500,120.57
2011-08-01,1052.80,1059.70,813.90,874.00,22193400,120.38
2011-07-01,1111.35,1111.80,1003.60,1036.75,14849800,142.80
2011-06-01,1083.80,1099.50,1003.40,1094.65,16081000,150.77
2011-05-02,1113.80,1118.30,1003.00,1086.10,16964200,139.94
2011-04-01,1114.80,1139.00,1072.00,1114.45,18854100,143.59
