Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,305.00,336.20001,305.00,324.25,11474400,324.25
2016-02-01,318.64999,325.95001,268.00,295.64999,11136800,295.64999
2016-01-01,327.60001,329.00,302.60001,320.20001,6447100,320.20001
2015-12-01,345.20001,349.75,310.54999,327.79999,7008800,327.79999
2015-11-02,333.00,353.00,327.10001,342.54999,6213100,342.54999
2015-10-01,327.04999,359.79999,326.79999,334.64999,6716800,334.64999
2015-09-01,322.50,329.85001,307.00,328.79999,6291200,328.79999
2015-08-03,326.00,333.50,303.00,325.14999,7603400,325.14999
2015-07-01,315.25,327.39999,300.00,326.00,5428400,326.00
2015-06-01,325.50,333.75,294.00,315.14999,7079600,315.14999
2015-05-01,322.35001,335.89999,312.75,327.10001,8074000,320.68427
2015-04-01,325.85001,358.60001,321.20001,322.35001,7297100,316.02744
2015-03-02,358.00,358.00,315.10001,325.85001,12083600,319.4588
2015-02-02,367.00,402.00,359.39999,393.70001,7434400,385.978
2015-01-01,367.60001,372.95001,346.10001,368.54999,9407800,361.32126
2014-12-01,362.14999,400.29999,357.10001,368.70001,6900800,361.46832
2014-11-03,356.89999,378.79999,348.64999,363.14999,6874300,356.02719
2014-10-01,370.00,370.00,343.45001,355.20001,4491300,348.23312
2014-09-01,358.00,379.89999,348.29999,370.20001,6061600,362.9389
2014-08-01,356.00,361.85001,341.54999,355.29999,4041000,348.33115
2014-07-01,327.60001,364.50,324.00,356.04999,7543700,349.06644
2014-06-02,342.00,343.10001,312.50,325.04999,9394600,318.67447
2014-05-01,340.75,387.50,334.54999,341.75,7576000,329.0755
2014-04-01,353.50,356.00,336.70001,340.75,5345700,328.11258
2014-03-03,327.79999,365.00,326.04999,352.85001,7229200,339.76382
2014-02-03,322.64999,332.00,311.39999,327.64999,5286800,315.49841
2014-01-01,322.29999,332.35001,310.35001,325.10001,5903200,313.043
2013-12-02,320.95001,324.00,307.54999,321.85001,6143000,309.91351
2013-11-01,333.14999,334.00,307.75,320.39999,5879500,308.5173
2013-10-01,340.35001,356.10001,323.00,335.00,6286500,322.57584
2013-09-02,310.00,358.00,293.60001,340.39999,8232200,327.77554
2013-08-01,343.50,349.04999,285.20001,308.70001,9067600,297.25122
2013-07-01,325.00,380.00,320.14999,341.70001,7364900,329.02734
2013-06-03,340.64999,341.89999,311.00,324.35001,7005600,312.3208
2013-05-01,328.85001,355.89999,325.20001,339.89999,6843900,327.2941
2013-04-01,309.00,335.60001,281.14999,328.85001,6140500,311.96176
2013-03-01,295.00,310.00,284.60001,309.45001,6766000,293.55804
2013-02-01,307.75,310.89999,288.79999,294.79999,9602500,279.6604
2013-01-01,287.35001,309.39999,272.10001,307.64999,9058200,291.85049
2012-12-03,297.50,306.50,281.50,286.79999,5979500,272.07123
2012-11-01,282.04999,299.95001,273.00,298.50,4418900,283.17038
2012-10-01,271.50,299.00,220.25,282.54999,5257300,268.03949
2012-09-03,269.00,272.85001,251.10001,272.39999,7526600,258.41077
2012-08-01,257.95001,273.25,256.29999,267.64999,4746700,253.90469
2012-07-02,259.14999,260.79999,244.50,258.14999,5309700,244.89258
2012-06-01,228.89999,260.00,225.00,258.89999,5731300,245.60406
2012-05-01,245.50,247.85001,223.85001,229.35001,7568300,213.47852
2012-04-02,227.39999,252.85001,223.25,245.50,5890100,228.51089
2012-03-01,207.60001,227.89999,203.39999,226.89999,10376400,211.19804
2012-02-01,203.35001,213.50,197.00,207.64999,8085200,193.28018
2012-01-02,201.85001,211.30,197.60001,203.95,6955100,189.83624
2011-12-01,204.00,208.00,192.30,201.30,5980900,187.36963
2011-11-01,211.50,215.30,189.30,200.70,7441000,186.81114
2011-10-03,195.30,216.20,188.60001,213.14999,7995000,198.39957
2011-09-02,206.00,206.50,185.00,198.00,7608000,184.29799
2011-08-01,210.00,211.25,189.64999,200.00,9210200,186.15959
2011-07-01,206.50,211.25,194.30,208.35001,7720300,193.93176
2011-06-01,195.00,204.00,182.00,202.95,6475600,188.90544
2011-05-02,193.00,194.00,177.55,193.35001,7471600,177.3856
2011-04-01,182.05,194.80,180.80,192.35001,6851100,176.46819
2011-03-01,170.80,184.00,165.60001,182.10001,8397600,167.0645
2011-02-01,163.64999,170.00,149.00,169.00,9851600,155.04613
2011-01-03,175.95,181.00,160.95,162.60001,7710700,149.17456
2010-12-01,172.50,176.35001,164.14999,174.64999,6032000,160.22961
2010-11-01,172.50,179.39999,164.00,171.89999,6935200,157.70667
2010-10-01,178.89999,181.80,165.00,171.20,8839900,157.06447
2010-09-01,164.25,180.85001,161.39999,178.30,7885900,163.57825
2010-08-02,309.10001,313.45001,151.55,163.14999,5826400,149.67914
2010-07-01,304.79999,311.89999,266.39999,308.75,6503500,141.62866
2010-06-01,285.39999,307.89999,275.20001,305.45001,7282600,140.11491
2010-05-03,261.25,287.70001,245.00,283.20001,8386000,125.87265
2010-04-01,264.00,273.79999,260.10001,265.85001,5001500,118.16117
2010-03-01,233.50,272.89999,233.50,263.04999,8050800,116.91666
2010-02-01,250.00,254.85001,228.80,232.25,10875900,103.22713
2010-01-01,251.35001,259.50,241.25,250.14999,8620200,111.18305
2009-12-01,258.00,260.50,243.20,250.80,6143700,111.47196
2009-11-02,256.00,271.00,243.10001,257.10001,8324800,114.27209
2009-10-01,232.70,266.50,230.00,254.80,8831200,113.24982
2009-09-01,233.00,238.00,222.39999,233.05,10237000,103.5827
2009-08-03,253.00,253.00,218.05,230.95,8861000,102.64931
2009-07-01,190.30,253.00,187.20,249.20,14102900,110.76081
2009-06-01,185.00,210.00,180.50,190.75,19094200,81.80276
2009-05-01,188.70,223.25,179.55,183.64999,14903600,78.75794
2009-04-01,185.10001,194.25,177.50,188.70,8434500,80.92363
2009-03-02,181.10001,188.80,156.00,184.85001,9125000,79.27257
2009-02-02,178.10001,189.95,174.64999,183.05,5776900,78.50064
2009-01-01,172.30,181.00,162.00,180.10001,9229500,77.23553
2008-12-01,172.89999,184.45,162.00,171.70,8261600,73.63321
2008-11-03,157.64999,177.60001,154.30,173.60001,10033100,74.44803
2008-10-01,190.00,199.00,132.05,155.14999,17369200,66.53577
2008-09-01,188.00,210.00,177.00,188.05,10384100,80.64488
2008-08-01,187.05,198.25,179.80,188.70,7266600,80.92363
2008-07-01,186.60001,199.70,156.64999,186.80,13197100,80.10882
2008-06-02,219.20,225.00,181.00,187.80,10909500,77.02402
2008-05-01,219.89999,232.39999,201.55,217.75,9764600,89.30768
2008-04-01,208.00,220.80,199.20,219.89999,8393900,90.18947
2008-03-03,198.30,210.80,180.35001,206.25,13269900,84.59108
2008-02-01,192.25,213.00,179.00,202.75,10433100,83.15559
2008-01-01,212.00,239.39999,169.00,195.55,19701800,80.2026
2007-12-03,190.89999,211.89999,184.39999,209.45,10419300,85.90353
2007-11-01,178.20,214.70,165.00,188.35001,12248400,77.2496
2007-10-01,190.75,192.89999,170.25,178.89999,10290700,73.37379
2007-09-03,170.64999,195.00,170.00,189.80,10753700,77.84431
2007-08-01,170.50,174.95,151.75,170.80,10775800,70.05167
2007-07-02,155.00,179.89999,145.00,171.00,15454700,70.1337
2007-06-01,162.60001,165.80,145.00,154.70,9516400,60.91621
2007-05-01,160.05,172.00,158.89999,163.80,8242000,64.49953
2007-04-02,151.20,164.00,146.05,160.05,9616700,63.02289
2007-03-01,172.70,175.00,130.00,151.14999,19030600,59.51833
2007-02-01,173.10001,180.00,155.10001,171.70,11456300,67.61031
2007-01-01,176.10001,181.00,160.10001,174.60001,9777300,68.75224
2006-12-01,186.00,191.95,166.50,176.10001,8100300,69.3429
2006-11-01,191.00,192.80,174.00,185.10001,8041200,72.88683
2006-10-02,187.70,196.70,182.00,190.00,7477300,74.8163
