Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,104.00,109.70,98.05,104.95,4988300,104.95
2016-02-01,104.05,112.35,97.20,104.30,4175700,104.30
2016-01-01,142.95,144.45,102.30,103.15,5076100,103.15
2015-12-01,141.10,145.20,129.10,143.65,3235100,143.65
2015-11-02,141.00,149.75,126.85,141.40,5014200,141.40
2015-10-01,149.05,160.25,138.00,140.00,4412600,140.00
2015-09-01,153.70,155.45,137.15,149.50,3667400,149.50
2015-08-03,175.00,175.00,141.00,155.85,4395400,155.21
2015-07-01,176.50,186.50,165.75,173.35,3665600,172.64
2015-06-01,173.60,180.40,165.00,176.15,4083700,175.43
2015-05-01,175.00,182.10,165.00,173.20,5572300,172.49
2015-04-01,182.15,204.00,173.75,175.00,7730000,174.28
2015-03-02,153.10,187.50,143.10,184.00,11069100,183.24
2015-02-02,154.10,161.10,148.55,154.75,4349000,154.11
2015-01-01,154.00,172.10,144.60,154.85,4258900,154.21
2014-12-01,158.65,164.50,138.10,153.80,4712900,153.17
2014-11-03,163.80,173.00,157.65,158.70,3674400,158.05
2014-10-01,168.00,171.35,145.25,162.75,3356700,162.08
2014-09-01,163.00,178.10,161.75,166.10,7567000,165.42
2014-08-01,155.50,166.00,151.60,161.90,5533200,160.84
2014-07-01,133.10,158.60,132.10,156.85,8796500,155.83
2014-06-02,138.00,148.45,129.85,132.45,10373600,131.58
2014-05-01,134.70,149.80,129.15,137.85,7455900,136.95
2014-04-01,139.00,148.70,131.80,134.70,4060300,133.82
2014-03-03,129.55,143.85,129.00,137.45,5058800,136.55
2014-02-03,143.00,153.10,125.10,128.90,6768800,128.06
2014-01-01,167.90,170.20,135.50,143.50,6321100,142.56
2013-12-02,177.90,183.70,164.55,166.90,3148200,165.81
2013-11-01,172.00,179.50,157.05,175.45,5434200,174.30
2013-10-01,169.00,188.40,165.75,172.75,5140000,171.62
2013-09-02,158.60,176.00,148.55,168.25,5132600,167.15
2013-08-01,173.90,177.30,141.80,159.90,6808400,158.55
2013-07-01,140.50,170.70,134.15,168.95,6328100,167.53
2013-06-03,130.50,150.70,124.30,141.50,6475400,140.31
2013-05-01,132.75,138.60,124.70,131.05,3618800,129.95
2013-04-01,113.00,133.85,101.10,132.75,4559900,131.63
2013-03-01,117.05,119.90,105.75,113.90,2268300,112.94
2013-02-01,113.00,120.00,104.70,117.60,3608100,116.61
2013-01-01,103.80,123.50,103.50,112.95,5802000,112.00
2012-12-03,96.45,106.40,92.30,103.80,2163300,102.93
2012-11-01,85.85,101.95,84.60,97.05,2836600,96.23
2012-10-01,85.50,86.45,78.20,85.60,1635600,84.88
2012-09-03,74.85,90.00,74.30,85.30,2272300,84.58
2012-08-01,79.95,83.05,71.50,74.65,1968100,74.02
2012-07-02,75.80,87.15,75.25,79.95,2536700,79.28
2012-06-01,73.25,79.95,73.25,75.80,2061000,75.16
2012-05-01,78.50,84.70,65.60,76.00,3111200,75.36
2012-04-02,98.30,101.20,75.25,78.50,4815800,77.84
2012-03-01,93.85,102.20,92.60,98.80,4028900,97.97
2012-02-01,92.50,99.80,88.80,94.50,5449400,93.70
2012-01-02,82.20,96.90,80.25,95.35,4342800,94.55
2011-12-01,97.70,98.40,78.00,82.30,6936700,81.61
2011-11-01,94.20,103.15,89.20,97.95,11288200,97.13
2011-10-03,98.00,100.00,86.05,94.60,5133900,93.80
2011-09-02,100.50,103.70,93.15,98.50,5431500,97.67
2011-08-01,95.00,101.75,89.70,100.00,10379100,99.16
2011-07-01,80.50,95.40,75.90,94.35,13198700,93.56
2011-06-01,68.75,80.70,67.00,79.85,5455600,79.18
2011-05-02,69.50,69.50,62.10,68.65,1513800,68.07
2011-04-01,67.50,80.90,63.00,68.90,4058700,68.32
2011-03-01,57.55,68.40,56.80,67.45,3171800,66.88
2011-02-01,70.05,72.70,52.05,57.55,6120600,57.07
2011-01-03,69.80,72.70,65.10,69.80,2982400,69.21
2010-12-01,72.45,73.00,65.80,69.55,3746800,68.96
2010-11-01,67.75,76.30,66.00,72.55,5012300,71.94
2010-10-01,74.00,75.90,64.20,67.45,4790500,66.88
2010-09-01,71.75,80.00,70.65,73.65,6006800,73.03
2010-08-02,71.10,75.40,67.15,71.55,5124200,70.95
2010-07-01,59.20,71.10,55.00,70.60,10284700,70.01
2010-06-01,50.65,59.90,48.50,59.35,6630000,58.85
2010-05-03,61.00,65.70,48.50,50.50,8871400,50.07
2010-04-01,66.00,69.10,60.55,61.15,4762500,60.64
2010-03-02,61.00,69.10,59.20,65.50,3696600,64.95
2010-02-01,57.80,61.85,55.10,61.10,2429000,60.59
2010-01-01,58.00,62.65,57.50,57.80,1871100,57.31
2009-12-01,51.30,61.50,51.30,58.00,6349600,57.51
2009-11-02,51.75,54.70,47.80,51.10,7849200,50.67
2009-10-01,75.75,76.40,51.55,51.75,10642300,51.31
2009-09-01,80.70,83.20,74.50,75.25,5444100,74.62
2009-08-03,79.80,84.80,72.25,81.10,4877200,80.42
2009-07-01,71.55,82.80,63.30,79.30,7705200,78.63
2009-06-01,84.25,91.80,70.60,71.30,13147600,70.70
2009-05-01,58.25,86.25,55.85,82.85,14046400,82.15
2009-04-01,50.50,64.80,48.20,58.25,6275300,57.76
2009-03-02,45.10,53.35,42.00,50.25,5305900,49.83
2009-02-02,47.10,52.50,43.10,46.90,4645400,46.51
2009-01-01,53.80,54.90,41.20,47.30,3989700,46.90
2008-12-01,47.90,58.40,37.10,52.75,3711500,52.31
2008-11-03,45.00,53.40,39.90,46.90,4886400,46.51
2008-10-01,76.90,78.40,34.00,43.45,7168300,43.08
2008-09-01,82.45,87.70,66.50,77.00,5671000,76.35
2008-08-01,89.00,93.45,79.50,82.60,5168100,81.90
2008-07-01,94.20,97.60,74.00,88.70,7784100,87.95
2008-06-02,109.30,112.00,92.65,92.80,6878000,92.02
2008-05-02,107.00,114.00,100.00,109.00,14525300,108.08
2008-04-01,103.70,112.50,96.55,105.45,9946900,104.56
2008-03-03,108.00,108.00,88.00,102.30,3728800,101.44
2008-02-01,125.00,129.50,100.35,109.45,1743500,108.53
2008-01-01,135.10,149.50,96.10,125.00,4445100,123.95
2007-12-03,124.00,150.10,123.50,140.00,5262900,138.82
2007-11-01,138.80,138.80,115.10,123.00,2637400,121.96
2007-10-01,126.20,160.90,121.15,135.50,8809900,134.36
2007-09-03,123.25,131.90,118.40,125.50,4823100,124.44
2007-08-01,127.95,129.10,104.75,122.90,4611700,121.87
2007-07-02,125.50,135.40,118.05,129.60,5776300,128.51
