Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,837.00,937.45,834.00,928.05,1551200,928.05
2016-02-01,928.75,939.60,799.00,830.00,1894400,830.00
2016-01-01,968.00,972.30,866.80,928.80,1432400,928.80
2015-12-01,940.00,971.95,903.75,968.95,973300,968.95
2015-11-02,911.90,939.00,880.00,935.25,825000,935.25
2015-10-01,950.00,973.35,902.35,911.90,1070900,911.90
2015-09-01,852.95,958.10,809.25,942.45,1515400,942.45
2015-08-03,978.00,986.00,830.25,858.05,924900,858.05
2015-07-01,872.60,989.30,858.00,977.70,1035400,973.59
2015-06-01,870.00,885.45,784.00,872.70,1007300,865.03
2015-05-01,823.80,880.00,786.00,873.95,938500,866.27
2015-04-01,884.10,967.00,806.10,823.80,1247700,816.56
2015-03-02,925.00,962.55,850.90,886.00,872500,878.22
2015-02-02,865.10,889.80,815.70,864.50,756300,856.91
2015-01-01,803.40,884.80,786.55,870.20,981700,862.56
2014-12-01,751.95,809.50,745.60,802.45,766600,795.40
2014-11-03,724.90,759.80,700.10,750.45,834900,743.86
2014-10-01,621.50,722.00,594.50,720.10,877500,713.78
2014-09-01,586.55,646.95,586.55,621.55,845100,616.09
2014-08-01,556.00,587.90,535.30,585.45,500600,580.31
2014-07-01,574.15,587.00,527.10,559.50,964700,554.59
2014-06-02,532.10,582.00,520.65,571.70,1113300,566.68
2014-05-01,478.35,587.00,471.00,533.95,1721500,525.81
2014-04-01,502.95,520.50,473.70,478.35,1498100,471.06
2014-03-03,397.00,509.50,390.35,501.85,2333800,494.20
2014-02-03,380.45,406.75,371.75,397.50,1422700,391.44
2014-01-01,422.60,440.00,369.50,383.80,1982500,377.95
2013-12-02,425.40,472.60,409.15,420.70,1762600,414.29
2013-11-01,443.00,460.00,398.00,422.20,1720700,415.76
2013-10-01,371.00,453.30,366.50,445.60,2948900,438.81
2013-09-02,357.95,474.10,342.50,368.75,3763000,363.13
2013-08-01,391.95,406.50,311.50,356.75,3453300,351.31
2013-07-01,466.50,516.80,367.80,387.45,2464700,381.54
2013-06-03,520.00,525.40,440.35,467.45,1339400,460.32
2013-05-01,467.75,531.90,456.65,517.30,1435100,506.24
2013-04-01,407.50,484.20,383.05,467.75,2103500,457.75
2013-03-01,412.10,440.50,381.50,404.70,1358700,396.05
2013-02-01,434.80,449.70,407.55,412.00,865800,403.19
2013-01-01,419.95,444.90,407.60,435.80,1312700,426.48
2012-12-03,406.10,435.90,403.00,417.05,1305900,408.14
2012-11-01,363.80,419.50,361.05,416.75,955600,407.84
2012-10-01,358.85,376.00,352.50,364.10,479000,356.32
2012-09-03,317.45,357.00,308.10,355.30,629200,347.71
2012-08-01,334.95,339.80,310.45,316.55,366300,309.78
2012-07-02,342.15,349.00,279.00,334.15,392700,327.01
2012-06-01,299.85,349.00,287.70,340.25,479700,330.86
2012-05-01,333.35,360.45,295.00,298.40,477400,290.16
2012-04-02,322.20,370.00,317.55,331.70,526100,322.54
2012-03-01,314.90,324.80,288.00,321.65,755200,312.77
2012-02-01,288.20,333.00,285.00,312.25,1088300,303.63
2012-01-02,225.50,300.95,222.25,291.90,617200,283.84
2011-12-01,254.40,277.45,222.15,225.85,576000,219.62
2011-11-01,283.00,287.90,240.55,248.95,701700,242.08
2011-10-03,259.90,288.00,235.50,286.70,733100,278.79
2011-09-02,247.50,275.85,244.50,262.25,401900,255.01
2011-08-01,275.95,284.00,224.10,247.80,728200,240.96
2011-07-01,275.00,292.00,267.50,271.20,653800,263.71
2011-06-01,264.05,278.00,241.50,272.00,486700,264.49
2011-05-02,261.05,265.00,200.00,264.05,617500,254.90
2011-04-01,262.15,286.80,258.95,259.80,665700,250.79
2011-03-01,222.10,280.50,222.10,263.60,960400,254.46
