Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,1094.80005,1210.69995,1094.80005,1207.80005,3599800,1207.80005
2016-02-01,1170.00,1194.94995,1067.00,1084.05005,2758500,1084.05005
2016-01-01,1100.00,1170.00,1030.84998,1164.90002,3970600,1164.90002
2015-12-01,1088.00,1110.00,1022.54999,1105.40002,2708400,1105.40002
2015-11-02,1130.00,1157.59998,1011.25,1087.90002,3094000,1087.90002
2015-10-01,1169.90002,1219.80005,1085.19995,1135.44995,4157000,1135.44995
2015-09-01,1090.00,1168.94995,1052.30005,1161.94995,3970500,1151.36133
2015-08-03,1078.00,1186.19995,1044.50,1094.40002,4422100,1084.42688
2015-07-01,989.00,1149.00,932.65002,1077.05005,4022100,1067.23511
2015-06-01,2032.80005,2064.00,968.00,984.34998,3317800,975.37976
2015-05-01,1942.25,2061.8999,1908.00,2023.16003,4358600,943.6983
2015-04-01,2198.8999,2245.00,1932.30005,1942.25,5267400,905.95801
2015-03-02,2303.00,2313.8999,2132.00,2218.36011,3409300,1034.7489
2015-02-02,2141.50,2336.00,2102.00,2265.76001,3559400,1056.85852
2015-01-01,1968.94995,2225.00,1913.05005,2141.8999,5529900,999.08423
2014-12-01,2193.50,2201.1001,1896.30005,1972.55005,9088200,920.09137
2014-11-03,4076.87988,4281.64014,2123.00,2179.91992,4197600,508.4093
2014-10-01,3722.00,4066.00,3572.69995,4051.23999,5283000,944.84576
2014-09-01,3610.052,3795.00,3555.552,3747.75195,4050700,847.29639
2014-08-01,3350.00,3650.00,3330.00,3598.80005,3285700,813.62115
2014-07-01,3245.00,3432.00,3185.80005,3367.64795,3890000,761.362
2014-06-02,2960.50,3339.3999,2950.00,3255.552,5291600,736.01923
2014-05-01,3180.80005,3340.00,2880.00,2939.3999,5724100,664.54315
2014-04-01,3283.052,3388.00,3142.3999,3180.80005,4092200,680.14136
2014-03-03,3825.00,3849.948,3215.948,3282.80005,5216400,701.95172
2014-02-03,3685.00,3837.14795,3541.00,3824.85205,3290500,817.85718
2014-01-01,3492.00,3799.00,3417.85205,3701.1001,5721300,791.39563
2013-12-02,3352.00,3575.00,3318.19995,3485.64795,3854400,745.32611
2013-11-01,3300.00,3448.00,3233.00,3354.552,2934300,717.29425
2013-10-01,3030.00,3377.69995,3003.00,3309.8999,5312100,707.7464
2013-09-02,3077.1001,3188.00,2980.1001,3013.00,4716900,628.89783
2013-08-01,2988.00,3130.00,2922.1001,3105.85205,4640100,648.27869
2013-07-01,2469.00,2991.6001,2392.6001,2969.64795,5110900,619.84906
