Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,620.00,675.80,620.00,659.95,2216600,659.95
2016-02-01,683.15,697.30,585.75,630.40,1051000,630.40
2016-01-01,720.00,729.85,651.00,683.60,965500,683.60
2015-12-01,693.50,723.85,661.00,720.05,793300,720.05
2015-11-02,688.00,702.95,634.65,692.35,700300,692.35
2015-10-01,646.00,693.80,637.45,687.65,1222700,687.65
2015-09-01,646.80,670.00,594.50,648.10,1277800,648.10
2015-08-03,694.95,724.75,621.90,651.70,1162800,651.70
2015-07-01,1379.60,1430.00,683.80,695.40,1885100,695.40
2015-06-01,1400.00,1414.20,1258.00,1385.80,1474300,692.90
2015-05-01,1332.90,1434.90,1292.00,1399.30,1922900,698.6776
2015-04-01,1322.90,1475.30,1297.30,1332.90,1955500,665.5237
2015-03-02,1404.00,1457.75,1275.70,1313.25,1848300,655.7123
2015-02-02,1320.00,1366.00,1236.25,1337.75,2325400,667.9453
2015-01-01,1263.80,1444.00,1233.55,1322.20,3015600,660.1811
2014-12-01,1205.15,1315.50,1190.20,1263.90,1815500,631.0717
2014-11-03,1119.25,1264.70,1040.50,1202.50,2767000,600.4143
2014-10-01,1008.50,1122.25,980.35,1118.25,1732500,558.3478
2014-09-01,1042.50,1086.60,996.00,1013.10,1528900,505.8459
2014-08-01,948.00,1059.95,919.00,1037.55,1830100,518.054
2014-07-01,885.60,979.60,847.20,953.70,3773900,476.1872
2014-06-02,866.00,971.95,852.70,883.55,1620800,440.3689
2014-05-01,802.60,951.00,797.75,868.65,1863600,432.9427
2014-04-01,781.50,834.60,750.00,802.60,1404600,400.0227
2014-03-03,682.00,788.00,665.45,781.05,1799200,389.282
2014-02-03,651.30,694.00,630.50,684.50,1474100,341.1607
2014-01-01,732.00,737.75,645.05,657.05,1376300,327.4794
2013-12-02,756.25,787.90,715.05,728.25,1090200,362.9661
2013-11-01,753.00,764.70,708.00,756.80,1132900,377.1956
2013-10-01,678.40,761.80,667.00,752.45,1700000,375.0276
2013-09-02,654.90,779.00,591.00,678.10,2428000,337.9709
2013-08-01,655.20,675.00,588.00,659.60,2998200,328.7503
2013-07-01,723.00,762.30,622.50,652.35,1816200,325.1368
2013-06-03,781.25,785.70,683.00,722.20,1479400,359.2296
2013-05-01,707.10,807.35,701.20,782.95,1123400,389.4473
2013-04-01,655.00,716.50,615.00,707.10,993400,351.7187
2013-03-01,654.55,678.85,625.10,653.00,1268400,324.8088
2013-02-01,680.45,697.20,649.00,659.60,1343700,328.0917
