Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,1087.00,1249.00,1081.00,1242.55,2121900,1242.55
2016-02-01,1125.00,1174.95,1016.05,1076.00,2774000,1076.00
2016-01-01,1279.00,1291.00,1069.10,1101.65,2689500,1101.65
2015-12-01,1375.00,1382.90,1264.50,1275.45,1735000,1275.45
2015-11-02,1400.00,1404.00,1326.00,1374.60,2093100,1374.60
2015-10-01,1483.00,1610.00,1400.00,1410.75,2112300,1410.75
2015-09-01,1580.00,1629.60,1412.35,1466.25,2177700,1466.25
2015-08-03,1710.05,1844.20,1575.00,1602.90,2057300,1586.65
2015-07-01,1782.95,1888.00,1737.85,1791.25,1497900,1755.2659
2015-06-01,1674.00,1817.00,1643.00,1782.80,1874300,1746.9856
2015-05-01,1631.30,1669.75,1543.60,1654.45,1818100,1621.214
2015-04-01,1721.65,1819.95,1625.60,1631.30,1442000,1598.5291
2015-03-02,1782.00,1893.80,1613.45,1719.65,2106700,1685.1042
2015-02-02,1696.00,1765.00,1532.15,1758.95,2478900,1723.6146
2015-01-01,1493.80,1750.00,1485.55,1700.55,1635700,1666.3879
2014-12-01,1631.20,1655.00,1450.20,1494.65,1583100,1464.6243
2014-11-03,1661.00,1692.90,1593.50,1639.35,1454600,1606.4174
2014-10-01,1458.25,1663.50,1401.00,1655.45,1360000,1622.1938
2014-09-01,1535.00,1632.70,1431.65,1458.25,1639600,1428.9554
2014-08-01,1487.90,1557.90,1440.00,1526.50,1758300,1495.8344
2014-07-01,1712.00,1765.90,1499.30,1502.90,2235300,1458.6154
2014-06-02,1614.90,1776.60,1539.00,1701.70,2037800,1651.5574
2014-05-01,1294.10,1627.35,1251.20,1545.50,2574000,1499.9601
2014-04-01,1273.10,1388.50,1242.00,1294.10,2085900,1255.9678
2014-03-03,1100.55,1302.25,1086.65,1271.90,2608500,1234.422
2014-02-03,981.00,1114.70,965.10,1109.65,1691500,1076.9529
2014-01-01,1075.15,1079.90,951.50,985.90,2100300,956.8494
2013-12-02,1042.00,1154.40,1032.65,1070.25,2157500,1038.7139
2013-11-01,973.00,1048.80,912.10,1045.95,2088600,1015.1298
2013-10-01,790.30,984.95,776.55,973.70,2437600,945.0088
2013-09-02,725.00,898.65,687.40,788.75,2524400,765.5085
2013-08-01,846.00,864.90,677.15,724.55,3028600,703.2003
2013-07-01,1407.00,1456.9995,835.00,847.15,2686200,809.4808
