Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,1760.00,1874.60,1501.10,1524.15,2213000,1524.15
2016-02-01,1750.00,1911.90,1603.00,1754.55,1314200,1754.55
2016-01-01,1836.10,1859.00,1636.00,1710.75,809000,1710.75
2015-12-01,1800.00,1879.00,1688.50,1837.25,728600,1837.25
2015-11-02,1928.90,1935.20,1759.60,1786.95,809000,1786.95
2015-10-01,2059.95,2129.00,1885.00,1928.90,1123700,1928.90
2015-09-01,1910.00,2067.75,1755.75,2034.00,1054400,2034.00
2015-08-03,1700.00,1945.00,1634.10,1935.55,1420300,1935.55
2015-07-01,1893.00,1983.50,1590.05,1696.70,1471100,1696.70
2015-06-01,1778.00,1898.00,1675.00,1886.05,1016100,1878.563
2015-05-01,1772.55,1854.90,1588.25,1833.25,4113100,1825.973
2015-04-01,2008.00,2115.00,1683.05,1772.55,1471000,1765.514
2015-03-02,1749.00,2036.95,1743.00,2008.40,1172300,2000.427
2015-02-02,1587.00,1745.15,1523.00,1737.50,999900,1730.603
2015-01-01,1428.40,1591.15,1365.35,1585.30,448900,1579.007
2014-12-01,1480.45,1497.50,1342.40,1427.95,400100,1422.281
2014-11-03,1371.00,1495.00,1356.05,1480.45,472700,1474.573
2014-10-01,1389.00,1408.80,1307.20,1369.05,511000,1363.615
2014-09-01,1290.00,1442.15,1280.20,1395.65,502300,1390.11
2014-08-01,1173.25,1308.00,1107.30,1285.40,388200,1280.297
2014-07-01,1051.00,1210.50,1014.00,1181.75,610300,1177.059
2014-06-02,937.50,1058.90,913.05,1048.05,511600,1041.011
2014-05-01,989.60,1023.00,902.60,935.95,637300,929.664
2014-04-01,939.80,1014.00,933.20,989.60,438700,982.954
2014-03-03,998.00,1003.70,920.00,933.15,494900,926.883
2014-02-03,882.00,1002.40,882.00,995.45,648600,988.764
2014-01-01,916.50,950.95,855.40,881.90,528400,873.089
2013-12-02,854.25,929.80,851.65,908.15,544900,899.077
2013-11-01,881.00,896.95,840.40,855.85,443900,847.299
2013-10-01,860.00,945.65,846.00,887.90,753700,879.029
2013-09-02,802.00,896.00,798.45,855.85,1019300,847.299
2013-08-01,879.70,903.50,742.55,796.20,1542200,788.245
2013-07-01,781.45,907.95,773.05,871.15,1028800,862.447
2013-06-03,744.95,804.85,742.50,781.45,957100,770.023
2013-05-01,702.60,811.00,694.20,737.70,1569900,726.913
2013-04-01,629.00,704.80,605.50,702.60,682400,692.326
2013-03-01,583.00,639.30,567.65,628.55,761600,619.359
2013-02-01,607.00,626.00,577.20,584.95,625700,576.396
2013-01-01,615.15,621.25,570.80,604.30,828600,595.463
2012-12-03,594.00,623.50,582.10,613.85,653500,604.874
2012-11-01,569.95,594.80,557.10,591.00,623500,582.358
2012-10-01,599.95,603.70,496.40,566.45,963400,558.167
2012-09-03,590.00,631.95,554.10,595.95,1365400,587.235
2012-08-01,606.00,606.00,548.25,593.10,642000,584.427
2012-07-02,544.55,604.00,532.10,600.90,762300,592.113
2012-06-01,541.70,559.95,505.10,537.15,628200,526.227
2012-05-01,552.40,562.50,507.50,541.70,645700,530.684
2012-04-02,532.00,575.00,510.05,552.40,661000,541.167
2012-03-01,485.10,536.90,476.60,529.50,705000,518.732
2012-02-01,465.15,509.50,457.10,480.85,560700,471.072
2012-01-02,451.55,479.95,419.30,475.00,785700,465.341
2011-12-01,480.00,482.90,408.20,447.85,955100,438.743
2011-11-01,470.00,486.70,438.20,474.35,581300,464.704
2011-10-03,468.75,494.00,448.80,470.20,909700,460.638
2011-09-02,456.00,492.30,449.00,474.35,949900,464.704
2011-08-01,461.40,472.00,426.40,448.75,824100,439.624
2011-07-01,453.85,489.35,441.00,454.75,1105000,445.502
2011-06-01,474.70,475.90,419.95,449.20,896700,437.339
2011-05-02,442.00,472.50,406.15,469.90,1096700,457.492
2011-04-01,421.95,446.40,404.65,440.85,877400,429.209
2011-03-01,381.00,423.70,377.95,416.65,873300,405.648
2011-02-01,423.95,433.85,363.10,381.20,958700,371.134
2011-01-03,486.00,493.80,385.25,421.90,972200,410.759
2010-12-01,513.75,519.95,415.00,482.45,1181400,469.711
2010-11-01,453.00,519.75,427.00,511.45,2219400,497.945
2010-10-01,388.10,460.40,388.10,438.30,829600,426.726
2010-09-01,360.95,408.00,349.15,388.10,822900,377.852
2010-08-02,1895.10,1930.00,348.15,356.40,771500,346.989
2010-07-01,1964.00,1984.90,1825.50,1877.95,959000,365.672
2010-06-01,1858.00,1974.00,1803.60,1967.85,752800,369.383
2010-05-03,1723.85,1874.00,1697.00,1860.20,1085200,349.177
2010-04-01,1627.35,1728.00,1573.40,1706.35,658800,320.297
2010-03-02,1530.00,1710.00,1496.10,1627.35,808300,305.468
2010-02-01,1435.00,1609.90,1425.00,1500.70,1039800,281.695
2010-01-01,1474.90,1494.80,1310.10,1422.65,1032400,267.044
2009-12-01,1375.30,1554.70,1371.00,1474.10,1183700,276.702
2009-11-02,1239.65,1402.20,1196.00,1375.30,894200,258.156
2009-10-01,1135.00,1309.95,1129.00,1229.95,1497500,230.873
2009-09-01,1027.95,1188.40,935.40,1135.00,825500,213.05
2009-08-03,961.15,1059.00,903.05,1015.15,879800,190.553
2009-07-01,821.00,989.95,767.90,950.40,844400,178.399
2009-06-01,830.00,905.00,792.15,816.20,635000,142.598
2009-05-01,710.00,906.00,710.00,836.15,952000,146.083
2009-04-01,684.90,748.00,621.05,710.00,483000,124.044
2009-03-02,643.05,690.00,565.00,684.55,689600,119.597
2009-02-02,571.00,660.00,550.00,649.30,459700,113.439
2009-01-01,618.00,694.40,530.05,569.75,292800,99.541
2008-12-01,593.00,621.00,531.00,617.85,358400,107.944
2008-11-03,660.00,745.00,518.00,585.85,824100,102.353
2008-10-01,726.00,780.60,580.00,664.90,1057100,116.164
2008-09-01,733.00,782.00,690.00,719.80,444900,125.756
2008-08-01,737.00,772.90,720.10,731.70,445400,127.835
2008-07-01,683.00,760.00,620.80,737.60,741500,128.865
2008-06-02,670.00,742.00,612.00,666.60,1442100,107.847
2008-05-02,578.00,732.50,545.00,717.05,1420000,116.009
2008-04-01,499.50,628.00,472.55,564.75,383900,91.369
2008-03-03,533.80,572.00,441.25,498.50,549700,80.651
2008-02-01,536.00,569.00,480.00,553.80,313000,89.598
2008-01-01,630.00,647.00,425.00,562.35,1148800,90.981
2007-12-03,533.95,651.90,522.60,629.80,690200,101.893
2007-11-01,594.00,598.00,460.80,522.60,400200,84.55
2007-10-01,597.90,645.00,525.60,588.10,879500,95.147
2007-09-03,590.55,633.30,565.35,588.15,632600,95.155
