Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,3200.90,3750.00,3200.90,3736.00,833000,3736.00
2016-02-01,4100.90,4119.00,3193.25,3236.50,1114000,3236.50
2016-01-01,4621.00,4668.00,3870.00,4095.85,858800,4095.85
2015-12-01,4609.00,4702.00,4406.05,4621.95,502100,4621.95
2015-11-02,4470.00,4790.00,4425.20,4555.00,1669400,4555.00
2015-10-01,4720.00,4721.90,4216.50,4449.00,816200,4449.00
2015-09-01,4170.00,4763.45,4010.00,4685.60,578000,4685.60
2015-08-03,4380.00,4692.40,4062.10,4167.20,356200,4167.20
2015-07-01,4034.90,4359.00,3907.00,4331.45,341300,4305.66
2015-06-01,3785.90,4077.40,3675.80,4023.35,292800,3999.40
2015-05-01,3725.85,3840.00,3520.00,3785.70,309400,3763.16
2015-04-01,3699.95,3873.00,3386.10,3725.85,417500,3703.67
2015-03-02,3648.10,3789.70,3537.95,3697.35,246200,3675.34
2015-02-02,3647.35,3725.00,3360.00,3604.40,290000,3582.94
2015-01-01,3320.25,3758.50,3320.25,3647.35,411500,3625.63
2014-12-01,3341.00,3462.00,3250.75,3329.80,244800,3309.98
2014-11-03,3330.00,3396.00,3248.70,3346.20,233800,3326.28
2014-10-01,3048.00,3350.00,2902.00,3337.25,303400,3317.38
2014-09-01,2804.00,3112.00,2792.00,3062.85,332400,3044.61
2014-08-01,2510.00,2824.95,2509.00,2784.50,304200,2767.92
2014-07-01,2453.80,2665.00,2446.60,2524.05,400300,2498.16
2014-06-02,2270.00,2528.00,2270.00,2439.35,338200,2414.33
2014-05-01,1923.00,2505.00,1866.00,2271.80,388500,2248.50
2014-04-01,1976.00,2006.85,1872.00,1923.00,334400,1903.28
2014-03-03,1582.00,1980.00,1550.00,1971.75,716800,1951.53
2014-02-03,1620.00,1733.65,1573.00,1589.00,713200,1572.70
2014-01-01,1770.00,1860.00,1540.40,1636.25,1284100,1619.47
2013-12-02,1670.00,1830.00,1633.95,1763.90,722300,1745.81
2013-11-01,1642.00,1700.00,1557.50,1676.15,610000,1658.96
2013-10-01,1364.05,1659.90,1364.00,1636.20,740000,1619.42
2013-09-02,1240.25,1503.40,1233.00,1358.55,608200,1344.62
2013-08-01,1326.00,1424.00,1215.00,1243.55,716100,1230.80
2013-07-01,1540.00,1622.40,1292.00,1326.30,645900,1305.09
2013-06-03,1599.95,1599.95,1430.00,1537.75,543000,1513.16
2013-05-01,1669.60,1777.00,1586.10,1605.60,531400,1579.92
2013-04-01,1280.00,1704.35,1260.00,1669.60,671100,1642.90
2013-03-01,1364.00,1473.95,1266.10,1281.20,478800,1260.71
2013-02-01,1585.20,1639.00,1340.30,1354.35,939700,1332.69
2013-01-01,1497.00,1633.90,1482.30,1581.60,1023900,1556.31
2012-12-03,1480.00,1539.90,1451.00,1490.05,517100,1466.22
2012-11-01,1439.00,1514.50,1434.20,1473.85,628800,1450.28
2012-10-01,1359.00,1443.80,1261.20,1437.90,859900,1414.90
2012-09-03,1130.20,1370.00,1130.20,1350.60,820400,1329.00
2012-08-01,1134.00,1206.00,1108.95,1143.30,605100,1125.02
2012-07-02,1180.00,1250.00,1074.30,1134.85,1612100,1109.63
2012-06-01,1106.95,1176.00,1051.00,1169.75,805700,1143.76
2012-05-01,1371.85,1384.50,1093.15,1100.25,910000,1075.80
2012-04-02,1361.00,1417.05,1260.65,1371.85,593000,1341.37
2012-03-01,1267.90,1428.95,1247.75,1350.50,746600,1320.49
2012-02-01,1190.00,1375.00,1183.00,1254.80,698500,1226.92
2012-01-02,923.00,1226.00,917.00,1186.70,1029000,1160.33
2011-12-01,992.00,1014.90,900.00,918.30,546600,897.89
