Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,120.00,128.85,119.30,127.35,3623900,127.35
2016-02-01,142.00,144.15,116.90,119.50,6339700,119.50
2016-01-01,146.30,147.00,130.80,142.45,4343700,140.64
2015-12-01,131.10,148.85,128.00,146.25,3749300,144.39
2015-11-02,132.45,139.30,129.70,130.90,4055600,129.24
2015-10-01,125.20,137.65,123.10,132.80,4590700,131.11
2015-09-01,120.10,130.00,112.40,123.75,4091300,122.18
2015-08-03,135.10,138.00,107.10,121.45,5575200,118.11
2015-07-01,137.35,139.70,128.15,135.05,3197200,131.33
2015-06-01,136.60,140.85,134.60,137.65,4289700,133.86
2015-05-01,150.30,153.05,131.30,136.55,8488000,132.79
2015-04-01,147.00,160.00,146.90,150.30,3080000,146.16
2015-03-02,156.00,164.75,142.70,146.85,9345900,142.81
2015-02-02,144.45,159.50,136.75,158.45,5714400,154.09
2015-01-01,144.20,147.40,137.20,143.65,6596000,138.97
2014-12-01,142.10,144.85,126.70,144.00,5345800,139.31
2014-11-03,149.65,150.00,139.40,142.70,5352300,138.05
2014-10-01,139.35,150.90,137.40,150.10,4180700,145.21
2014-09-01,138.70,143.95,131.70,139.10,7043000,134.56
2014-08-01,143.40,145.95,135.05,137.40,5042700,132.92
2014-07-01,156.35,161.95,142.60,145.05,7287300,138.56
2014-06-02,163.00,168.90,150.05,156.20,10260300,149.21
2014-05-01,116.35,167.60,113.50,160.50,19583000,153.32
2014-04-01,120.80,125.90,115.35,116.35,5795900,111.14
2014-03-03,113.00,123.85,110.65,119.90,7175700,114.54
2014-02-03,126.00,136.60,112.00,112.40,7882400,107.37
2014-01-01,137.50,138.80,123.50,126.45,4738800,120.79
2013-12-02,147.15,155.05,133.65,137.00,7230100,126.79
2013-11-01,147.50,157.50,144.80,147.25,3226600,136.27
2013-10-01,147.70,149.95,140.25,149.10,2673000,137.99
2013-09-02,131.00,151.60,125.00,147.45,4347900,136.46
2013-08-01,132.00,145.85,122.60,130.90,4960200,120.44
2013-07-01,144.40,149.00,127.70,130.70,3592700,120.26
2013-06-03,154.00,155.60,137.35,143.75,3855900,132.27
2013-05-01,157.35,162.90,147.95,154.20,5593100,141.88
2013-04-01,142.05,158.00,139.20,157.35,5422200,144.78
2013-03-01,148.95,150.90,136.15,141.95,6162300,130.61
2013-02-01,157.50,158.60,146.50,150.90,14656300,135.40
2013-01-01,156.90,167.50,152.30,157.10,3134200,140.96
2012-12-03,162.40,162.50,149.35,156.45,2609900,140.37
2012-11-01,165.00,170.85,157.05,162.40,1827100,145.71
2012-10-01,168.00,174.10,137.00,165.35,2930100,148.36
2012-09-03,168.25,175.50,162.75,168.10,2872200,150.83
2012-08-01,157.05,174.80,156.20,168.05,2287400,150.34
2012-07-02,160.00,162.60,149.10,157.00,2008900,140.45
2012-06-01,146.30,160.40,141.40,159.45,2389200,142.64
2012-05-01,162.50,163.25,138.85,146.80,2278200,131.33
2012-04-02,163.80,169.75,160.40,162.50,1434800,145.37
2012-03-01,181.50,182.70,160.05,162.75,2098000,145.59
2012-02-01,172.00,190.75,170.05,181.05,2431000,161.97
2012-01-02,160.85,178.90,155.05,172.20,2930000,154.05
2011-12-01,165.80,177.45,154.10,160.85,2364900,140.96
2011-11-01,179.05,181.65,152.05,162.35,2323200,142.28
2011-10-03,165.50,183.40,161.85,179.25,2799500,157.09
2011-09-02,174.80,174.80,160.00,167.65,2697900,146.92
2011-08-01,177.20,181.90,162.55,169.30,2454700,147.66
2011-07-01,187.00,192.45,175.50,176.10,2741900,153.59
2011-06-01,169.55,188.60,169.55,186.90,2311500,163.01
2011-05-02,181.55,183.35,165.15,168.25,3901300,146.74
2011-04-01,193.00,193.10,181.30,182.30,1416200,159.00
2011-03-01,172.05,195.00,170.70,193.10,1816500,168.42
2011-02-01,189.25,190.75,168.30,169.85,2071000,148.14
2011-01-03,201.40,203.20,185.00,189.05,2194500,162.17
2010-12-01,184.00,203.80,182.00,200.65,2422400,172.12
2010-11-01,198.10,198.10,175.35,184.00,3029300,157.84
2010-10-01,217.85,222.30,192.30,195.30,3853100,167.53
2010-09-01,196.10,221.20,190.10,216.95,3916800,186.11
2010-08-02,200.00,201.00,192.20,195.95,1394300,167.42
2010-07-01,199.00,206.00,197.30,198.75,1696100,169.81
2010-06-01,203.00,204.90,194.10,199.60,1880500,170.54
2010-05-03,206.40,208.45,190.10,202.30,2883200,172.84
2010-04-01,207.25,212.55,202.90,207.55,2266500,177.33
2010-03-01,203.00,208.35,198.05,207.25,3311100,177.07
2010-02-01,217.00,217.00,197.00,203.05,4043400,170.93
2010-01-01,236.55,238.90,210.35,214.30,4643700,180.40
2009-12-01,211.00,241.35,205.25,235.65,4016000,198.38
2009-11-02,211.50,220.10,201.70,209.80,2843700,176.62
2009-10-01,213.50,222.00,205.10,212.40,3296700,178.81
2009-09-01,212.50,215.30,203.25,213.75,3208900,179.94
2009-08-03,215.10,220.45,201.05,212.35,4151200,178.07
2009-07-01,198.70,225.00,188.50,215.60,5566400,180.80
2009-06-01,218.80,233.00,182.00,195.05,11182600,163.57
2009-05-01,190.05,225.00,185.65,215.40,7656100,180.63
2009-04-01,180.50,205.80,176.05,190.05,5822500,159.37
2009-03-02,182.00,186.90,167.25,179.85,5594400,150.82
2009-02-02,188.50,189.50,171.10,185.00,4926600,155.14
2009-01-01,180.60,193.10,165.25,189.65,6055400,159.04
2008-12-01,158.00,192.00,151.20,180.60,6288500,149.23
2008-11-03,145.00,166.40,130.40,159.45,8173900,131.75
2008-10-01,173.00,183.90,113.00,141.10,7832200,116.59
2008-09-01,173.95,192.00,159.00,171.90,6619200,142.04
2008-08-01,172.10,189.75,166.35,174.90,5434200,144.52
2008-07-01,152.10,196.90,150.00,170.35,7575100,140.10
2008-06-02,172.35,173.55,148.00,151.90,6396700,124.93
2008-05-01,196.90,202.90,168.10,172.35,8046400,141.75
2008-04-01,199.00,202.90,182.00,196.75,6467300,161.82
2008-03-03,199.60,206.10,161.30,196.60,7469200,161.69
2008-02-01,199.00,227.40,182.10,202.00,8893600,166.13
2008-01-01,253.00,290.75,166.05,196.05,16432400,159.12
2007-12-03,238.00,253.85,225.00,250.90,6997700,203.64
2007-11-01,242.95,283.30,219.55,236.65,11688800,192.08
2007-10-01,195.25,243.00,192.15,238.90,12234700,193.90
2007-09-03,174.00,200.00,172.50,193.95,8296600,157.42
2007-08-01,164.20,176.60,156.10,173.35,4080900,140.70
2007-07-02,152.80,170.50,151.45,165.80,3474700,133.92
2007-06-01,161.40,165.00,149.00,152.80,2196700,123.42
2007-05-03,160.80,166.45,148.35,158.50,2606600,128.02
2007-04-02,148.45,163.75,142.10,159.80,3988300,129.07
2007-03-01,139.90,151.50,129.00,150.25,2929700,121.36
2007-02-01,143.00,147.30,135.70,139.90,3753400,113.00
2007-01-02,137.80,145.75,131.55,142.05,2936400,112.85
2006-12-01,149.00,154.50,131.55,136.50,4649400,108.44
2006-11-01,130.00,157.90,127.05,146.95,4350100,116.74
2006-10-03,130.75,134.50,125.10,129.60,1888900,102.96
2006-09-01,124.50,131.50,116.00,130.10,1951000,103.35
2006-08-01,115.25,128.25,114.65,124.25,1800400,98.71
2006-07-03,112.00,118.95,104.40,115.25,1847400,90.98
2006-06-01,113.50,117.40,96.00,110.90,3448800,87.55
2006-05-02,135.00,139.00,85.10,112.40,5421800,88.73
2006-04-03,135.85,144.90,121.10,135.80,6044100,107.20
2006-03-01,132.50,142.00,130.55,134.10,4154200,105.86
2006-02-01,115.30,135.00,114.60,131.15,4537300,103.53
2006-01-02,112.40,118.00,109.25,114.50,3298200,88.90
2005-12-01,104.95,113.90,101.00,112.00,3249000,86.96
2005-11-01,98.00,107.75,95.95,104.25,3008100,80.94
2005-10-03,106.95,110.00,91.80,97.15,4138500,75.43
2005-09-01,102.50,109.75,99.00,105.95,3538100,82.26
2005-08-01,94.30,102.65,93.20,102.05,5105600,78.31
2005-07-01,83.50,97.90,82.95,93.80,6417600,71.98
2005-06-01,83.30,87.70,82.00,83.00,3381000,63.69
2005-05-02,82.40,86.00,81.15,83.50,2549800,64.07
2005-04-01,99.00,99.00,80.00,82.15,4952800,63.04
2005-03-01,93.50,95.50,83.00,85.30,5468500,65.46
2005-02-01,87.00,95.50,85.30,93.00,14814800,71.36
2005-01-03,88.00,89.65,77.40,86.50,13217000,65.53
2004-12-01,79.50,89.10,78.70,87.25,13378500,66.10
2004-11-05,88.00,88.00,70.00,79.10,40623300,59.92
