Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,193.90,219.15,188.55,214.60,7193700,214.60
2016-02-01,227.80,227.80,187.75,194.10,5150400,193.3981
2016-01-01,239.90,244.80,205.95,226.25,4238300,225.4318
2015-12-01,234.55,243.80,211.25,241.75,3820400,240.8758
2015-11-02,246.95,256.60,221.25,234.15,2912100,233.3033
2015-10-01,229.35,267.75,228.00,246.95,3462600,241.6155
2015-09-01,242.80,243.35,217.70,229.35,4079200,224.3957
2015-08-03,272.90,284.70,223.00,239.30,5338500,233.6118
2015-07-01,309.00,317.10,263.45,272.70,3596300,266.2178
2015-06-01,329.00,329.90,297.30,309.60,3117400,302.2407
2015-05-01,304.00,343.20,304.00,329.85,4848800,322.0093
2015-04-01,307.00,332.90,303.10,304.00,3707900,296.7738
2015-03-02,328.80,329.60,298.80,306.35,4460100,299.0679
2015-02-02,355.00,373.80,312.65,324.75,4567200,312.9971
2015-01-01,340.25,358.00,328.10,351.35,4471100,338.6344
2014-12-01,378.20,382.00,329.10,341.35,4361500,328.9963
2014-11-03,406.00,412.50,375.00,379.40,4132500,360.3396
2014-10-01,409.85,429.00,388.65,405.15,4014000,384.796
2014-09-01,439.85,457.95,395.10,408.55,4355100,388.0251
2014-08-01,394.15,440.50,384.15,435.00,4867000,412.9145
2014-07-01,429.00,430.00,390.55,395.35,5408200,375.2776
2014-06-02,380.60,471.85,378.25,424.85,10082800,403.2798
2014-05-01,325.10,425.00,322.65,378.15,5715600,358.9508
2014-04-01,321.00,332.45,313.55,325.10,4391800,308.5942
2014-03-03,289.55,335.40,287.00,318.70,4803900,302.5192
2014-02-03,273.00,292.75,264.15,291.35,2748400,272.9446
2014-01-01,290.00,294.80,270.10,275.55,3045800,258.1427
2013-12-02,291.90,307.45,271.50,288.90,2863100,270.6494
2013-11-01,294.30,299.80,263.50,299.10,2584000,275.6122
2013-10-01,270.00,300.80,260.80,293.70,2846800,270.6363
2013-09-02,254.90,302.50,245.70,267.85,4131200,246.8162
2013-08-01,293.05,296.75,234.20,249.15,5253500,229.185
2013-07-01,332.45,339.25,265.45,290.70,3882300,267.4055
2013-06-03,327.25,353.05,296.10,331.10,5029300,304.5681
2013-05-01,326.70,345.20,317.45,327.90,3605300,301.6246
2013-04-01,312.25,336.50,295.65,326.70,3231900,300.5208
2013-03-01,312.90,330.00,289.25,311.40,3371100,286.4467
2013-02-01,338.55,342.50,300.25,313.45,4132600,284.4629
2013-01-01,269.10,355.00,266.00,339.70,6613700,308.2854
2012-12-03,265.00,271.00,255.10,268.00,3187100,243.216
2012-11-01,266.50,269.55,248.50,264.95,2885200,235.8444
2012-10-01,280.00,289.00,227.40,268.50,2340300,239.0044
2012-09-03,276.65,297.00,268.50,280.85,3747000,249.9978
2012-08-01,287.60,290.65,270.20,275.90,2332300,243.8553
2012-07-02,284.95,293.25,273.20,286.05,2706100,252.8264
2012-06-01,251.00,285.80,244.25,284.85,3047900,251.7658
2012-05-01,270.05,270.35,240.10,253.20,2482800,223.7918
2012-04-02,268.90,275.95,257.10,270.05,1920100,238.6847
2012-03-01,294.85,296.45,254.00,268.35,4126200,237.1822
2012-02-01,273.20,304.25,269.00,293.20,5295300,257.7224
2012-01-02,257.50,282.80,253.20,276.05,2352000,242.6475
2011-12-01,273.15,277.80,244.75,256.60,2061100,220.1654
2011-11-01,275.55,288.05,241.75,266.75,2749700,228.8741
2011-10-03,263.00,294.80,259.75,277.65,2958600,238.2265
2011-09-02,272.00,280.55,253.25,266.10,6119800,228.3165
2011-08-01,271.15,290.15,260.00,263.30,4219300,225.914
2011-07-01,290.90,290.90,268.40,269.25,3469600,230.394
2011-06-01,283.00,297.50,248.05,274.25,4705800,234.6725
2011-05-02,309.00,315.80,261.40,281.05,5691200,240.4911
2011-04-01,292.50,325.65,278.55,307.80,3542800,263.3808
2011-03-01,273.00,294.20,262.00,291.30,3350800,249.2619
2011-02-01,595.50,616.576,260.10,270.35,5073500,231.3353
2011-01-03,652.00,652.00,551.35,588.90,5204200,251.9574
2010-12-01,625.00,681.924,623.25,644.10,4011200,275.5743
2010-11-01,662.00,698.00,596.00,622.65,3045000,266.3971
2010-10-01,703.174,722.20,645.00,652.026,3949500,278.9655
2010-09-01,674.80,736.30,660.00,702.05,4845900,300.3679
2010-08-02,620.00,679.95,604.00,668.80,3806500,273.4763
2010-07-01,660.40,673.45,610.00,620.35,4286800,253.6648
2010-06-01,585.00,665.70,570.00,660.40,6526200,270.0415
2010-05-03,525.00,588.826,506.00,583.85,5955300,238.7397
2010-04-01,550.50,555.00,498.00,527.40,3389500,215.657
2010-03-02,560.05,569.30,522.576,549.35,3868800,224.6324
2010-02-01,543.00,577.50,532.50,558.80,2878700,228.4966
2010-01-01,591.00,623.376,537.50,548.20,3539400,224.1622
