Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,131.00,140.90,130.25,137.45,5733400,137.45
2016-02-01,147.90,150.35,129.20,130.05,5633400,130.05
2016-01-01,141.40,148.40,130.55,147.85,5209000,147.04
2015-12-01,136.10,142.75,126.75,141.15,2642900,140.38
2015-11-02,128.75,136.90,126.65,136.10,1582700,135.36
2015-10-01,133.00,137.55,126.20,128.75,1334500,128.05
2015-09-01,129.35,137.00,120.55,132.35,1880500,131.63
2015-08-03,141.05,142.90,125.15,130.65,1731200,128.56
2015-07-01,139.15,143.30,136.40,142.00,1209100,139.73
2015-06-01,146.65,148.20,137.65,139.10,2923100,136.87
2015-05-01,142.20,146.65,137.40,143.70,2756700,141.40
2015-04-01,145.10,156.00,140.40,142.20,1565300,139.92
2015-03-02,157.75,159.00,143.20,145.25,2377400,142.92
2015-02-02,147.25,157.75,140.00,157.10,2370500,153.90
2015-01-01,138.00,151.70,133.50,148.00,2636300,144.98
2014-12-01,141.95,142.90,129.55,138.00,2474800,135.19
2014-11-03,146.50,150.90,135.85,142.70,4866300,139.79
2014-10-01,136.00,146.35,132.50,145.80,4436500,142.83
2014-09-01,128.00,140.10,127.20,135.25,5113500,132.49
2014-08-01,133.00,137.90,127.45,129.20,5054700,125.32
2014-07-01,140.00,146.95,130.00,133.10,5998000,129.10
2014-06-02,122.30,142.60,122.20,139.20,10536600,135.02
2014-05-01,105.80,134.80,102.00,122.00,10919300,118.33
2014-04-01,105.50,109.60,104.35,105.80,4020400,102.62
2014-03-03,94.10,108.30,93.85,105.00,6373200,101.84
2014-02-03,95.15,98.00,93.25,94.50,5018200,90.43
2014-01-01,99.85,102.75,95.00,95.50,7321100,91.39
2013-12-02,92.10,101.85,92.10,99.90,27893300,95.60
2013-11-01,101.30,101.90,91.65,95.10,4909300,91.00
2013-10-01,98.25,103.60,96.55,101.30,3598600,96.94
2013-09-02,97.70,104.15,94.15,98.05,4225300,93.83
2013-08-01,100.80,103.95,86.55,97.65,6531500,92.34
2013-07-01,110.50,113.30,98.25,101.10,2670100,95.60
2013-06-03,113.35,113.85,102.05,111.30,3367800,105.25
2013-05-01,112.20,116.90,108.10,113.30,2743600,107.14
2013-04-01,105.25,113.15,102.80,112.20,2114700,106.10
2013-03-01,105.70,110.75,100.85,105.80,2569400,100.05
2013-02-01,110.15,115.35,102.05,104.30,5121600,98.63
2013-01-01,115.15,116.95,109.60,110.20,4560200,102.62
2012-12-03,118.15,121.25,112.30,114.75,2651900,106.86
2012-11-01,115.30,122.45,115.30,117.90,3238400,109.79
2012-10-01,120.05,121.00,95.20,114.00,2871100,106.16
2012-09-03,120.10,124.70,115.60,120.50,3896500,112.21
2012-08-01,118.50,123.00,116.20,119.45,2486600,110.06
2012-07-02,113.60,120.70,108.55,118.95,2806300,109.60
2012-06-01,105.50,114.60,102.10,113.55,3379100,104.62
2012-05-01,111.25,111.85,100.10,106.15,2060200,97.80
2012-04-02,108.10,115.35,107.25,111.25,2346000,102.50
2012-03-01,111.85,113.60,104.80,108.15,3156600,99.65
2012-02-01,104.40,115.20,102.65,113.00,5601600,104.11
2012-01-02,99.65,104.95,98.30,104.10,3961500,95.20
2011-12-01,100.00,104.55,94.90,100.10,2987400,91.54
2011-11-01,104.25,107.00,94.15,99.10,3416100,90.63
2011-10-03,97.95,108.00,95.50,104.85,2612200,95.89
2011-09-02,103.20,105.00,93.50,98.45,3565100,90.03
2011-08-01,105.10,108.70,96.60,100.20,4027600,90.45
2011-07-01,110.00,112.20,102.35,105.10,4272000,94.88
2011-06-01,100.55,111.50,99.00,109.50,5320600,98.85
2011-05-02,104.00,106.80,95.00,101.05,2545900,91.22
2011-04-01,101.35,107.25,101.35,104.55,3140300,94.38
