Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,72.00,87.50,72.00,84.70,8208300,84.70
2016-02-01,91.80,97.80,69.25,71.00,12777400,71.00
2016-01-01,116.00,117.90,86.50,91.30,7182300,91.30
2015-12-01,145.50,145.80,115.15,115.70,4647200,115.70
2015-11-02,128.55,146.25,127.10,144.75,3707800,144.75
2015-10-01,134.85,141.85,127.60,128.35,2617400,128.35
2015-09-01,143.00,143.70,123.60,133.25,4808000,133.25
2015-08-03,151.00,180.55,137.70,144.85,5931000,144.85
2015-07-01,138.85,155.00,132.15,151.00,5604400,151.00
2015-06-01,153.80,155.90,129.50,138.80,3955700,138.80
2015-05-01,159.75,168.30,141.70,153.65,6292500,149.86
2015-04-01,144.00,170.75,143.00,159.75,4498700,155.81
2015-03-02,167.70,180.00,142.60,144.40,4765400,140.84
2015-02-02,190.00,194.60,158.45,166.15,7015400,162.05
2015-01-01,218.25,222.00,188.00,189.65,5012900,184.97
2014-12-01,216.00,230.95,208.40,219.10,5579300,213.70
2014-11-03,926.00,1004.90,201.40,214.46,5730100,41.83
2014-10-01,887.30,976.00,866.40,930.85,4261900,181.58
2014-09-01,951.95,1009.85,837.25,887.30,5023500,173.08
2014-08-01,944.00,996.00,886.20,948.15,4079100,184.95
2014-07-01,995.65,1013.70,863.00,956.75,5174600,186.63
2014-06-02,948.00,1039.20,922.30,992.20,5312400,193.55
2014-05-01,783.40,1067.95,771.30,943.80,9372600,184.10
2014-04-01,749.00,816.65,720.20,783.40,7014400,152.82
2014-03-03,546.50,778.60,538.00,743.90,8596500,145.11
2014-02-03,547.55,569.40,524.00,552.20,5427100,107.72
2014-01-01,627.55,654.55,509.15,547.55,9177900,88.48
2013-12-02,552.00,644.90,549.20,626.45,6769500,101.23
2013-11-01,551.00,599.00,497.00,549.90,10970400,88.86
2013-10-01,464.25,549.70,457.10,544.40,9057800,87.97
2013-09-02,427.00,562.75,400.20,461.45,10085800,74.57
2013-08-01,580.00,581.95,421.00,429.85,6622300,69.46
2013-07-01,651.80,675.00,535.00,570.10,6147900,92.13
2013-06-03,764.80,783.65,633.10,650.85,3291900,105.18
2013-05-01,767.90,852.65,726.45,760.05,5497100,100.84
2013-04-01,722.00,796.40,682.05,767.90,2596100,101.88
2013-03-01,791.00,822.15,704.00,717.90,2710100,95.25
2013-02-01,912.00,916.00,775.00,790.45,3378300,104.87
2013-01-01,879.70,920.00,825.20,912.10,6407800,121.01
2012-12-03,787.00,875.40,777.05,871.30,3596600,115.60
2012-11-01,738.00,786.90,725.00,784.90,2017000,104.14
2012-10-01,842.00,844.50,716.95,738.40,3413600,97.97
2012-09-03,679.00,857.70,664.05,840.30,4403300,111.49
2012-08-01,728.25,759.45,659.20,676.55,3196000,89.76
2012-07-02,818.90,874.00,708.00,727.10,3315300,96.47
2012-06-01,759.70,818.00,713.15,808.30,3211500,107.24
2012-05-01,848.60,874.00,703.50,755.50,3289800,86.69
2012-04-02,931.80,941.90,827.10,850.15,1639800,97.55
2012-03-01,955.90,1035.00,898.45,925.00,2050800,106.14
2012-02-01,940.00,1091.05,888.20,953.30,2688600,109.39
2012-01-02,784.90,1017.00,756.55,941.15,2567600,108.00
2011-12-01,905.00,944.00,752.80,780.80,1786100,89.60
2011-11-01,976.25,1031.00,845.00,882.05,2831400,101.21
2011-10-03,935.00,1007.90,871.00,976.25,1598000,112.02
2011-09-02,931.00,1013.00,895.00,953.00,1857800,109.36
2011-08-01,1136.00,1144.85,900.60,929.00,1827700,106.60
2011-07-01,1094.00,1202.00,1082.00,1123.90,1232800,128.97
2011-06-01,1100.55,1108.25,1034.00,1089.25,913900,124.99
2011-05-02,1185.00,1185.00,1007.00,1099.60,1525900,113.36
2011-04-01,1215.00,1235.00,1173.00,1185.10,1124100,122.18
2011-03-01,1065.00,1230.00,1037.90,1212.70,1396900,125.02
2011-02-01,1111.00,1139.00,970.30,1062.00,1483200,109.48
2011-01-03,1235.00,1237.00,1065.45,1104.45,1398100,113.86
2010-12-01,1220.00,1289.00,1155.10,1222.00,1244200,125.98
2010-11-01,1303.00,1399.90,1126.25,1218.60,2025400,125.63
2010-10-01,1295.55,1360.00,1265.00,1290.80,1757400,133.07
2010-09-01,1190.00,1327.50,1176.25,1293.20,1378600,133.32
2010-08-02,1078.00,1225.50,1074.15,1180.25,1346500,121.68
2010-07-01,1045.00,1098.00,1005.30,1070.45,2346200,110.36
2010-06-01,995.00,1068.90,981.35,1048.95,1359600,102.03
2010-05-03,1000.00,1145.00,900.00,1002.50,1552700,97.51
2010-04-01,1014.20,1056.55,964.05,1039.50,1382900,101.11
2010-03-01,900.00,1018.00,900.00,1012.75,1294300,98.51
2010-02-01,917.05,921.95,845.00,901.00,1168400,87.64
2010-01-01,907.70,960.35,897.90,917.05,830900,84.33
2009-12-01,900.00,941.80,871.60,907.70,1560500,83.48
2009-11-02,853.00,999.70,828.50,899.60,3008200,82.73
2009-10-01,800.00,898.00,780.55,853.00,3042500,78.44
2009-09-01,685.00,814.90,670.25,809.15,2800700,74.41
2009-08-03,693.00,717.50,648.00,683.00,3139200,62.81
2009-07-01,652.25,752.00,599.10,690.00,5839000,63.45
2009-06-01,684.40,694.00,583.00,679.00,4416800,62.44
2009-05-01,477.00,725.00,477.00,670.10,7678300,52.26
2009-04-01,412.25,544.70,392.30,477.00,8378600,37.20
2009-03-02,338.00,449.85,286.00,411.75,12682200,32.11
2009-02-02,405.00,417.95,300.00,339.00,6799700,26.44
2009-01-01,528.10,547.70,375.25,401.00,5915300,31.27
2008-12-01,449.85,539.00,391.10,527.50,3838900,41.14
2008-11-03,442.40,512.00,411.55,444.00,4119100,34.63
2008-10-01,489.00,520.00,373.15,430.00,4337600,33.53
2008-09-01,476.10,530.00,443.00,477.00,4645300,37.20
2008-08-01,425.55,542.90,425.55,483.50,3685000,37.71
2008-07-01,380.00,518.00,330.10,451.95,3748000,35.25
2008-06-02,490.00,498.90,367.00,372.00,3461300,29.01
2008-05-01,548.95,574.80,481.25,483.00,3446700,37.67
2008-04-01,518.00,580.00,474.25,548.95,1880200,37.33
2008-03-03,589.00,589.00,443.25,506.00,3433000,34.41
2008-02-01,650.00,714.00,542.00,597.00,3262500,40.60
2008-01-01,667.00,720.00,487.00,646.70,3352300,43.98
2007-12-03,620.00,700.00,608.15,665.00,2648500,45.23
2007-11-01,524.95,632.50,508.00,599.10,4052800,40.75
2007-10-01,515.25,550.00,458.00,528.00,4128100,35.91
2007-09-03,490.00,545.40,472.20,544.00,2405100,37.00
2007-08-01,512.00,531.80,443.10,485.00,3463300,32.99
2007-07-02,550.00,594.00,486.40,515.10,4746400,35.03
2007-06-01,535.85,550.40,485.00,541.25,3067000,36.81
2007-05-01,499.50,569.50,476.25,535.85,3730500,36.44
2007-04-02,450.00,521.00,420.00,499.50,3303600,33.97
2007-03-01,428.00,494.95,380.35,474.20,3295600,32.25
2007-02-01,496.60,534.95,405.00,424.00,2631700,28.84
2007-01-01,507.00,544.80,480.00,507.15,2374800,34.49
2006-12-01,547.00,582.20,466.00,507.00,3003300,34.48
2006-11-01,522.90,565.80,501.00,545.00,3896000,37.07
2006-10-02,526.30,544.90,450.00,519.10,3085700,35.30
2006-09-01,472.70,533.00,456.00,526.30,3706600,35.79
2006-08-01,383.40,483.30,361.00,471.45,4431100,32.06
2006-07-03,327.00,386.60,301.10,380.25,2786500,25.86
2006-06-01,412.50,416.00,300.00,325.55,2062700,22.14
2006-05-02,436.40,493.30,400.00,414.85,3087100,28.21
2006-04-03,474.90,476.40,416.00,438.55,1965500,29.83
2006-03-01,440.00,489.80,402.90,470.40,2980800,31.99
2006-02-01,466.40,468.40,417.00,442.10,3027300,30.07
2006-01-02,467.00,495.45,442.10,465.35,3605200,31.65
2005-12-01,438.00,474.90,420.00,466.25,4403400,31.71
2005-11-01,422.05,450.50,394.00,436.60,3379900,29.69
2005-10-03,451.00,460.35,370.00,404.20,3622400,27.49
2005-09-01,400.80,452.90,398.10,450.60,4261000,30.65
2005-08-01,424.00,490.00,388.00,401.85,3585300,27.33
2005-07-01,403.90,436.40,384.55,424.20,5379800,28.85
2005-06-01,382.00,412.00,368.00,379.50,4123900,25.81
2005-05-02,350.00,392.00,337.50,382.05,4136700,25.98
2005-04-01,398.95,408.95,344.10,346.15,5846500,23.54
2005-03-01,454.00,519.95,385.20,393.35,13793700,26.75
2005-02-01,410.50,463.35,399.50,457.50,7049400,31.12
2005-01-03,410.50,449.40,348.50,411.05,9357600,27.96
2004-12-01,346.00,411.00,340.70,405.60,7780500,27.59
2004-11-01,246.50,356.70,242.50,348.85,6540000,23.73
2004-10-01,260.00,274.50,232.00,248.00,2427900,16.87
2004-09-01,223.95,281.50,223.95,259.80,6149700,17.67
2004-08-02,269.45,290.00,239.50,264.90,7407600,18.02
2004-07-01,279.00,291.70,220.00,267.70,12685800,18.21
2004-06-01,268.00,304.30,240.00,280.05,14924000,19.05
2004-05-03,365.80,382.40,212.40,261.05,10871300,17.75
2004-04-01,340.00,397.35,329.10,370.05,9561900,25.17
2004-03-01,245.45,353.80,243.10,334.35,12253400,22.74
2004-02-02,278.00,290.00,230.00,242.50,9541300,16.49
2004-01-01,242.00,310.10,227.00,258.90,12614500,17.61
2003-12-01,186.40,244.30,175.30,241.35,14859800,16.41
2003-11-03,204.85,208.45,156.95,184.45,15595500,12.54
2003-10-01,187.00,229.45,156.95,203.00,25855500,13.81
2003-09-01,173.40,187.80,154.20,186.20,14787400,12.66
2003-08-01,171.00,183.40,149.20,173.25,8738000,11.78
2003-07-01,157.90,184.60,148.00,170.35,17061300,11.59
2003-06-02,152.00,173.70,134.55,155.30,30317300,10.56
2003-05-02,117.00,195.95,116.70,179.05,39299300,12.18
2003-04-01,101.30,120.70,97.00,118.35,13078200,8.05
2003-03-03,85.15,107.50,81.25,101.75,18565500,6.92
2003-02-03,72.25,91.00,71.65,83.30,14328000,5.67
2003-01-01,72.00,85.25,59.75,71.45,12931100,4.86
2002-12-02,45.70,73.30,45.30,72.55,7013400,4.93
2002-11-01,41.00,44.85,40.75,44.50,918700,3.03
2002-10-01,44.70,44.70,40.00,41.55,272100,2.83
2002-09-02,46.60,46.60,42.50,44.50,681100,3.03
2002-08-12,37.25,47.25,37.25,45.65,741500,3.10
