Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,964.70,1052.25,964.65,1029.20,3341000,1029.20
2016-02-01,1039.95,1041.80,888.10,966.65,4236200,956.7162
2016-01-01,1009.80,1089.75,976.70,1035.40,5880100,1024.7598
2015-12-01,964.00,1019.70,912.85,1014.60,3068000,1004.1735
2015-11-02,949.00,992.50,909.95,965.85,2922300,955.9244
2015-10-01,873.95,974.80,858.60,947.70,2763100,937.961
2015-09-01,853.90,899.50,825.10,862.30,3463400,853.4385
2015-08-03,1001.00,1013.85,818.00,855.90,3831900,847.1044
2015-07-01,1001.00,1067.85,983.15,1001.85,3285900,991.5544
2015-06-01,880.00,1014.10,873.65,1000.10,4891900,989.8224
2015-05-01,862.35,915.40,857.20,877.00,3471200,867.9875
2015-04-01,824.90,944.30,813.10,862.35,4364100,843.6863
2015-03-02,869.00,909.65,796.45,826.00,3398400,808.123
2015-02-02,916.05,943.80,836.60,855.55,3185500,837.0335
2015-01-01,886.30,934.50,831.20,915.25,3770900,895.4414
2014-12-01,989.00,991.95,859.70,891.15,3012500,871.863
2014-11-03,1004.00,1017.35,963.40,991.60,2675700,970.139
2014-10-01,943.60,1003.70,911.55,1000.55,2857500,978.8953
2014-09-01,1004.35,1041.30,917.30,945.70,3344100,925.2324
2014-08-01,995.00,1023.00,971.00,998.70,2427600,977.0853
2014-07-01,1017.20,1043.30,958.50,1006.45,3348500,984.6676
2014-06-02,1074.75,1133.00,1000.00,1015.40,3769000,993.424
2014-05-01,935.80,1145.25,925.00,1064.70,4496500,1041.6569
2014-04-01,936.00,988.75,929.10,935.80,2837900,907.2899
2014-03-03,800.10,939.80,797.15,930.75,4764800,902.3937
2014-02-03,826.20,829.80,793.10,799.95,2313300,775.5787
2014-01-01,897.45,898.25,822.20,831.15,2927000,805.8281
2013-12-02,853.00,909.00,836.75,895.20,2282800,867.9268
2013-11-01,910.10,926.55,835.25,853.20,2273100,827.2064
2013-10-01,826.30,918.00,817.70,914.70,2907900,886.8327
2013-09-02,853.20,901.00,819.10,822.40,3467600,797.3447
2013-08-01,875.15,882.85,763.90,853.85,3536000,827.8365
2013-07-01,862.00,927.90,839.00,872.05,3464100,845.4821
2013-06-03,803.70,873.00,775.30,862.60,4446900,836.3199
2013-05-01,788.20,855.00,779.20,806.30,3261600,781.7352
2013-04-01,781.00,826.60,764.15,788.20,3308500,755.7798
2013-03-01,816.00,869.40,764.40,772.90,2876900,741.1091
2013-02-01,891.35,901.00,805.75,813.85,3051800,780.3747
2013-01-01,844.00,955.00,836.25,886.65,3758200,850.1804
2012-12-03,795.00,849.80,789.75,839.55,2433000,805.0176
2012-11-01,795.00,814.90,761.10,793.70,2642400,761.0536
2012-10-01,840.00,862.00,682.35,805.50,2958800,772.3682
2012-09-03,768.00,881.60,760.05,837.20,3932400,802.7643
2012-08-01,740.25,824.90,730.55,766.40,3240100,734.8765
2012-07-02,735.50,746.10,706.65,743.60,2394300,713.0142
2012-06-01,707.35,742.95,673.40,737.85,3362400,707.5007
2012-05-01,745.00,751.40,673.05,705.60,3688800,676.5773
2012-04-02,749.35,762.90,723.70,745.10,3044400,705.8538
2012-03-01,811.80,830.00,718.00,750.60,4543400,711.0641
2012-02-01,818.90,864.70,765.35,820.75,5185100,777.5192
2012-01-02,696.80,827.90,687.15,817.10,5254600,774.0614
2011-12-01,799.00,844.60,689.00,692.95,4695100,656.4507
2011-11-01,870.50,905.00,751.00,778.25,4225800,737.2578
2011-10-03,791.20,904.00,761.75,877.55,4041200,831.3274
2011-09-02,796.70,859.00,747.55,808.35,6347800,765.7723
2011-08-01,838.00,838.90,712.00,782.60,4587900,741.3786
2011-07-01,907.00,907.00,823.15,827.95,4256500,784.34
2011-06-01,952.00,967.00,828.10,898.50,4098800,851.1739
