Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,160.50,198.25,158.55,196.60,24225100,196.60
2016-02-01,181.95,181.95,148.25,158.75,33671300,158.75
2016-01-01,225.00,228.90,171.50,179.90,20389000,179.90
2015-12-01,250.85,251.90,224.00,224.45,10455100,224.45
2015-11-02,238.00,253.00,232.70,250.20,11346600,250.20
2015-10-01,241.20,257.15,234.40,237.05,10014800,237.05
2015-09-01,244.85,248.45,220.15,237.15,14575400,237.15
2015-08-03,270.00,291.80,240.00,247.35,21890100,247.35
2015-07-01,263.10,274.65,252.30,270.05,10211400,270.05
2015-06-01,278.65,282.00,248.85,262.75,15336300,262.75
2015-05-01,269.75,305.00,259.65,278.15,16100900,278.15
2015-04-01,266.65,294.90,263.15,269.75,13052800,266.3871
2015-03-02,305.90,315.00,255.20,267.05,16034000,263.7208
2015-02-02,309.50,313.15,275.70,299.90,20359000,296.1613
2015-01-01,312.45,336.00,295.15,308.95,15423700,305.0984
2014-12-01,322.80,326.95,287.00,311.85,13852400,307.9623
2014-11-03,270.60,322.50,269.425,321.40,22265400,317.3932
2014-10-01,2445.00,2679.00,264.60,270.28,12759700,26.6911
2014-09-01,2477.00,2644.00,2350.05,2445.7002,18296900,241.521
2014-08-01,2415.00,2577.3999,2350.0999,2460.7002,16577900,243.0023
2014-07-01,2699.00,2729.00,2366.3999,2439.25,17107800,240.8841
2014-06-02,2549.00,2761.50,2526.70,2686.25,20323400,265.2762
2014-05-01,2078.6001,2834.8999,2035.00,2542.25,29953900,251.0557
2014-04-01,1928.00,2124.9001,1867.50,2078.6001,18190800,193.4725
2014-03-03,1530.00,1938.80,1515.00,1917.7001,25293600,178.4963
2014-02-03,1525.00,1540.00,1455.10,1533.25,15489300,130.0616
2014-01-01,1772.00,1806.00,1510.05,1523.85,14526500,129.2642
2013-12-02,1827.00,1924.00,1712.50,1766.50,15916900,149.8476
2013-11-01,1793.00,1907.8999,1652.65,1819.4501,22852600,154.3392
2013-10-01,1622.35,1803.3999,1573.85,1796.75,19461700,152.4137
2013-09-02,1520.00,1844.50,1455.7001,1614.90,23772900,136.9878
2013-08-01,1717.95,1729.00,1452.7001,1518.9501,25904900,128.8486
2013-07-01,1963.00,2029.00,1690.00,1708.3999,22377500,144.9191
2013-06-03,2048.1001,2084.00,1892.1001,1953.80,22576400,165.7358
2013-05-01,2264.2998,2472.00,2042.05,2046.75,22712400,173.6205
2013-04-01,2085.00,2360.00,1976.10,2264.2998,16185800,155.2073
2013-03-01,2087.00,2273.80,2027.1001,2072.75,19535400,142.0774
2013-02-01,2431.00,2452.1001,2051.00,2080.8999,24458600,142.6361
2013-01-01,2404.9001,2551.70,2397.55,2438.00,18873900,167.1136
2012-12-03,2180.00,2408.1499,2173.50,2385.50,18897300,163.515
2012-11-01,2112.00,2269.3501,2041.00,2170.30,19763900,148.764
2012-10-01,2242.4001,2362.55,2010.30,2110.25,21746100,144.6479
2012-09-03,1850.00,2278.00,1827.00,2240.6001,27036700,153.5828
2012-08-01,2010.00,2088.95,1815.15,1837.35,28243200,125.9418
2012-07-02,2169.80,2252.55,1931.50,2005.10,25524700,137.4403
2012-06-01,2059.95,2244.00,1974.05,2159.00,33390200,147.9895
2012-05-01,2138.1001,2168.8999,1802.2999,2056.05,35610600,140.9327
2012-04-02,2100.00,2349.70,2090.05,2138.1001,21609500,120.3191
2012-03-01,2233.8499,2374.3999,2047.1499,2096.3499,27869400,117.9696
2012-02-01,2051.00,2475.00,1982.2999,2247.55,36055700,126.4782
2012-01-02,1629.00,2085.95,1611.40,2061.6001,24414300,116.0141
2011-12-01,1816.00,1959.85,1571.10,1619.05,31593100,91.1101
2011-11-01,1892.50,2017.50,1627.25,1762.45,39854500,99.1798
2011-10-03,1882.1499,1989.00,1710.00,1906.30,33766400,107.2748
2011-09-02,1991.00,2047.95,1808.50,1911.0499,31552000,107.5421
2011-08-01,2365.0999,2383.00,1866.6001,1973.80,22820400,111.0733
2011-07-01,2418.50,2529.70,2334.70,2344.80,13948900,131.9509
2011-06-01,2308.80,2433.00,2120.05,2404.6499,19264000,135.3188
2011-05-02,2810.00,2819.00,2165.00,2297.95,28255400,129.3144
2011-04-01,2765.30,2960.05,2705.1001,2804.5999,16520500,137.4373
2011-03-01,2657.00,2888.50,2520.45,2765.30,19236600,135.5114
2011-02-01,2652.6001,2814.75,2476.30,2630.4502,26133700,128.9032
2011-01-03,2832.70,2852.00,2463.1001,2642.3999,30289900,129.4888
2010-12-01,2999.00,3173.5999,2655.50,2811.8999,26612700,137.795
2010-11-01,3195.00,3515.00,2775.00,2992.20,28477800,146.6305
2010-10-01,3239.3999,3324.8499,3076.00,3150.6001,12023200,154.3928
2010-09-01,2775.00,3274.70,2737.25,3240.4502,19886700,158.7958
2010-08-02,2519.95,2884.80,2512.00,2766.4001,17936200,135.5654
2010-07-01,2291.1001,2522.00,2253.55,2502.8999,14250200,122.6527
2010-06-01,2251.1001,2630.1001,2202.1001,2302.00,14117100,112.8078
2010-05-03,2290.00,2349.00,2138.00,2268.80,18447700,101.4444
2010-04-01,2080.00,2318.8999,2012.00,2300.7002,18263900,102.8707
2010-03-02,1990.5499,2121.9502,1974.20,2078.2002,14606800,92.9221
2010-02-01,2148.00,2148.00,1863.10,1974.2999,21363400,88.2764
2010-01-01,2270.05,2315.00,1955.05,2056.6001,20261100,87.2355
2009-12-01,2246.00,2375.00,2125.25,2269.00,18203800,96.2449
2009-11-02,2181.20,2384.50,2057.4001,2239.55,25186400,94.9958
2009-10-01,2191.55,2499.00,2047.00,2191.05,29064700,92.9385
2009-09-01,1761.00,2219.00,1715.00,2194.95,19724900,93.104
2009-08-03,1820.00,1888.00,1670.00,1742.8999,17548600,73.9292
2009-07-01,1731.00,1839.90,1510.60,1811.6499,24128800,76.8454
2009-06-01,2039.70,2039.70,1598.9501,1745.30,25210000,74.031
2009-05-01,1291.15,1892.1499,1219.45,1868.85,31849100,66.2365
2009-04-01,1076.15,1355.00,1023.30,1291.15,30546900,45.7614
2009-03-02,1014.70,1134.00,891.50,1067.10,40130200,37.8206
2009-02-02,1139.00,1205.95,996.15,1025.30,24159500,36.3391
2009-01-01,1329.00,1388.70,1031.10,1151.00,27616000,40.7942
2008-12-01,1090.00,1324.00,995.55,1288.80,37364500,45.6782
2008-11-03,1164.00,1380.00,1021.25,1088.55,39457000,38.5808
2008-10-01,1484.7999,1589.7999,985.00,1109.70,34455700,39.3304
2008-09-01,1390.00,1620.00,1352.00,1463.3501,24304800,51.8646
2008-08-01,1391.7999,1639.00,1300.5499,1403.85,20196400,49.7558
2008-07-01,1115.00,1574.00,965.65,1417.25,16769500,50.2307
2008-06-02,1427.00,1498.00,1101.00,1111.6001,10823100,39.3978
2008-05-02,1799.95,1840.00,1435.3501,1445.00,10154400,51.2143
2008-04-01,1605.00,1821.00,1561.35,1774.6499,9248100,53.9844
2008-03-03,2001.00,2052.4001,1581.00,1600.25,13589600,48.6792
2008-02-01,2244.70,2339.70,1945.00,2111.6499,9633300,64.2358
2008-01-01,2245.5801,2428.6201,1726.64,2167.3501,11636400,65.9302
2007-12-03,2198.3999,2336.1599,2101.22,2237.23,8095700,68.056
2007-11-01,2044.61,2311.6299,1887.0399,2172.3599,17200200,66.0826
2007-10-01,1841.75,2052.1602,1509.63,1951.3901,20700700,59.3608
2007-09-03,1527.5599,1851.14,1490.76,1835.95,15669400,55.8491
2007-08-01,1519.0699,1636.8201,1327.53,1509.96,21988200,45.9326
2007-07-02,1443.59,1697.39,1387.0701,1532.14,16879900,46.6073
2007-06-01,128.696,1445.1899,127.941,1439.6201,20686100,43.7929
2007-05-03,1047.3101,1286.96,1009.57,1277.20,17822600,34.5251
2007-04-02,924.084,1099.96,863.322,1039.67,14235100,28.1042
2007-03-01,983.149,1013.72,847.376,938.284,15600900,25.3635
2007-02-01,1092.60,1160.53,916.63,983.007,14625300,26.5725
2007-01-02,1179.40,1209.8301,1068.0699,1076.0399,12003200,29.0873
2006-12-01,1240.73,1526.0499,1098.26,1175.25,12891300,31.7692
2006-11-01,1185.3501,1249.08,1027.49,1242.66,14143000,33.5914
2006-10-03,970.8831,1051.74,938.85,1033.77,10630000,27.9447
