Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,861.70001,877.09998,798.40002,846.20001,2597600,846.20001
2016-02-01,880.79999,898.45001,802.45001,853.90002,2800600,853.90002
2016-01-01,810.04999,878.00,764.00,872.95001,2950800,872.95001
2015-12-01,732.00,826.00,721.50,820.15002,4981900,820.15002
2015-11-02,875.04999,878.15002,704.00,729.65002,4723600,729.65002
2015-10-01,875.00,933.95001,873.25,889.54999,2038000,889.54999
2015-09-01,883.70001,920.79999,815.00,868.40002,3168900,865.51355
2015-08-03,822.00,966.00,820.00,898.95001,4953000,895.96198
2015-07-01,881.45001,957.00,795.25,822.40002,4355700,819.66644
2015-06-01,915.54999,917.79999,807.25,874.59998,4597800,871.69287
2015-05-01,938.84998,1010.00,920.04999,966.09998,4203400,962.88873
2015-04-01,1023.90002,1200.80005,912.25,938.84998,17538300,935.72931
2015-03-02,912.09998,1075.00,909.40002,1023.90002,2505300,1020.49664
2015-02-02,925.00,965.95001,860.20001,878.90002,1863400,875.97864
2015-01-01,826.50,939.95001,800.00,917.75,1797100,914.69946
2014-12-01,853.90002,856.50,798.34998,826.54999,1901400,823.80261
2014-11-03,848.00,932.50,832.29999,839.70001,2511300,836.90894
2014-10-01,860.00,868.79999,790.00,845.40002,1599900,842.58997
2014-09-01,861.00,878.40002,748.00,857.25,3315700,854.40057
2014-08-01,782.09998,875.45001,743.29999,855.25,1571300,850.91925
2014-07-01,686.54999,800.00,677.90002,790.95001,2083200,786.94489
2014-06-02,614.00,689.90002,593.00,687.95001,2435600,684.46643
2014-05-01,632.79999,641.40002,572.00,610.65002,3008000,607.55786
2014-04-01,575.00,643.95001,570.09998,632.79999,3059200,629.59564
2014-03-03,649.00,653.34998,552.54999,574.75,2835000,571.83966
2014-02-03,588.20001,647.90002,581.50,644.70001,1984500,641.43542
2014-01-01,568.25,617.70001,568.09998,588.70001,1958900,585.71899
2013-12-02,572.00,601.90002,553.54999,567.45001,1722400,564.5766
2013-11-01,605.04999,623.40002,562.59998,572.00,1594900,569.10358
2013-10-01,594.70001,651.90002,588.15002,608.79999,1610500,605.71722
2013-09-02,523.70001,601.90002,500.00,593.29999,1959700,590.29572
2013-08-01,573.00,576.90002,475.35001,521.20001,2219700,516.20068
2013-07-01,1011.54999,1132.50,560.00,565.29999,1990700,559.87769
2013-06-03,1034.00,1046.84998,915.70001,1011.54999,2740300,500.92365
2013-05-01,951.04999,1084.80005,928.15002,1044.09998,2548400,517.04254
2013-04-01,816.04999,985.70001,810.00,951.04999,1742200,470.96378
2013-03-01,802.15002,848.79999,785.65002,818.95001,1755500,405.54733
2013-02-01,718.04999,826.00,715.00,802.15002,2285100,397.22794
2013-01-01,739.09998,766.65002,694.00,718.00,1523700,355.55649
2012-12-03,707.54999,775.90002,692.90002,736.25,1494100,364.59396
2012-11-01,692.00,714.95001,656.00,709.84998,1308900,351.52057
2012-10-01,700.00,728.90002,580.00,694.15002,1809900,343.74588
2012-09-03,670.09998,699.79999,641.34998,695.54999,2168400,344.43915
2012-08-01,655.50,689.90002,646.40002,668.40002,1615800,330.99438
2012-07-02,636.00,657.00,605.75,653.59998,1451100,319.63141
2012-06-01,561.34998,644.79999,553.00,635.79999,1279600,310.92664
2012-05-01,603.09998,610.75,559.25,566.95001,1547400,277.25677
2012-04-02,565.09998,608.79999,554.50,603.09998,1076400,294.93527
2012-03-01,553.95001,594.00,535.90002,569.95001,2130600,278.72388
2012-02-01,553.95001,565.79999,532.75,550.40002,1995800,269.1633
2012-01-02,500.00,552.00,488.00,548.50,1692300,268.23413
2011-12-01,531.00,539.95001,489.00,497.64999,1582800,243.36685
2011-11-01,500.00,529.50,486.10001,525.50,1829300,256.98639
2011-10-03,455.25,603.00,448.50,504.45001,1769800,246.69228
2011-09-02,502.70001,510.79999,455.25,462.50,2815300,226.17737
2011-08-01,518.50,531.50,451.35001,491.60001,2080800,236.98499
2011-07-01,500.00,540.00,492.70001,518.20001,1389800,249.80801
2011-06-01,473.70001,506.25,464.70001,497.89999,1823800,240.02202
2011-05-02,467.39999,481.00,422.00,477.45001,2312700,230.16371
2011-04-01,442.29999,469.50,427.39999,465.75,1340700,224.5235
