Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,2193.00,2487.90,2162.00,2473.80,988600,2473.80
2016-02-01,2391.10,2440.00,2115.00,2176.80,871700,2176.80
2016-01-01,2439.00,2439.00,2243.00,2391.30,1181100,2391.30
2015-12-01,2362.90,2466.40,2315.25,2436.85,921000,2430.972
2015-11-02,2500.00,2547.80,2332.50,2364.70,873100,2358.996
2015-10-01,2599.00,2770.00,2455.85,2495.20,1390700,2489.181
2015-09-01,2556.00,2643.70,2490.00,2588.05,1083500,2576.187
2015-08-03,2503.40,2752.85,2486.00,2564.05,1338400,2552.297
2015-07-01,2563.90,2646.90,2455.00,2510.75,1074300,2499.242
2015-06-01,2609.45,2647.10,2476.80,2550.95,1027000,2533.811
2015-05-01,2463.70,2648.60,2453.70,2610.30,1267400,2568.881
2015-04-01,2558.00,2713.90,2401.00,2463.70,1399000,2424.607
2015-03-02,2679.70,2812.10,2501.00,2553.95,1134600,2513.425
2015-02-02,2482.00,2730.00,2433.00,2662.35,1332200,2620.105
2015-01-01,2567.00,2599.90,2407.45,2482.05,1364100,2442.666
2014-12-01,2650.50,2710.95,2345.00,2558.25,1003200,2512.629
2014-11-03,2649.00,2691.90,2551.00,2643.00,862500,2595.868
2014-10-01,2752.00,2839.70,2415.00,2607.85,1201900,2561.345
2014-09-01,2525.40,2782.45,2514.10,2736.60,949000,2682.377
2014-08-01,2575.00,2587.95,2430.00,2522.35,890400,2472.372
2014-07-01,2418.90,2614.35,2335.00,2580.05,869600,2528.929
2014-06-02,2144.00,2435.00,2056.00,2425.40,1174800,2372.781
2014-05-01,2189.20,2253.40,1999.50,2141.35,1474300,2074.982
2014-04-01,2145.00,2264.00,2100.00,2189.20,1195500,2121.348
2014-03-03,2271.80,2299.00,2011.40,2133.15,1590000,2067.036
2014-02-03,2222.00,2280.00,2085.10,2275.75,1241400,2205.216
2014-01-01,2180.10,2384.80,2147.25,2241.05,1484900,2171.592
2013-12-02,1995.00,2184.95,1983.05,2172.05,952600,2100.986
2013-11-01,2110.00,2148.15,1970.00,2004.35,911400,1938.773
2013-10-01,1932.00,2258.85,1916.70,2112.05,1422600,2042.949
2013-09-02,2020.00,2078.80,1894.05,1927.80,1511200,1861.014
2013-08-01,1810.05,2050.00,1695.20,2033.20,1502600,1962.762
2013-07-01,1512.00,1831.50,1465.00,1815.50,1304600,1752.604
2013-06-03,1504.00,1544.70,1380.70,1518.15,1560400,1462.252
2013-05-01,1378.40,1527.50,1373.50,1498.45,1174600,1430.495
2013-04-01,1565.00,1575.00,1365.00,1378.40,1619800,1315.889
2013-03-01,1515.10,1597.60,1491.00,1575.75,1272300,1504.289
2013-02-01,1344.00,1525.00,1342.15,1517.00,1446900,1448.203
2013-01-01,1266.95,1400.00,1255.30,1344.15,1676400,1283.192
2012-12-03,1315.00,1322.00,1197.00,1255.85,1241600,1196.167
2012-11-01,1314.90,1348.00,1256.05,1314.00,710000,1251.553
2012-10-01,1295.00,1334.90,1055.00,1315.50,823600,1252.982
2012-09-03,1350.00,1439.80,1261.10,1295.90,1583400,1231.49
2012-08-01,1238.10,1388.80,1218.10,1343.75,808400,1276.962
2012-07-02,1279.00,1284.00,1175.20,1243.65,1498000,1181.837
2012-06-01,1240.00,1287.00,1196.20,1277.45,1002400,1210.979
2012-05-01,1250.00,1295.25,1194.10,1245.35,1644100,1173.001
2012-04-02,1170.00,1250.00,1047.65,1246.60,1955200,1174.178
2012-03-01,1223.00,1227.00,1111.80,1168.80,1473900,1100.898
2012-02-01,1129.40,1280.85,1108.25,1221.95,1426200,1150.96
2012-01-02,1161.00,1209.90,1045.30,1132.40,1976900,1066.613
2011-12-01,1140.00,1196.90,1114.40,1160.65,1251400,1090.209
2011-11-01,1108.00,1156.00,1041.00,1115.55,1314700,1047.846
2011-10-03,1020.00,1154.00,1015.30,1115.80,2185400,1048.081
2011-09-02,1073.00,1074.75,969.00,1037.30,2057500,971.638
2011-08-01,1142.40,1149.90,902.00,1045.00,2306300,978.851
2011-07-01,1198.00,1205.00,1112.10,1137.00,1607000,1065.027
2011-06-01,1157.00,1205.00,1058.00,1184.20,1535900,1106.339
2011-05-02,1170.00,1183.40,1108.10,1157.15,1019700,1073.734
2011-04-01,1185.00,1246.95,1140.00,1165.65,1818900,1081.621
2011-03-01,1113.00,1198.00,1057.25,1183.90,1719300,1098.555
2011-02-01,1165.00,1198.90,1055.90,1110.25,1868100,1030.214
2011-01-03,1167.00,1220.00,1087.80,1159.50,1848700,1075.914
2010-12-01,1064.00,1180.00,1048.40,1165.65,1265900,1079.815
2010-11-01,1052.05,1108.00,998.95,1076.00,1296700,996.767
2010-10-01,927.00,1072.95,869.00,1052.90,1824000,973.515
2010-09-01,842.00,960.00,835.10,926.95,1783000,857.061
2010-08-02,843.00,885.00,828.55,843.75,1308700,780.134
2010-07-01,750.00,859.80,725.75,839.80,1822500,776.482
2010-06-01,743.05,794.00,730.00,751.00,1310500,692.752
2010-05-03,761.25,843.00,685.25,743.05,1597900,681.908
2010-04-01,786.35,834.90,755.60,765.40,2205800,702.419
2010-03-01,760.20,845.90,755.00,780.65,1780800,716.414
2010-02-01,781.30,781.30,708.15,761.80,1087100,699.115
2010-01-01,748.80,829.00,696.50,781.30,1780800,717.011
2009-12-01,703.40,757.00,677.05,748.80,1576300,685.426
2009-11-02,631.20,711.65,601.00,689.00,1939700,630.687
2009-10-01,618.00,657.90,556.65,631.20,2677700,577.779
2009-09-01,535.00,622.80,519.10,619.80,2864600,565.577
2009-08-03,530.00,566.00,494.00,530.75,3527700,484.317
2009-07-01,387.10,545.00,368.25,524.70,4136500,478.797
2009-06-01,673.35,805.00,358.00,390.50,3428500,354.866
2009-05-01,622.10,791.60,605.30,697.35,5457100,314.822
2009-04-01,536.00,629.00,520.50,622.10,2955800,280.85
2009-03-02,474.10,585.00,439.35,535.00,2861700,241.528
2009-02-02,508.80,528.00,455.25,484.05,2283700,218.526
2009-01-01,480.00,557.60,464.60,510.00,3322400,230.242
2008-12-01,559.40,593.75,460.00,476.85,2968600,212.684
2008-11-03,559.95,596.60,460.00,562.00,3683000,250.662
2008-10-01,669.60,684.90,415.35,537.00,3955200,239.512
2008-09-01,815.00,874.40,590.00,657.00,2633100,289.819
2008-08-01,825.00,869.95,782.65,811.50,1520600,357.973
2008-07-01,865.00,943.00,715.90,829.90,2756300,366.09
2008-06-02,1015.00,1057.40,823.40,861.50,2806900,377.322
2008-05-01,920.15,1049.00,872.60,1033.00,3280400,447.523
2008-04-01,820.00,1035.00,720.00,920.15,2879200,398.633
2008-03-03,866.00,940.00,750.00,799.00,1443100,346.148
2008-02-01,885.00,989.00,850.00,868.00,1655000,376.04
2008-01-01,1077.00,1077.00,725.00,885.00,1923300,383.405
2007-12-03,1016.00,1120.00,1003.30,1059.00,1619800,455.347
2007-11-01,1055.00,1055.00,926.65,1006.20,1754200,432.644
2007-10-01,1061.00,1150.00,1000.00,1041.00,4340400,447.607
2007-09-03,1070.00,1094.45,978.00,1054.10,2181300,450.785
2007-08-01,1140.00,1188.85,996.00,1057.00,1803100,452.025
2007-07-02,1153.00,1261.50,1100.00,1156.30,2211500,494.491
2007-06-01,1208.35,1250.00,1117.85,1149.35,1559500,489.039
2007-05-02,1266.00,1329.90,1200.00,1208.35,2171100,510.728
2007-04-02,1210.00,1315.00,1172.00,1266.00,2712700,535.095
2007-03-01,1200.00,1335.00,1150.00,1233.85,2171500,521.506
2007-02-01,1289.95,1323.80,1172.00,1193.40,2119800,504.409
2007-01-01,1222.00,1388.95,1198.90,1277.90,2024800,540.125
2006-12-01,1200.00,1234.45,1080.35,1222.00,1390100,514.11
2006-11-01,1097.00,1205.00,1051.15,1198.80,1816000,504.35
2006-10-02,1022.05,1169.75,980.55,1087.10,1989200,457.356
2006-09-01,996.00,1057.90,949.00,1022.05,1435800,427.621
2006-08-01,863.00,1004.00,863.00,998.05,1359900,417.58
2006-07-03,1742.00,1950.00,924.00,936.15,2874200,391.681
2006-06-01,1825.00,1825.00,375.25,1738.752,3686600,362.594
2006-05-02,1984.00,2092.00,432.50,445.725,2745600,91.871
2006-04-03,1927.00,2088.00,440.75,494.515,5810400,101.928
2006-03-01,1700.00,2010.00,466.75,1915.50,2501300,394.815
2006-02-01,1656.00,1704.00,412.775,1700.80,1977700,350.562
2006-01-02,1708.00,1749.90,402.50,1670.40,2400900,344.296
2005-12-01,1520.00,1753.00,1518.752,1702.848,2187800,348.39
2005-11-01,362.175,1552.50,350.00,1521.10,2539700,311.206
2005-10-03,1455.40,1504.90,1355.00,1401.248,3374000,286.685
2005-09-01,1409.848,1638.00,350.00,1482.348,3286100,300.74
2005-08-01,1267.00,1415.348,328.25,1404.848,3156900,285.017
2005-07-01,337.50,1479.00,318.075,1268.80,3903000,255.037
2005-06-01,1330.00,1365.00,315.05,1358.10,3679200,268.852
2005-05-02,1150.00,1342.90,280.75,1334.248,4297600,264.13
2005-04-01,1433.00,1457.00,340.025,1131.10,5234100,223.914
2005-03-01,1381.00,1475.00,347.565,1432.052,3038000,283.491
2005-02-01,1307.00,1418.00,1287.00,1380.90,2720600,273.365
2005-01-03,1335.448,1367.948,303.84,1300.40,4924500,254.676
2004-12-01,1281.00,1338.80,306.315,1335.448,4142500,261.54
2004-11-01,1150.00,1286.00,302.775,1274.652,3876200,249.633
2004-10-01,1029.00,1174.80,273.75,289.065,9708100,56.612
2004-09-01,990.00,1100.00,244.00,1027.10,6578600,199.034
2004-08-25,1198.70,1198.70,958.548,988.10,13808000,191.477
