Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,301.10,381.50,301.10,377.00,8703100,377.00
2016-02-01,338.75,344.70,265.80,299.70,12565500,299.70
2016-01-01,392.50,403.00,323.00,336.90,9256500,336.90
2015-12-01,427.00,427.00,360.50,391.30,6940900,391.30
2015-11-02,386.10,431.90,373.05,423.25,8805100,423.25
2015-10-01,301.45,396.80,291.50,384.95,10471400,384.95
2015-09-01,334.95,358.90,279.10,298.60,8612100,298.60
2015-08-03,386.35,396.00,301.60,340.15,9886200,340.15
2015-07-01,436.75,447.40,366.10,383.85,8440100,383.85
2015-06-01,482.90,482.90,417.25,434.15,7782600,434.15
2015-05-01,508.25,530.95,463.55,481.65,6131000,481.65
2015-04-01,543.273,573.50,506.75,508.25,4162500,508.25
2015-03-02,591.06,594.622,512.651,544.361,4599300,544.361
2015-02-02,581.562,605.901,535.556,569.046,4971500,569.046
2015-01-01,489.252,601.251,484.009,578.94,5618600,578.94
2014-12-01,534.121,534.121,463.677,490.291,4017700,490.291
2014-11-03,524.969,544.856,506.072,527.838,4409300,527.838
2014-10-01,495.881,532.785,463.034,530.163,3919100,530.163
2014-09-01,520.418,536.842,486.185,496.821,6644600,496.821
2014-08-01,440.08,526.008,425.833,519.478,5961000,519.478
2014-07-01,428.207,483.019,428.207,442.009,5885600,442.009
2014-06-02,410.596,450.567,406.193,426.723,5570900,424.8877
2014-05-01,410.349,460.065,402.73,410.645,6074900,408.8788
2014-04-01,400.85,433.154,395.26,410.349,4071500,408.5841
2014-03-03,410.596,416.235,374.731,394.419,5256600,392.7226
2014-02-03,343.318,413.762,328.576,412.525,7834900,410.7507
2014-01-01,373.543,384.872,341.833,345.841,5342700,344.3535
2013-12-02,393.776,399.564,355.19,372.406,6316400,370.8043
2013-11-01,379.925,400.752,354.30,394.469,6862200,392.7724
2013-10-01,329.367,389.126,326.795,377.105,7525400,375.4831
2013-09-02,292.859,351.084,288.951,328.971,7348900,327.5561
2013-08-01,288.407,320.957,268.916,296.074,9661700,294.8006
2013-07-01,275.05,300.032,274.06,287.417,6978200,286.1808
2013-06-03,306.463,314.427,260.308,278.315,9252800,275.2239
2013-05-01,296.816,316.109,279.848,309.975,7599400,306.5323
2013-04-01,264.117,297.806,249.128,296.816,8151500,293.5194
2013-03-01,287.912,308.145,262.287,266.294,9260300,263.3364
2013-02-01,294.64,308.689,265.403,284.498,9478600,281.3382
2013-01-01,312.647,333.819,278.809,294.838,10128400,291.5634
2012-12-03,270.103,310.668,266.442,309.332,9553500,305.8964
2012-11-01,254.273,282.47,253.283,270.548,14772100,267.5432
2012-10-01,265.156,280.689,217.121,252.047,7252600,249.2476
2012-09-03,233.693,286.23,222.662,264.711,11018600,261.771
2012-08-01,222.167,247.248,213.856,231.814,9696300,229.2393
2012-07-02,237.206,245.764,200.895,223.849,10182800,221.3628
2012-06-01,232.506,249.227,214.945,239.877,14554600,232.9674
2012-05-01,313.191,313.191,227.856,230.527,14108500,223.8867
2012-04-02,276.93,317.346,270.795,313.191,8092300,304.1696
2012-03-01,267.036,294.689,259.615,272.329,11651300,264.4847
2012-02-01,241.262,289.594,238.096,268.075,16628400,260.3532
2012-01-02,179.03,242.944,176.903,241.163,16634300,234.2164
2011-12-01,179.079,193.673,165.722,176.804,13322400,171.7112
2011-11-01,193.03,200.302,158.45,170.966,18056200,166.0414
2011-10-03,152.366,205.793,143.214,196.344,16443300,190.6884
2011-09-02,749.955,784.585,136.09,154.394,15623700,149.9467
2011-08-01,944.8651,956.69,686.24,734.425,17365700,142.654
2011-07-01,999.28,1070.025,930.025,938.04,10028600,182.204
2011-06-01,1084.37,1085.36,915.73,983.65,13018500,172.0336
2011-05-02,1228.325,1230.80,1061.465,1083.675,12348000,189.5273
2011-04-01,1227.83,1289.865,1175.74,1223.725,6855400,214.0211
2011-03-01,1087.335,1247.52,1085.505,1235.10,11257500,216.0105
2011-02-01,1139.23,1244.55,1027.63,1071.26,20717200,187.356
2011-01-03,1313.6099,1320.835,1100.30,1134.875,15233700,198.4818
