Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,57.65,63.40,57.15,62.65,4167100,62.65
2016-02-01,61.00,61.90,55.00,57.30,4090400,57.30
2016-01-01,68.10,70.70,59.75,60.10,3252400,60.10
2015-12-01,68.00,69.00,61.00,67.90,2379900,67.90
2015-11-02,68.70,69.80,65.65,66.80,2857100,66.80
2015-10-01,65.30,72.50,64.00,68.85,3523200,68.85
2015-09-01,60.30,67.00,55.30,64.95,3299700,64.95
2015-08-03,69.20,70.95,55.20,60.55,4164600,60.55
2015-07-01,74.15,76.85,66.00,68.45,2776100,68.45
2015-06-01,75.05,76.35,68.35,74.15,3495200,72.87997
2015-05-01,75.80,79.60,70.55,74.55,3976700,73.27312
2015-04-01,77.05,82.35,74.40,75.80,2573100,74.50172
2015-03-02,86.50,88.30,73.55,77.10,3451300,75.77944
2015-02-02,91.20,92.45,77.95,87.30,4690000,85.80475
2015-01-01,82.20,91.55,78.00,90.50,3330200,88.94994
2014-12-01,92.50,93.25,76.55,82.15,3019100,80.74295
2014-11-03,93.50,94.90,85.35,93.00,3720100,91.40711
2014-10-01,83.05,94.50,80.05,93.85,3509300,92.24255
2014-09-01,86.90,91.35,81.95,83.05,4718600,81.62754
2014-08-01,97.00,97.95,86.20,86.60,4371700,85.11673
2014-07-01,108.00,112.20,97.30,97.75,5410500,96.07576
2014-06-02,105.00,115.60,98.60,107.80,8181300,104.68502
2014-05-01,78.10,109.30,75.65,103.80,10367800,100.80061
2014-04-01,85.45,87.90,77.35,78.10,3917800,75.84323
2014-03-03,76.0434,87.90,74.4028,85.15,5556700,82.68951
2014-02-03,72.6658,81.3992,68.9022,76.0434,3834800,73.84606
2014-01-01,87.4305,88.7333,68.9022,71.363,3938600,69.3009
2013-12-02,77.4426,89.3606,76.3329,88.1543,4837000,85.60699
2013-11-01,78.6489,82.7985,73.8721,76.7189,2264300,74.50204
2013-10-01,78.1664,82.9915,74.7888,79.2762,2885600,76.98544
