Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,250.00,317.90,246.55,317.20,7991700,317.20
2016-02-01,248.90,263.65,211.15,249.10,9288300,249.10
2016-01-01,259.00,276.40,225.20,249.70,6978900,249.70
2015-12-01,230.80,266.40,224.90,259.80,6412400,259.80
2015-11-02,246.50,246.60,212.65,229.60,4788100,229.60
2015-10-01,215.00,261.95,210.25,246.60,6153700,246.60
2015-09-01,222.00,243.85,199.70,212.60,7076500,212.60
2015-08-03,246.90,268.50,200.10,225.40,8742700,225.40
2015-07-01,305.00,310.45,245.00,246.90,5390700,246.90
2015-06-01,329.95,333.10,287.40,304.60,3893600,295.9096
2015-05-01,360.35,384.50,322.15,328.50,4596100,319.1277
2015-04-01,317.00,379.30,316.00,360.35,5107300,350.069
2015-03-02,357.40,359.20,311.20,316.75,4308900,307.7129
2015-02-02,389.90,394.80,344.25,350.65,4420400,340.6457
2015-01-01,397.10,421.45,372.10,390.45,4399300,379.3102
2014-12-01,475.00,475.00,387.00,399.40,4153800,388.0049
2014-11-03,492.00,494.90,458.50,473.35,4201800,459.845
2014-10-01,455.50,493.50,435.60,490.00,4301400,476.02
2014-09-01,516.85,530.70,451.65,459.05,4773000,445.953
2014-08-01,548.00,568.80,509.75,513.15,4728400,498.5095
2014-07-01,530.00,574.35,492.25,553.40,5141100,537.6111
2014-06-02,475.80,579.90,471.45,528.40,5799600,503.0968
2014-05-01,400.65,495.00,388.10,475.10,7003900,452.3491
2014-04-01,396.00,432.90,386.50,400.65,4480600,381.4643
2014-03-03,344.00,396.35,332.00,393.95,6267100,375.0851
2014-02-03,354.90,393.20,336.05,343.80,6038700,327.3366
2014-01-01,425.00,435.50,341.20,356.05,3950500,339.00
2013-12-02,400.10,431.95,396.00,424.20,3978900,403.8866
2013-11-01,335.00,405.40,331.65,400.60,6413200,381.4167
2013-10-01,274.25,343.90,268.85,334.90,6148800,318.8628
2013-09-02,275.05,318.80,266.15,271.55,6850400,258.5464
2013-08-01,217.25,289.60,195.30,274.00,9393800,260.8791
2013-07-01,272.10,286.30,202.35,215.70,4657300,205.3709
2013-06-03,293.50,302.40,261.35,273.75,5098200,252.7023
2013-05-01,302.75,326.80,290.10,291.75,4990000,269.3183
2013-04-01,314.70,325.30,292.50,302.75,4293000,279.4725
2013-03-01,341.80,362.85,300.70,312.85,3655100,288.796
2013-02-01,406.60,411.70,338.00,341.50,4335700,315.2432
2013-01-01,431.90,448.00,397.10,404.90,3684600,373.7686
2012-12-03,388.00,436.85,386.70,428.50,3924300,395.554
2012-11-01,393.00,408.75,359.10,386.20,2942000,356.5063
2012-10-01,401.90,426.50,339.00,392.20,3675400,362.045
2012-09-03,364.15,415.15,347.25,400.90,4895100,370.0761
2012-08-01,415.00,416.80,358.10,361.40,4048200,333.6131
2012-07-02,444.00,455.60,382.00,414.45,3665000,382.5843
2012-06-01,404.00,444.00,389.10,441.45,3647300,396.0023
2012-05-01,463.65,469.40,388.70,403.65,4013600,362.0938
2012-04-02,470.85,482.25,443.60,463.65,3155600,415.9167
2012-03-01,471.85,475.80,415.95,471.75,5064100,423.1828
2012-02-01,452.00,500.95,432.60,472.55,7271200,423.9005
2012-01-02,337.90,462.60,332.10,450.80,6034700,404.3896
2011-12-01,401.40,422.85,334.00,335.35,5249100,300.8253
2011-11-01,477.00,480.50,367.00,385.20,5350900,345.5432
2011-10-03,408.75,491.65,390.30,482.80,4304800,433.0952
2011-09-02,470.00,503.50,414.15,415.35,4829800,372.5893
2011-08-01,570.75,575.95,418.30,468.55,5045000,420.3123
2011-07-01,616.70,616.70,562.40,564.00,2673400,505.9356
2011-06-01,592.00,612.45,548.50,610.25,3269100,536.5174
2011-05-02,616.00,619.00,553.55,589.00,3187900,517.8349
2011-04-01,623.00,642.00,605.05,616.50,2601600,542.0123
2011-03-01,611.15,635.80,575.00,622.25,4732100,547.0676
2011-02-01,637.45,737.00,575.10,607.15,7386600,533.792
2011-01-03,685.20,713.90,613.20,639.70,6301900,562.4092
2010-12-01,587.90,684.30,587.00,680.40,5360600,598.1917
2010-11-01,600.25,648.40,574.10,584.80,6224100,514.1424
2010-10-01,653.50,685.00,581.00,589.40,6908500,518.1866
2010-09-01,526.00,664.70,525.70,651.85,8074500,573.0911
2010-08-02,450.00,553.30,450.00,522.70,6353700,459.5455
2010-07-01,483.70,548.90,460.00,537.00,6313200,472.1177
2010-06-01,500.00,508.00,449.10,485.65,8069100,420.0847
2010-05-03,610.00,629.85,473.55,500.70,10107200,433.1029
2010-04-01,636.00,739.00,615.00,618.85,5298500,535.302
2010-03-02,581.15,650.85,536.00,632.05,4475500,546.7199
