Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,417.00,498.40,416.00,479.90,2289400,479.90
2016-02-01,504.95,518.40,407.40,415.55,1874700,415.55
2016-01-01,524.90,529.95,492.95,501.40,1580900,501.40
2015-12-01,533.00,548.00,512.40,521.65,1007700,521.65
2015-11-02,541.00,568.50,508.00,533.45,1422500,533.45
2015-10-01,558.70,578.85,534.10,539.15,1335500,539.15
2015-09-01,510.00,582.00,506.10,557.35,1443500,557.35
2015-08-03,529.00,575.75,492.70,515.00,2225600,515.00
2015-07-01,476.65,532.80,458.50,530.70,3130800,530.70
2015-06-01,559.00,564.30,467.10,477.80,3839700,472.1805
2015-05-01,621.35,669.00,541.00,554.40,3876400,547.8796
2015-04-01,630.50,680.60,565.10,621.35,2581700,614.0421
2015-03-02,1439.40,1471.876,618.65,629.70,3951400,622.2939
2015-02-02,1486.00,1497.55,1370.00,1417.876,2555100,700.60
2015-01-01,1294.50,1495.75,1256.60,1434.25,2321600,708.6907
2014-12-01,1322.526,1352.50,1230.70,1296.776,1573000,640.7621
2014-11-03,1259.00,1367.00,1256.65,1320.026,1982600,652.2504
2014-10-01,1235.026,1271.75,1083.00,1258.85,3050400,622.0222
2014-09-01,1172.526,1265.00,1172.526,1244.85,1688400,615.1045
2014-08-01,1020.00,1188.75,1015.076,1181.50,2183800,583.8021
2014-07-01,1075.00,1099.25,1000.00,1075.30,2658200,531.3266
2014-06-02,965.624,1080.85,934.05,1076.00,3296500,512.1494
2014-05-01,916.076,969.50,863.326,961.50,4332900,457.6503
2014-04-01,903.00,929.50,838.174,916.076,3044500,436.0295
2014-03-03,935.00,968.45,865.50,897.674,3657100,427.2707
2014-02-03,898.50,945.474,848.20,933.624,4535200,444.382
2014-01-01,922.50,953.05,851.80,893.474,2671300,425.2715
2013-12-02,844.776,937.75,831.00,918.924,2948600,437.3851
2013-11-01,775.75,881.376,758.05,848.776,6102100,403.9964
2013-10-01,670.00,797.25,658.00,775.526,4016600,369.1312
2013-09-02,690.00,717.50,628.724,667.876,4437700,317.8925
2013-08-01,624.30,714.00,600.25,687.50,4770500,322.2519
2013-07-01,528.00,631.00,482.50,623.15,5041600,292.0891
2013-06-03,481.25,549.00,454.55,529.90,2633300,244.4016
2013-05-01,476.624,509.00,447.524,483.75,1896400,223.1161
2013-04-01,528.124,536.974,453.40,476.624,1329400,219.8295
2013-03-01,526.00,561.55,507.624,529.75,1846700,244.3324
2013-02-01,499.476,535.00,479.00,525.526,2187000,242.3842
2013-01-01,469.326,515.80,456.25,499.476,2071600,230.3693
2012-12-03,441.076,483.45,432.75,466.124,2747300,214.9866
2012-11-01,473.50,497.50,433.55,440.05,1294600,202.9607
2012-10-01,487.774,521.474,449.45,474.226,1958900,218.7235
2012-09-03,401.40,490.00,401.00,486.024,3884500,224.1649
2012-08-01,355.50,443.20,355.50,399.30,3098100,184.1659
2012-07-02,355.00,374.25,345.10,356.55,467700,160.8342
2012-06-01,335.45,399.00,319.274,354.15,499400,159.7516
2012-05-01,350.876,356.00,300.00,336.774,880200,151.9135
2012-04-02,358.976,365.75,340.024,350.876,325000,158.2747
2012-03-01,299.00,374.50,295.05,360.376,1754200,162.56
2012-02-01,327.624,345.90,292.50,300.25,658600,135.4381
2012-01-02,289.00,328.00,282.524,326.00,490000,147.0536
2011-12-01,289.50,309.376,264.00,286.85,513300,129.3936
2011-11-01,290.10,317.00,275.00,282.674,814300,127.5099
2011-10-03,278.124,307.50,264.85,292.75,674000,132.055
2011-09-02,333.274,349.80,277.774,287.076,991600,129.4955
2011-08-01,388.024,393.124,301.00,324.40,871300,146.3318
2011-07-01,364.024,399.00,357.174,387.976,900800,171.388
2011-06-01,339.924,397.50,327.40,361.624,812900,159.747
2011-05-02,343.00,348.226,318.30,338.90,866900,149.7087
2011-04-01,336.00,380.50,335.50,343.20,1100600,151.6083
2011-03-01,325.00,379.50,321.024,338.076,1569300,149.3447
2011-02-01,325.50,351.30,238.426,322.624,976000,142.5188
2011-01-03,355.25,376.00,317.624,325.476,732400,143.7787
2010-12-01,327.50,356.00,311.576,351.20,629100,155.1422
2010-11-01,367.50,381.376,299.10,319.65,605500,141.2051
2010-10-01,378.00,400.85,346.45,364.624,1077100,161.0723
2010-09-01,319.124,425.50,316.25,376.00,3476300,166.0976
2010-08-02,352.50,370.976,317.45,319.124,744100,140.9727
2010-07-01,364.00,391.00,348.85,350.10,1059400,154.6563
2010-06-01,318.00,381.00,316.076,367.10,2090900,159.1719
2010-05-03,385.05,394.00,308.274,318.10,1154200,137.9258
2010-04-01,427.00,435.00,381.00,387.10,2248100,167.8437
2010-03-02,450.50,479.00,424.50,426.55,1418400,184.9489
2010-02-01,482.50,498.90,441.124,445.424,837800,193.1326
2010-01-01,494.076,579.00,463.55,486.25,1689500,210.8344
2009-12-01,467.50,574.35,462.00,495.60,995600,214.8885
2009-11-02,467.50,539.50,436.50,464.326,2488600,201.3284
2009-10-01,465.00,480.25,450.576,467.174,1688900,202.5632
2009-09-01,477.50,511.00,432.75,468.076,3551400,202.9543
2009-08-03,425.00,479.85,380.274,474.424,5345400,205.7068
2009-07-01,371.826,436.85,314.25,424.076,6865300,183.8762
2009-06-01,240.10,430.00,237.00,366.05,11889100,158.7166
2009-05-01,162.95,251.50,160.65,236.824,3899900,102.6852
2009-04-01,133.00,205.00,133.00,162.95,4987100,70.6539
2009-03-02,122.00,147.30,120.20,132.55,815400,57.4727
2009-02-02,120.00,144.00,107.625,124.325,854700,53.9064
2009-01-01,123.725,170.00,102.50,118.95,746500,51.5758
2008-12-01,112.50,144.90,110.00,123.725,367000,53.6463
2008-11-03,177.10,177.45,108.325,112.80,517900,48.9093
2008-10-01,312.50,319.70,149.05,165.00,505700,71.5428
2008-09-01,375.50,412.50,282.55,309.60,377200,127.8763
2008-08-01,374.50,411.35,365.624,373.774,302100,154.3826
2008-07-01,360.00,395.95,314.124,379.45,443400,156.727
2008-06-02,435.00,437.50,351.50,357.674,509700,142.7081
2008-05-02,464.50,492.30,402.774,432.226,1370700,172.4536
2008-04-01,355.95,475.00,345.50,456.80,996700,182.2583
2008-03-03,342.45,373.00,302.50,352.624,633700,140.6932
2008-02-01,342.50,407.00,326.35,345.326,824800,137.7814
2008-01-01,566.00,579.876,287.50,342.226,448200,136.5445
2007-12-03,513.35,620.00,460.50,565.45,548200,225.6085
2007-11-01,607.50,609.974,485.00,513.35,406000,204.8212
2007-10-01,667.05,775.00,600.526,603.576,951500,240.8204
2007-09-03,655.00,685.974,627.50,667.05,969700,266.1458
2007-08-01,660.00,675.00,513.85,646.30,689900,257.8668
2007-07-02,699.90,774.35,657.50,662.826,1125000,264.4605
2007-06-01,375.00,781.00,373.00,697.526,847700,278.3055
2007-05-03,807.50,864.40,730.00,746.45,2174100,297.8256
2007-04-02,700.00,804.974,664.50,794.70,1826700,317.0768
2007-03-01,677.50,766.85,631.50,713.55,3033900,284.6989
2007-02-01,875.00,921.95,655.50,717.75,2724600,285.1804
2007-01-02,841.60,1024.00,817.50,871.576,6183900,346.2993
2006-12-01,565.00,874.35,505.05,836.276,6030100,332.2738
2006-11-01,500.50,604.85,484.50,561.25,4724800,222.9989
2006-10-03,309.50,523.90,305.00,494.85,8398200,196.6165
2006-09-01,269.50,315.90,226.40,309.20,4039200,122.853
2006-08-28,130.25,281.95,125.50,269.226,24472100,106.9704
