Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,2780.00,3265.00,2772.95,3198.45,405400,3198.45
2016-02-01,2860.00,2936.45,2680.00,2768.60,275500,2768.60
2016-01-01,2774.00,2852.30,2579.00,2840.10,335000,2840.10
2015-12-01,2810.10,2905.15,2741.15,2780.55,224200,2780.55
2015-11-02,2905.90,3044.90,2650.00,2801.05,232700,2801.05
2015-10-01,2670.00,2996.00,2669.00,2886.10,291700,2886.10
2015-09-01,2839.00,3022.00,2622.05,2673.40,305600,2673.40
2015-08-03,3149.15,3256.00,2791.00,2889.80,312400,2889.80
2015-07-01,2992.00,3369.00,2980.10,3149.15,311600,3139.92
2015-06-01,2995.00,3024.00,2680.00,2993.45,236200,2984.67
2015-05-01,2672.10,3109.85,2531.00,2975.30,358200,2966.58
2015-04-01,2888.95,3029.90,2625.60,2672.10,311000,2664.27
2015-03-02,3159.00,3398.00,2734.70,2877.90,353000,2869.46
2015-02-02,3149.80,3188.00,2941.00,3125.80,204200,3116.64
2015-01-01,2678.90,3199.90,2612.25,3140.35,301100,3131.14
2014-12-01,2490.00,2698.00,2418.80,2676.05,165900,2668.20
2014-11-03,2564.90,2669.00,2451.65,2484.25,220500,2476.97
2014-10-01,2643.00,2660.00,2297.20,2548.45,234500,2540.98
2014-09-01,2585.00,2767.00,2520.75,2631.65,195400,2623.93
2014-08-01,2420.00,2733.30,2371.00,2550.05,241500,2542.57
2014-07-01,2593.00,2673.00,2372.50,2420.85,356400,2413.75
2014-06-02,2399.50,2872.00,2345.90,2591.95,289900,2574.87
2014-05-01,2027.15,2554.00,1950.50,2382.20,460400,2366.50
2014-04-01,2186.00,2280.00,2012.60,2027.15,151900,2013.79
2014-03-03,1834.80,2195.00,1820.40,2186.95,204000,2172.53
2014-02-03,1725.00,1879.00,1650.30,1839.20,142200,1827.08
2014-01-01,1769.00,1777.90,1634.00,1710.70,173800,1699.42
2013-12-02,1896.50,1961.45,1705.00,1764.10,125800,1752.47
2013-11-01,1965.00,1990.00,1800.00,1907.80,116200,1895.22
2013-10-01,1818.00,2009.00,1791.00,1966.85,185700,1953.89
2013-09-02,1489.60,1884.95,1402.35,1809.30,199200,1797.37
2013-08-01,1834.90,1834.90,1411.90,1474.85,303100,1465.13
2013-07-01,1879.00,1999.95,1823.55,1836.65,139800,1824.54
2013-06-03,1887.00,1917.60,1760.10,1877.00,169600,1855.95
2013-05-01,1900.85,2069.05,1855.15,1878.30,216200,1857.23
2013-04-01,1860.05,1940.00,1731.10,1900.85,192000,1879.53
2013-03-01,1870.00,1941.00,1812.65,1868.95,186400,1847.99
2013-02-01,1918.00,1980.00,1712.35,1868.05,177600,1847.10
2013-01-01,1995.00,2056.00,1845.55,1902.55,181100,1881.21
2012-12-03,1990.00,2033.00,1920.90,1986.30,243600,1964.02
2012-11-01,1991.00,2154.20,1857.00,1941.40,351900,1919.63
2012-10-01,1977.95,2074.95,1736.30,1996.20,144700,1973.81
2012-09-03,1694.00,2009.70,1645.60,1967.85,169600,1945.78
2012-08-01,1643.00,1770.40,1616.00,1693.90,103500,1674.90
2012-07-02,1515.00,1651.00,1503.40,1639.60,124000,1613.68
2012-06-01,1404.95,1549.00,1363.60,1516.50,173200,1492.52
2012-05-01,1422.00,1473.65,1342.00,1423.85,222800,1401.34
2012-04-02,1486.00,1533.00,1400.25,1424.90,162600,1402.37
2012-03-01,1403.95,1544.70,1375.05,1514.55,205500,1490.60
2012-02-01,1226.40,1494.70,1212.05,1406.40,228000,1384.16
2012-01-02,1166.50,1280.00,1118.20,1214.75,132300,1195.54
2011-12-01,1152.45,1230.00,1109.95,1166.50,164500,1148.06
2011-11-01,1135.55,1207.90,1095.55,1148.70,169100,1130.54
2011-10-03,1128.05,1194.10,1065.15,1152.60,125200,1134.38
2011-09-02,1075.00,1198.00,1040.00,1141.60,161500,1123.55
2011-08-01,1030.00,1085.95,948.25,1068.30,224600,1051.41
2011-07-01,937.00,1038.00,917.95,1029.45,150400,1007.48
2011-06-01,1016.15,1051.75,914.00,929.90,87300,910.05
2011-05-02,1092.25,1095.00,997.20,1025.60,118300,1003.71
2011-04-01,1104.65,1138.90,1004.50,1089.15,160600,1065.90
2011-03-01,925.00,1147.50,920.30,1131.50,157400,1107.35
