Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,71.90,98.20,70.60,96.85,22590600,96.85
2016-02-01,72.70,77.70,58.15,70.60,23743700,70.60
2016-01-01,90.90,93.90,62.00,71.75,21702100,71.75
2015-12-01,91.85,96.40,81.25,90.40,9297700,90.40
2015-11-02,100.30,100.90,85.80,89.95,9320400,89.95
2015-10-01,86.10,119.10,82.65,99.95,18809900,99.95
2015-09-01,96.50,102.50,83.35,84.70,9140600,81.93202
2015-08-03,130.00,131.39999,76.70,98.65,10482200,95.42615
2015-07-01,174.10001,177.50,126.30,130.25,6385000,125.99346
2015-06-01,198.00,201.64999,169.50,174.14999,4725200,163.888
2015-05-01,209.85001,233.39999,190.50,196.45,6862000,184.87395
2015-04-01,190.80,217.00,187.20,209.85001,4257300,197.48434
2015-03-02,218.85001,225.00,183.75,189.50,4220600,178.3335
2015-02-02,199.50,224.89999,197.55,217.20,4089100,204.40123
2015-01-01,213.70,225.30,185.85001,201.95,5194600,190.04985
2014-12-01,229.00,245.95,190.10001,214.50,4589900,201.86034
2014-11-03,256.79999,263.89999,229.85001,231.35001,3886200,217.71744
2014-10-01,273.29999,276.39999,218.89999,255.95,4676500,239.22096
2014-09-01,278.89999,291.35001,266.14999,272.50,5275500,254.68925
2014-08-01,287.39999,305.50,267.00,277.14999,4598200,259.03531
2014-07-01,292.54999,316.50,277.50,290.25,7030300,271.27911
2014-06-02,280.95001,318.29999,275.60001,292.35001,7994700,271.70233
2014-05-01,185.35001,285.00,178.00,280.45001,12898100,260.64279
2014-04-01,189.05,207.00,182.20,185.35001,6744300,172.25937
2014-03-03,176.64999,189.35001,168.85001,188.55,5584500,175.23337
2014-02-03,190.00,193.85001,173.64999,177.64999,4633700,165.10318
2014-01-01,202.55,213.30,182.50,188.39999,5052800,175.09395
2013-12-02,184.89999,208.85001,179.20,201.95,7479100,187.68697
2013-11-01,204.00,209.39999,172.35001,183.10001,6132000,170.16829
2013-10-01,181.00,204.89999,173.20,202.00,7788300,186.34076
2013-09-02,187.00,196.00,168.20,180.75,12020400,166.73807
2013-08-01,129.00,199.50,121.20,188.75,6930800,174.1179
2013-07-01,144.70,157.89999,119.30,127.85,1702900,117.93893
2013-06-03,162.95,163.85001,131.75,142.80,1532600,131.73
2013-05-01,158.75,169.00,154.70,163.89999,1427200,151.19431
2013-04-01,155.95,162.89999,140.30,158.75,2174900,146.35065
2013-03-01,154.50,170.25,148.20,155.50,1345800,143.35449
2013-02-01,186.85001,189.80,153.25,154.85001,1464300,142.75526
2013-01-01,197.00,205.45,173.70,186.55,1692700,171.97929
2012-12-03,182.50,201.60001,178.75,195.45,1731500,180.18414
2012-11-01,170.55,183.50,162.89999,182.20,1200100,167.96906
2012-10-01,173.25,178.00,145.00,171.14999,1601700,157.78212
2012-09-03,173.50,187.70,157.35001,171.20,2943800,157.82822
2012-08-01,189.55,195.70,167.75,171.45,1956600,158.0587
2012-07-02,193.95,207.95,177.00,190.20,2464400,175.34421
2012-06-01,184.00,194.00,174.55,191.64999,2021400,176.68095
2012-05-01,188.39999,199.00,172.20,187.14999,2672600,170.68666
2012-04-02,195.39999,199.50,176.75,188.39999,2362500,171.82671
2012-03-01,212.30,216.00,186.50,194.70,2980600,177.57249
2012-02-01,217.80,270.00,202.75,214.39999,6228100,195.53952
2012-01-02,162.05,219.00,153.05,217.95,3971400,196.95317
2011-12-01,189.39999,196.35001,148.30,163.39999,2446800,147.6584
2011-11-01,204.30,216.80,165.35001,183.50,2675300,165.82202
2011-10-03,196.00,232.70,190.35001,207.35001,3088600,187.37436
2011-09-02,230.50,239.80,189.35001,200.55,3513000,181.22946
2011-08-01,276.39999,280.00,195.10001,234.05,3817100,211.50214
2011-07-01,285.00,300.39999,256.79999,275.04999,2633200,248.55228
2011-06-01,289.89999,295.45001,261.10001,282.04999,1226800,254.87791
2011-05-02,314.54999,317.00,268.29999,289.89999,2064500,258.80612
2011-04-01,292.75,330.79999,292.75,313.89999,3418500,280.23193
2011-03-01,263.10001,294.89999,254.75,291.35001,3184900,260.10062
2011-02-01,329.60001,333.39999,258.00,261.20001,2860000,233.18442
2011-01-03,333.39999,346.50,308.54999,326.10001,3209800,291.12341
2010-12-01,303.00,330.70001,287.00,328.54999,3394200,293.31061
2010-11-01,326.00,348.70001,285.00,307.70001,2712900,274.69696
2010-10-01,330.00,383.64999,317.20001,321.60001,4966500,287.10608
2010-09-01,320.00,343.39999,308.20001,328.20001,4119300,292.99817
2010-08-02,364.00,384.00,311.50,317.79999,4957300,283.71362
2010-07-01,350.00,376.00,337.20001,361.25,5206800,322.50333
2010-06-01,382.00,389.70001,335.29999,352.64999,8315900,311.91565
2010-05-03,426.89999,426.89999,303.89999,381.89999,10650800,337.78702
2010-04-01,471.00,495.00,418.10001,428.95001,5126500,379.40231
2010-03-02,405.00,473.95001,400.00,470.45001,5364200,416.10867
2010-02-01,343.70001,404.95001,338.20001,400.35001,4314500,354.10587
2010-01-01,407.00,424.00,332.14999,346.75,3895900,306.69717
2009-12-01,376.00,439.70001,362.20001,410.79999,3973700,363.34879
