Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,525.00,562.40002,523.45001,555.75,1584200,555.75
2016-02-01,565.59998,573.90002,507.89999,520.25,1166100,520.25
2016-01-01,559.79999,565.70001,530.75,562.79999,1199700,562.79999
2015-12-01,579.20001,587.45001,548.50,559.90002,1152100,554.81097
2015-11-02,573.50,579.65002,542.25,573.29999,1374200,568.08911
2015-10-01,598.04999,613.29999,564.65002,572.84998,1335200,567.64319
2015-09-01,571.29999,604.90002,544.15002,597.84998,1433700,592.41595
2015-08-03,571.00,587.50,528.29999,571.79999,1411800,566.60278
2015-07-01,544.04999,593.79999,541.25,569.84998,1195600,564.67047
2015-06-01,560.00,577.75,529.00,546.70001,1705300,535.05878
2015-05-01,538.59998,566.09998,525.09998,561.70001,1807500,549.73938
2015-04-01,623.40002,636.45001,512.50,538.59998,2152600,527.13123
2015-03-02,660.09998,677.59998,608.54999,628.84998,1670400,615.45947
2015-02-02,612.00,671.00,609.00,654.29999,1781300,640.36755
2015-01-01,552.54999,614.50,538.34998,606.54999,2164100,593.63434
2014-12-01,588.00,600.90002,524.84998,555.20001,1328800,538.7627
2014-11-03,570.00,590.00,548.40002,585.79999,2010300,568.45673
2014-10-01,598.09998,621.90002,547.15002,563.70001,1955800,547.01105
2014-09-01,566.00,599.00,556.00,596.79999,1572800,579.13104
2014-08-01,544.00,568.04999,535.00,565.25,1374300,548.51514
2014-07-01,547.90002,580.00,530.00,544.40002,2140700,528.28247
2014-06-02,506.70001,553.00,485.20001,546.40002,1871400,525.37701
2014-05-01,522.34998,531.95001,474.70001,506.20001,2380100,482.17874
2014-04-01,547.00,594.70001,517.00,522.34998,2068800,497.56232
2014-03-03,600.00,600.00,528.70001,543.20001,1855000,517.42291
2014-02-03,563.20001,611.00,544.00,597.25,1451600,568.90802
2014-01-01,564.00,587.00,531.59998,575.04999,1796000,547.76147
2013-12-02,474.00,561.50,466.64999,559.20001,1618400,529.8678
2013-11-01,477.25,497.70001,468.39999,470.79999,1811600,446.10471
2013-10-01,475.89999,519.75,467.70001,477.70001,3078900,452.64279
2013-09-02,483.04999,500.60001,446.89999,473.04999,2859800,448.23669
2013-08-01,438.00,495.00,427.50,483.60001,3089800,458.23331
2013-07-01,349.00,441.00,341.50,438.00,2001600,415.02521
2013-06-03,330.10001,352.00,319.89999,349.00,1559400,330.6936
2013-05-01,348.35001,361.45001,314.85001,327.64999,1644000,306.00406
2013-04-01,437.29999,463.00,327.20001,348.35001,2469500,325.33655
