Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,696.80,851.85,690.95,849.25,3824600,849.25
2016-02-01,754.40,789.50,663.35,689.00,4683300,689.00
2016-01-01,727.65,749.50,631.55,746.80,4467900,746.80
2015-12-01,770.00,772.00,668.00,725.80,2260600,725.80
2015-11-02,755.20,790.00,720.20,768.20,2526000,768.20
2015-10-01,739.00,780.00,707.75,758.65,3182900,758.65
2015-09-01,679.90,779.00,635.00,729.70,4104700,729.70
2015-08-03,834.95,846.45,595.00,689.45,4246900,689.45
2015-07-01,843.90,878.00,782.25,828.95,3628500,828.95
2015-06-01,884.90,897.50,794.00,843.85,2628700,843.85
2015-05-01,839.45,884.35,788.20,882.30,2531300,882.30
2015-04-01,812.20,864.00,771.80,839.45,3990000,830.81
2015-03-02,875.00,908.95,783.20,815.75,3461600,807.36
2015-02-02,858.95,858.95,734.00,820.80,3557700,812.36
2015-01-01,769.00,895.00,751.35,862.45,3320000,853.58
2014-12-01,710.30,775.00,670.00,772.05,2892800,764.11
2014-11-03,685.40,719.90,665.05,709.95,2122600,702.65
2014-10-01,561.90,689.20,545.10,684.50,1654500,677.46
2014-09-01,574.40,634.70,535.95,558.85,2928100,553.10
2014-08-01,535.70,593.35,516.05,572.05,2851200,566.16
2014-07-01,543.70,573.60,502.20,541.10,3599000,535.53
2014-06-02,572.90,588.00,507.50,541.05,4694600,535.48
2014-05-01,440.75,599.00,433.50,569.40,7015800,563.54
2014-04-01,418.40,474.80,404.00,440.75,5706800,430.01
2014-03-03,302.35,416.75,301.55,413.95,8051900,403.86
2014-02-03,307.00,313.45,291.40,304.95,4208400,297.52
2014-01-01,373.00,381.80,303.25,307.65,5149100,300.15
2013-12-02,371.70,414.90,357.70,370.20,4303500,361.18
2013-11-01,369.00,386.25,323.65,368.65,7531900,359.67
2013-10-01,289.00,381.90,280.40,368.80,11394100,359.81
2013-09-02,246.50,394.70,223.00,287.35,17342100,280.35
2013-08-01,330.00,339.30,216.10,243.35,14942200,237.42
2013-07-01,463.20,502.00,285.00,324.00,7023600,316.11
2013-06-03,487.55,514.90,435.75,461.10,2155600,449.86
2013-05-01,501.65,547.70,486.00,487.30,1479400,475.43
2013-04-01,429.00,509.00,416.75,501.65,2131000,483.67
2013-03-01,475.00,500.55,416.85,428.90,1940600,413.52
2013-02-01,522.15,538.90,467.20,472.00,2460700,455.08
2013-01-01,466.75,545.00,466.05,522.15,2901700,503.43
2012-12-03,443.20,474.90,441.10,464.05,1483500,447.41
2012-11-01,411.60,504.00,410.70,442.25,1496700,426.40
2012-10-01,380.00,421.00,378.55,411.60,2706000,396.85
2012-09-03,331.20,388.40,320.10,382.05,3483700,368.35
2012-08-01,366.00,373.95,326.00,328.75,1874900,316.96
2012-07-02,341.65,367.25,285.00,365.20,2643800,352.11
2012-06-01,329.85,353.00,310.50,339.40,3417700,323.49
2012-05-01,349.70,352.90,294.00,329.85,2406800,314.39
2012-04-02,369.85,380.90,345.50,349.70,2405800,333.31
2012-03-01,342.30,388.70,331.00,368.80,4445300,351.51
2012-02-01,330.45,375.00,317.10,345.45,2845800,329.26
2012-01-02,240.00,333.15,230.50,330.45,3481200,314.96
2011-12-01,278.00,299.45,236.75,238.80,2491000,227.61
2011-11-01,314.30,318.50,260.15,272.20,2268100,259.44
2011-10-03,267.05,323.85,240.30,314.30,3204000,299.57
2011-09-02,280.10,300.40,256.00,272.55,2552600,259.77
2011-08-01,312.05,318.85,252.00,277.55,2710200,264.54
2011-07-01,315.00,334.50,294.95,310.65,2152600,296.09
2011-06-01,302.95,317.80,249.00,312.05,2236000,297.42
2011-05-02,307.20,308.50,272.30,300.80,2681900,284.24
2011-04-01,310.75,341.10,302.40,305.15,2772200,288.35
2011-03-01,264.50,325.95,257.40,309.60,2389100,292.55
2011-02-01,264.70,288.40,233.55,256.00,2740600,241.90
2011-01-03,315.00,317.70,247.05,263.10,4584100,248.61
2010-12-01,308.90,341.75,277.00,312.80,2435300,295.58
2010-11-01,359.50,382.00,290.00,306.15,2157000,289.29
2010-10-01,354.00,380.00,332.70,359.50,1853900,339.70
2010-09-01,312.55,358.70,312.30,350.15,1942800,330.87
2010-08-02,296.00,344.65,295.00,311.20,1870600,294.06
2010-07-01,267.00,304.70,265.85,295.65,2061600,279.37
2010-06-01,285.35,299.40,260.00,269.30,3186100,254.47
2010-05-03,284.75,290.40,240.00,287.95,2078300,270.62
2010-04-01,257.80,298.00,245.00,285.65,2072100,268.46
2010-03-02,240.90,260.80,236.00,256.20,1440300,240.78
2010-02-01,250.00,257.55,222.50,236.60,1606400,222.36
2010-01-01,267.30,287.75,231.30,249.25,2307800,234.25
2009-12-01,254.70,278.40,243.00,266.15,1719400,250.13
2009-11-02,238.10,274.75,214.00,252.55,2393300,237.35
2009-10-01,198.00,262.00,184.55,238.25,3485800,223.91
2009-09-01,169.00,206.45,160.25,205.05,1950100,192.71
2009-08-03,160.00,177.00,145.00,167.45,1773300,157.37
2009-07-01,148.20,165.90,121.00,159.65,2443400,150.04
2009-06-01,127.90,155.65,115.00,148.85,4944800,139.89
2009-05-01,77.35,145.00,73.75,125.65,4898200,118.09
2009-04-01,50.90,87.40,49.50,77.35,5329000,72.69
2009-03-02,50.30,56.25,40.60,50.00,2061600,46.99
2009-02-02,61.15,62.45,49.55,51.30,756400,48.21
2009-01-01,76.20,91.90,57.25,61.15,1159600,57.47
2008-12-01,62.00,82.70,55.50,75.20,639600,70.67
2008-11-03,72.00,88.80,56.45,61.20,828800,57.52
2008-10-01,123.50,125.00,55.00,68.20,1378300,64.10
2008-09-01,134.00,149.00,108.15,120.60,939900,113.34
2008-08-01,125.00,144.20,124.25,134.20,1096100,126.12
2008-07-01,120.00,148.00,102.00,127.70,1768900,120.01
2008-06-02,159.40,161.00,113.00,114.70,1361500,107.80
2008-05-02,173.00,184.10,150.00,155.60,816800,146.24
2008-04-01,171.15,178.90,142.50,170.45,2509300,160.19
2008-03-03,240.00,242.70,121.00,168.75,2184100,158.59
2008-02-01,254.00,270.00,215.00,246.75,538300,231.90
2008-01-01,250.00,277.45,152.10,251.45,881600,236.32
2007-12-03,233.45,270.00,206.65,249.30,698000,234.30
2007-11-01,222.00,254.60,211.85,230.90,1015300,217.00
2007-10-01,210.00,236.00,163.95,217.30,1596300,204.22
2007-09-03,187.40,209.00,177.85,206.95,1658400,194.50
2007-08-01,190.00,195.00,150.55,184.85,949000,173.73
2007-07-02,182.40,204.90,174.75,189.60,719000,178.19
2007-06-01,169.00,182.60,136.00,180.15,671500,169.31
2007-05-03,153.40,180.70,144.50,167.95,615800,157.84
2007-04-02,135.00,159.90,131.05,150.70,798500,141.63
2007-03-01,144.30,157.90,116.50,140.00,2066700,131.57
2007-02-01,151.00,163.00,131.00,142.15,525100,133.60
2007-01-02,135.50,170.50,134.50,150.85,435600,141.77
2006-12-01,126.50,148.70,120.00,134.55,711900,126.45
