Date,Open,High,Low,Close,Volume,Adj Close
2016-03-01,375.00,407.70,374.15,388.50,1855000,388.50
2016-02-01,421.00,422.60,350.10,372.35,1924000,372.35
2016-01-01,437.20,437.20,374.75,420.05,2306600,420.05
2015-12-01,409.90,439.35,387.45,437.25,1866800,437.25
2015-11-02,412.95,417.90,374.55,408.15,2219600,408.15
2015-10-01,392.45,440.65,380.60,408.65,2710800,408.65
2015-09-01,380.00,406.80,357.85,392.45,1763500,392.45
2015-08-03,398.85,421.70,346.70,384.80,2255100,384.80
2015-07-01,367.90,409.30,350.00,398.80,2263900,398.80
2015-06-01,323.00,369.40,318.00,367.90,2154100,365.574
2015-05-01,312.05,326.00,299.50,323.75,4678800,321.703
2015-04-01,341.60,358.10,311.00,312.05,2031900,310.077
2015-03-02,347.60,370.95,331.00,341.75,1666500,339.589
2015-02-02,376.00,376.30,340.00,348.95,2219300,346.744
2015-01-01,381.00,400.05,354.05,376.75,1814300,374.368
2014-12-01,382.95,388.95,357.90,380.75,1179800,378.343
2014-11-03,344.90,402.40,343.40,381.95,5850900,379.535
2014-10-01,317.00,353.60,303.25,344.25,1725300,342.073
2014-09-01,275.55,316.90,274.10,314.15,2475000,312.164
2014-08-01,288.00,300.00,265.05,273.70,1786800,271.969
2014-07-01,294.15,310.85,282.00,290.70,1938100,288.862
2014-06-02,265.20,294.85,260.65,293.45,3207100,289.563
2014-05-01,262.60,302.00,260.60,266.75,2264600,263.217
2014-04-01,273.80,282.90,258.95,262.60,1647600,259.122
2014-03-03,259.00,295.60,257.90,271.35,2605200,267.756
2014-02-03,265.20,279.40,255.55,268.70,4734900,265.141
2014-01-01,275.25,300.40,254.15,266.45,2066300,262.921
2013-12-02,260.45,292.00,260.20,276.60,1677700,272.936
2013-11-01,265.10,284.85,249.40,259.20,2004300,255.767
2013-10-01,229.05,273.50,225.05,266.05,2337900,262.526
2013-09-02,233.00,243.80,213.90,228.50,2549700,225.473
2013-08-01,247.00,262.90,208.00,231.50,2646900,228.434
2013-07-01,236.20,267.50,233.75,247.10,2472100,243.827
2013-06-03,226.10,240.40,211.60,236.05,1991300,231.00
2013-05-01,233.90,255.20,225.05,226.10,3613100,221.263
2013-04-01,213.80,235.00,198.30,233.90,2521900,228.896
2013-03-01,217.70,224.70,198.80,210.45,2440300,205.948
2013-02-01,230.60,241.00,212.00,218.00,3021200,213.336
2013-01-01,221.00,239.00,216.40,230.10,3196400,225.178
2012-12-03,197.10,231.20,193.15,220.70,3136300,215.979
2012-11-01,189.85,207.20,185.10,195.20,1867200,191.024
2012-10-01,195.35,208.25,173.70,189.30,2327100,185.25
2012-09-03,164.30,202.00,159.10,195.35,2755700,191.171
2012-08-01,168.00,175.40,160.50,163.45,1481200,159.953
2012-07-02,148.00,169.70,140.25,168.40,2624800,164.797
2012-06-01,131.70,149.00,124.80,146.80,2308100,142.213
2012-05-01,126.20,135.05,118.90,132.15,1697400,128.021
2012-04-02,128.60,141.00,120.15,126.30,824600,122.353
2012-03-01,127.05,143.50,115.05,126.75,1627100,122.789
2012-02-01,128.00,140.40,123.15,127.15,1409400,123.177
2012-01-02,118.20,130.90,105.55,127.90,1355400,123.903
2011-12-01,126.40,129.95,113.85,117.85,1195100,114.167
2011-11-01,117.65,128.30,112.00,124.70,1482300,120.803
2011-10-03,115.60,124.90,109.50,121.90,1467800,118.091
2011-09-02,115.85,124.90,111.30,117.55,1202600,113.877
2011-08-01,131.65,133.90,112.20,116.90,1848600,113.247
2011-07-01,133.00,138.70,117.85,131.65,2901400,127.536
2011-06-01,135.20,145.70,124.55,134.90,1758500,128.749
2011-05-02,133.30,143.20,127.75,137.10,1919300,130.849
2011-04-01,123.35,139.80,117.90,134.75,2460000,128.606
2011-03-01,120.00,127.85,116.30,123.60,1462700,117.965
2011-02-01,114.85,120.40,107.50,118.75,1879900,113.336
